Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:02:29.8,54.79 0.00,00:00:00.0 00:00:00.0,8
2,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:02:30.5,54.54 0.31,00:00:00.7 00:00:00.7,8
2,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:02:30.5,54.54 0.31,00:00:00.7 00:00:00.0,8
4,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:02:31.7,54.11 0.83,00:00:01.9 00:00:01.2,8
5,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:02:32.6,53.79 1.23,00:00:02.8 00:00:00.9,8
6,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:33.2,53.58 1.49,00:00:03.4 00:00:00.6,8
7,20,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:02:35.0,52.95 2.28,00:00:05.2 00:00:01.8,8
8,23,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally2,RC2,00:02:35.2,52.89 2.37,00:00:05.4 00:00:00.2,8
9,24,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:02:35.6,52.75 2.54,00:00:05.8 00:00:00.4,8
9,25,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:02:35.6,52.75 2.54,00:00:05.8 00:00:00.0,8
11,26,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:02:36.2,52.55 2.81,00:00:06.4 00:00:00.6,8
12,29,Virves  Robert  /  Magalhães  Hugo  Ford Fiesta Rally2 MkII,RC2,00:02:37.4,52.15 3.33,00:00:07.6 00:00:01.2,8
13,34,Cachon  A.  /  Lopez  Alejandro  Citroën C3 Rally2,RC2,00:02:38.2,51.88 3.68,00:00:08.4 00:00:00.8,8
14,47,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:02:38.3,51.85 3.73,00:00:08.5 00:00:00.1,8
15,40,Fernàndez  E.  /  Rozada  Borja  Škoda Fabia Rally2 Evo,RC2,00:02:38.5,51.79 3.82,00:00:08.7 00:00:00.2,8
16,21,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:02:38.6,51.75 3.86,00:00:08.8 00:00:00.1,8
17,38,Cais  Erik  /  Těšínský  P.  Škoda Fabia RS Rally2,RC2,00:02:38.7,51.72 3.90,00:00:08.9 00:00:00.1,8
18,55,Sousa  Bernardo  /  Janela  José  Citroën C3 Rally2,RC2,00:02:39.0,51.62 4.04,00:00:09.2 00:00:00.3,8
19,32,Joona  Lauri  /  Shemeikka  T.  Škoda Fabia Rally2 Evo,RC2,00:02:39.4,51.49 4.21,00:00:09.6 00:00:00.4,8
20,35,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:02:40.1,51.27 4.52,00:00:10.3 00:00:00.7,8
21,36,Araújo  Armindo  /  Ramalho  Luís  Škoda Fabia Rally2 Evo,RC2,00:02:41.2,50.92 5.00,00:00:11.4 00:00:01.1,8
22,44,Correia  Miguel  /  Carvalho  Jorge  Škoda Fabia Rally2 Evo,RC2,00:02:41.3,50.89 5.04,00:00:11.5 00:00:00.1,8
23,37,McErlean  Joshua  /  Rowan  John  Hyundai i20 N Rally2,RC2,00:02:42.0,50.67 5.35,00:00:12.2 00:00:00.7,8
24,56,Herczig  Norbert  /  Ferencz  Ramón  Škoda Fabia Rally2 Evo,RC2,00:02:42.2,50.60 5.44,00:00:12.4 00:00:00.2,8
25,58,Almeida  Pedro  /  Castro  Mário  Škoda Fabia Rally2 Evo,RC2,00:02:42.4,50.54 5.53,00:00:12.6 00:00:00.2,8
26,50,Oldrati  Enrico  /  De Guio  Elia  Škoda Fabia Rally2 Evo,RC2,00:02:43.9,50.08 6.18,00:00:14.1 00:00:01.5,8
27,51,Zaldivar  Miguel  /  Díaz  J.  Hyundai i20 N Rally2,RC2,00:02:46.9,49.18 7.50,00:00:17.1 00:00:03.0,8
27,53,Castro  Eduardo  /  Mussano  F.  Škoda Fabia Rally2 Evo,RC2,00:02:46.9,49.18 7.50,00:00:17.1 00:00:00.0,8
29,49,Al-Rashed  Rakan  /  Moscatt  Dale  Škoda Fabia RS Rally2,RC2,00:02:48.8,48.63 8.33,00:00:19.0 00:00:01.9,8
30,52,Villanueva  A.  /  Murado  José  Škoda Fabia RS Rally2,RC2,00:02:49.6,48.40 8.68,00:00:19.8 00:00:00.8,8
31,70,Korhonen  Roope  /  Viinikka  Anssi  Ford Fiesta Rally3,RC3,00:02:49.7,48.37 8.73,00:00:19.9 00:00:00.1,8
32,67,Cobbe  Luciano  /  Mometti  Roberto  Škoda Fabia Rally2 Evo,RC2,00:02:50.1,48.25 8.90,00:00:20.3 00:00:00.4,8
33,60,Simões  Lucas  /  Almeida  Nuno  Ford Fiesta Rally2 MkII,RC2,00:02:52.2,47.67 9.82,00:00:22.4 00:00:02.1,8
34,48,Kremer  Armin  /  Gottschalk  Timo  Škoda Fabia RS Rally2,RC2,00:02:53.1,47.42 10.22,00:00:23.3 00:00:00.9,8
