SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
00:09:06.7,00:13:10.1,00:12:06.1,00:08:56.3,00:13:07.3,00:11:59.2,00:11:56.7,00:02:32.6,00:17:03.4,00:24:42.3,00:06:05.2,00:16:57.0,00:24:42.0,00:05:59.7,00:02:34.9,00:08:12.9,00:06:42.3,00:14:08.3,00:06:29.0
00:09:03.0,00:13:01.8,00:11:55.2,00:08:59.3,00:13:05.1,00:11:55.9,00:12:08.4,00:02:29.8,00:17:03.9,00:24:55.0,00:06:03.9,00:16:56.9,00:24:31.2,00:06:02.2,00:02:34.5,00:08:05.2,00:06:43.5,00:13:58.2,00:06:33.4
00:09:02.7,00:13:06.8,00:12:05.7,00:08:59.8,00:13:06.4,00:11:56.2,00:12:05.3,00:02:31.7,00:17:12.2,00:34:33.3,00:15:57.3,00:26:54.1,00:34:31.2,00:15:57.3,00:12:34.5,00:08:25.7,00:06:48.0,00:14:19.0,00:06:33.5
00:09:05.0,00:12:59.3,00:11:52.1,00:09:50.4,00:13:11.8,00:12:02.0,00:12:01.3,00:02:30.5,00:17:08.9,00:24:36.6,00:06:05.1,00:17:11.6,00:24:58.9,00:06:01.4,00:02:35.5,00:08:07.2,00:06:42.5,00:13:48.5,00:06:27.2
00:09:07.7,00:13:07.4,00:11:55.9,00:09:02.5,00:13:04.3,00:11:57.3,00:12:08.1,00:02:30.5,00:17:05.6,00:24:44.5,00:06:03.0,00:17:01.9,00:24:33.5,00:06:00.2,00:02:34.8,00:09:29.3,00:08:15.0,00:16:38.7,00:08:14.0
00:09:06.1,00:13:04.0,00:21:49.3,00:18:56.3,00:23:03.9,00:21:53.8,00:21:56.7,00:12:29.8,00:17:22.2,00:24:52.7,00:06:32.1,00:17:14.3,00:24:48.7,00:06:06.4,00:02:34.7,00:08:02.9,00:06:43.3,00:13:59.8,00:06:29.5
00:09:23.1,00:13:49.0,00:12:46.9,00:09:17.2,00:13:41.0,00:13:05.7,00:12:28.2,00:02:35.0,00:17:36.9,00:25:40.8,00:06:16.0,00:17:32.1,00:25:29.0,00:06:11.1,00:02:40.3,00:08:17.2,00:06:59.5,00:14:14.2,00:06:51.9
00:09:22.0,00:13:36.4,00:12:39.8,00:09:15.5,00:13:36.7,00:12:40.8,00:12:26.1,00:02:38.6,00:17:46.3,00:25:43.3,00:06:17.3,00:17:33.4,00:25:34.7,00:06:06.3,00:02:39.7,00:08:14.7,00:06:52.9,00:14:07.4,00:06:44.4
00:09:22.9,00:13:42.8,00:12:47.5,00:19:15.5,00:23:36.7,00:22:33.9,00:22:21.8,00:12:35.0,00:17:42.1,00:25:50.3,00:06:14.4,00:17:36.6,00:25:30.2,00:06:15.7,00:02:40.6,00:08:17.5,00:06:51.9,00:14:17.8,00:06:47.1
00:09:19.0,00:13:39.5,00:12:41.7,00:09:16.6,00:13:37.1,00:15:39.6,00:12:39.4,00:02:35.2,00:17:39.4,00:25:37.5,00:06:19.9,00:17:31.5,00:25:26.0,00:06:13.5,00:02:45.9,00:08:27.1,00:06:55.9,00:14:11.9,00:06:51.3
00:09:25.3,00:13:36.3,00:12:35.8,00:11:10.5,00:13:37.8,00:12:33.9,00:12:21.8,00:02:35.6,00:17:38.6,00:25:39.1,00:06:17.9,00:17:33.6,00:25:24.9,00:06:14.4,00:02:39.8,00:08:14.7,00:06:56.0,00:14:14.2,00:06:47.9
