,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,,,
#100,Pereira Manuel  - Magalhães Pedro Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,22:46.3,31:18.6,7:35.0,23:38.4,31:18.6 [N],7:57.6,3:17.0,10:42.7,9:04.0,19:01.3,8:58.4
#100,Pereira Manuel  - Magalhães Pedro Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#101,Gulbinas A.  - Pauliukonis V. Renault Clio Rally5,RC5,12:45.3,19:31.0,19:24.1,13:34.8,21:20.9,19:24.1 [N],18:25.3,-,24:56.1,35:52.8,9:09.2,26:20.3,35:52.8 [N],9:32.0,3:23.3,12:04.5,10:01.4,21:21.7,9:56.3
#101,Gulbinas A.  - Pauliukonis V. Renault Clio Rally5  [SR],RC5,-,-,-,-,-,-,-,13:25.9 [N],-,-,-,-,-,-,-,-,-,-,-
#102,Salin Maxim  - Catoire Sandrine Renault Clio Rally5,RC5,12:04.7,17:35.4,16:41.6,11:54.5,18:04.6,16:41.6 [N],16:19.2,3:25.9,22:15.5,31:35.5,7:50.4,22:58.0,31:35.5 [N],7:52.1,3:16.4,10:24.0,8:51.3,18:00.0,8:44.5
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,9:07.7,13:07.4,11:55.9,9:02.5,13:04.3,11:57.3,12:08.1,2:30.5,17:05.6,24:44.5,6:03.0,17:01.9,24:33.5,6:00.2,2:34.8,9:29.3,8:15.0,16:38.7,8:14.0
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,9:06.1,13:04.0,-,-,-,-,-,-,17:22.2,24:52.7,6:32.1,17:14.3,24:48.7,6:06.4,2:34.7,8:02.9,6:43.3,13:59.8,6:29.5
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1  [SR],RC1 M,-,-,21:49.3 [N],18:56.3 [N],23:03.9 [N],21:53.8 [N],21:56.7 [N],12:29.8 [N],-,-,-,-,-,-,-,-,-,-,-
#20,Greensmith Gus  - Andersson Jonas Škoda Fabia RS Rally2,RC2,9:23.1,13:49.0,12:46.9,9:17.2 [N],13:41.0,13:05.7,12:28.2,2:35.0,17:36.9,25:40.8,6:16.0,17:32.1,25:29.0,6:11.1,2:40.3,8:17.2,6:59.5,14:14.2,6:51.9
#21,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,9:22.0,13:36.4,12:39.8,9:15.5,13:36.7,12:40.8,12:26.1,2:38.6,17:46.3,25:43.3,6:17.3,17:33.4,25:34.7,6:06.3,2:39.7,8:14.7,6:52.9,14:07.4,6:44.4
#22,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,9:22.9,13:42.8,12:47.5,-,-,-,-,-,17:42.1,25:50.3,6:14.4,17:36.6,25:30.2,6:15.7,2:40.6,8:17.5,6:51.9,14:17.8,6:47.1
#22,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2  [SR],RC2,-,-,-,19:15.5 [N],23:36.7 [N],22:33.9 [N],22:21.8 [N],12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
