Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,9:02.7,,79.8,1
2,#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,9:03.0,+0.3 +  0.3,79.8 0.02,1
3,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,9:05.0,+2.3 +  2.0,79.5 0.19,1
4,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,9:05.3,+2.6 +  0.3,79.4 0.22,1
5,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,9:06.1,+3.4 +  0.8,79.3 0.28,1
6,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,9:06.7,+4.0 +  0.6,79.2 0.33,1
7,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,9:07.7,+5.0 +  1.0,79.1 0.42,1
8,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,9:10.6,+7.9 +  2.9,78.7 0.66,1
9,#23,Suninen Teemu  - Markkula Mikko Hyundai i20 N Rally2,RC2,9:19.0,+16.3 +  8.4,77.5 1.35,1
10,#25,Fourmaux Adrien  - Coria Alexandre Ford Fiesta Rally2,RC2,9:20.2,+17.5 +  1.2,77.3 1.45,1
11,#26,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,9:20.5,+17.8 +  0.3,77.3 1.48,1
12,#35,Bulacia Marco  - Vallejo Diego Škoda Fabia RS Rally2,RC2,9:21.2,+18.5 +  0.7,77.2 1.54,1
13,#21,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,9:22.0,+19.3 +  0.8,77.1 1.60,1
14,#22,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,9:22.9,+20.2 +  0.9,76.9 1.68,1
15,#20,Greensmith Gus  - Andersson Jonas Škoda Fabia RS Rally2,RC2,9:23.1,+20.4 +  0.2,76.9 1.70,1
16,#24,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,9:25.3,+22.6 +  2.2,76.6 1.88,1
17,#37,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,9:26.5,+23.8 +  1.2,76.4 1.98,1
18,#68,Meeke Kris  - Fulton James Hyundai i20 N Rally2,RC2,9:29.5,+26.8 +  3.0,76.0 2.23,1
19,#31,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,9:29.7,+27.0 +  0.2,76.0 2.24,1
20,#39,Heller Alberto  - Allende L. Citroën C3 Rally2,RC2,9:31.6,+28.9 +  1.9,75.8 2.40,1
21,#27,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,9:35.5,+32.8 +  3.9,75.3 2.73,1
22,#47,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,9:37.2,+34.5 +  1.7,75.0 2.87,1
23,#44,Correia Miguel  - Carvalho J. Škoda Fabia Rally2 evo,RC2,9:38.2,+35.5 +  1.0,74.9 2.95,1
24,#38,Cais Erik  - Těšínský Petr Škoda Fabia RS Rally2,RC2,9:38.6,+35.9 +  0.4,74.8 2.98,1
25,#40,Fernández Emilio  - Rozada Borja Škoda Fabia Rally2 evo,RC2,9:39.0,+36.3 +  0.4,74.8 3.02,1
26,#32,Joona Lauri  - Shemeikka Tuukka Škoda Fabia Rally2 evo,RC2,9:39.3,+36.6 +  0.3,74.8 3.04,1
27,#46,Bulacia B.  - Coronado Jiménez A. Škoda Fabia Rally2 evo,RC2,9:39.8,+37.1 +  0.5,74.7 3.08,1
28,#36,Araújo Armindo  - Ramalho Luís Škoda Fabia Rally2 evo,RC2,9:41.5,+38.8 +  1.7,74.5 3.23,1
29,#48,Kremer Armin  - Gottschalk Timo Škoda Fabia Rally2 evo,RC2,9:46.9,+44.2 +  5.4,73.8 3.67,1
30,#30,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,9:49.8,+47.1 +  2.9,73.4 3.92,1
31,#55,Sousa Bernardo  - Janela José Citroën C3 Rally2,RC2,9:50.9,+48.2 +  1.1,73.3 4.01,1
32,#58,Almeida Pedro  - Castro Mário Škoda Fabia Rally2 evo,RC2,9:53.2,+50.5 +  2.3,73.0 4.20,1
33,#45,Teodósio Ricardo  - Teixeira J. Hyundai i20 N Rally2,RC2,9:53.5,+50.8 +  0.3,73.0 4.22,1
34,#59,Meireles Pedro  - Alves Pedro Hyundai i20 N Rally2,RC2,9:54.9,+52.2 +  1.4,72.8 4.34,1
35,#56,Herczig Norbert  - Ferencz Ramón Škoda Fabia Rally2 evo,RC2,9:55.1,+52.4 +  0.2,72.8 4.36,1
36,#57,Jeets Gregor  - Taniel Timo Hyundai i20 N Rally2,RC2,9:57.1,+54.4 +  2.0,72.5 4.52,1
37,#49,Al-Rashed Rakan  - Moscatt Dale Škoda Fabia RS Rally2,RC2,9:57.7,+55.0 +  0.6,72.5 4.57,1
