,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,,,
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,2:25.4,7:26.4,5:33.0,31:59.8,7:15.6,5:29.1,31:58.1,10:01.6,12:45.0,19:00.2,6:53.2,9:55.3,12:53.8,19:37.3,7:23.1,8:42.0,5:45.5,8:36.6,6:20.4
#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,2:26.2,7:19.2,5:35.1,31:33.9,7:16.5,5:33.7,32:04.3,10:02.7,12:49.2,18:45.7,6:56.2,10:00.0,13:06.4,-,-,8:50.1,5:42.5,8:53.6,6:01.8
#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,-,-,-,-,29:31.6 [N],17:23.1 [N],-,-,-,-
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,2:25.8,7:25.5,5:31.6,32:01.6,7:21.0,5:32.6,32:18.1,10:32.1,-,-,-,-,-,-,-,8:48.5,5:39.4,8:31.7,5:59.8
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1  [SR],RC1,-,-,-,-,-,-,-,-,22:45.0 [N],28:45.7 [N],16:53.2 [N],19:52.3 [N],22:53.8 [N],29:31.6 [N],17:23.1 [N],-,-,-,-
#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,2:32.1,7:45.1,5:57.7,33:12.6,7:30.0 [N],5:51.8 [N],34:01.2,10:44.6,13:51.5,19:48.4,7:18.8,10:29.8,14:03.6,21:18.9,8:02.1,9:07.6,5:58.6,8:53.9,6:26.6
#21,Greensmith Gus  - Andersson Jonas Škoda Fabia RS Rally2,RC2,2:32.6,7:35.1,5:52.0,33:13.3,7:30.0 [N],-,-,-,-,-,-,-,-,-,-,-,-,-,-
#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,2:29.5,7:30.5,5:52.0,59:24.6,7:30.0 [N],5:51.8 [N],33:16.3,10:24.9,13:28.2,19:33.3,10:20.7,10:17.0,16:37.9,48:10.0,-,8:54.6,5:56.2,8:45.8,6:57.2 [N]
#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:43.1 [N],-,-,-,-
#23,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,2:30.0,7:31.1,5:47.2,32:59.3,7:30.0 [N],5:51.8,33:43.8,10:28.2,13:18.9,19:48.8,7:09.2,10:20.9,13:39.8,20:50.5,7:44.8,8:59.9,5:56.9,8:53.6,6:30.0
#24,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,2:32.2,8:17.8,5:53.3,36:41.9,7:30.0 [N],5:51.8 [N],33:55.9,10:35.7,13:33.6,19:54.4,7:17.8,46:54.1,15:29.2,21:17.1,8:11.1,8:54.7,5:51.1,8:55.1,6:57.2 [N]
#25,Suninen Teemu  - Markkula Mikko Hyundai i20 N Rally2,RC2,2:33.7,7:31.2,5:47.1,32:51.8,7:30.0 [N],5:49.8 [N],35:35.3,10:31.2,13:27.5,19:50.1,7:13.7,10:17.7,13:36.1,21:01.3,7:46.8,9:00.1,5:58.6,8:52.3,6:36.0
