Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,2:24.9,,79.5,1
2,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,2:25.1,+0.2 +  0.2,79.4 0.06,1
3,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,2:25.4,+0.5 +  0.3,79.2 0.16,1
4,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,2:25.8,+0.9 +  0.4,79.0 0.28,1
5,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,2:26.1,+1.2 +  0.3,78.9 0.38,1
6,#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,2:26.2,+1.3 +  0.1,78.8 0.41,1
7,#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,2:26.7,+1.8 +  0.5,78.5 0.56,1
8,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,2:26.9,+2.0 +  0.2,78.4 0.63,1
9,#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,2:27.0,+2.1 +  0.1,78.4 0.66,1
10,#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,2:29.5,+4.6 +  2.5,77.1 1.44,1
11,#37,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,2:29.7,+4.8 +  0.2,77.0 1.50,1
12,#23,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,2:30.0,+5.1 +  0.3,76.8 1.59,1
13,#29,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia RS Rally2,RC2,2:30.4,+5.5 +  0.4,76.6 1.72,1
14,#26,Lindholm Emil  - Hämäläinen R. Škoda Fabia RS Rally2,RC2,2:30.8,+5.9 +  0.4,76.4 1.84,1
15,#36,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,2:31.0,+6.1 +  0.2,76.3 1.91,1
16,#35,Cachón Alejandro  - Jandrín Citroën C3 Rally2,RC2,2:31.2,+6.3 +  0.2,76.2 1.97,1
17,#41,Cais Erik  - Těšínský Petr Škoda Fabia RS Rally2,RC2,2:31.3,+6.4 +  0.1,76.1 2.00,1
18,#31,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,2:31.4,+6.5 +  0.1,76.1 2.03,1
19,#27,Fourmaux Adrien  - Coria Alexandre Ford Fiesta Rally2,RC2,2:31.7,+6.8 +  0.3,75.9 2.13,1
20,#38,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,2:31.9,+7.0 +  0.2,75.8 2.19,1
21,#32,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,2:32.0,+7.1 +  0.1,75.8 2.22,1
22,#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,2:32.1,+7.2 +  0.1,75.7 2.25,1
