0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,Sardegna,1,2,5,3,1,2,2,4,2,3,5,1,3,3,4,5,6,2,6
6,Sordo  Dan,RC1,Sardegna,7,7,2,23,8,7,5,8,6,2,4,6,5,1,2,14,32,-,-
7,Loubet  P.,RC1,Sardegna,9,3,4,4,2,6,38,-,-,-,-,-,-,-,-,-,-,-,-
8,Tänak  Ott,RC1,Sardegna,2,8,6,7,6,4,7,6,11,56,55,52,48,44,44,1,1,9,2
11,Neuville  ,RC1,Sardegna,3,5,3,5,3,1,3,1,1,5,1,2,1,2,1,2,4,3,7
17,Ogier  S. ,RC1,Sardegna,6,1,7,1,4,5,4,2,3,1,2,3,4,44,44,7,3,16,4
18,Katsuta  T,RC1,Sardegna,4,4,1,6,9,3,6,11,65,56,55,52,48,44,44,6,2,1,3
20,Rossel  Yo,RC2,Sardegna,22,19,24,14,10,12,17,22,22,9,13,18,13,11,11,18,13,18,9
21,Greensmith,RC2,Sardegna,25,13,14,15,10,57,43,-,-,-,-,-,-,-,-,-,-,-,-
22,Solberg  O,RC2,Sardegna,10,10,14,68,10,12,9,7,10,7,51,7,30,64,47,8,10,7,16
23,Mikkelsen ,RC2,Sardegna,12,11,11,12,10,12,13,9,7,11,6,10,8,7,7,12,11,16,11
24,Gryazin  N,RC2,Sardegna,23,35,18,32,10,12,14,16,13,14,11,65,22,9,16,9,8,20,16
25,Suninen  T,RC2,Sardegna,29,12,10,9,10,11,24,10,9,12,9,8,6,8,8,13,13,13,12
26,Lindholm  ,RC2,Sardegna,14,17,12,13,10,12,11,14,19,30,15,12,11,12,9,-,-,-,-
27,Fourmaux  ,RC2,Sardegna,19,14,13,10,10,10,12,12,8,6,7,9,10,6,6,10,19,6,-
28,Ciamin  Ni,RC2,Sardegna,31,29,30,51,58,57,43,25,26,19,12,21,28,19,12,24,20,21,16
29,Kajetanowi,RC2,Sardegna,13,20,25,16,10,12,21,18,12,8,8,11,12,17,10,21,15,12,10
30,Munster  G,RC2,Sardegna,30,31,29,21,10,12,22,27,25,25,23,24,16,21,19,15,17,11,8
31,Zaldivar  ,RC2,Sardegna,18,27,20,19,58,57,43,30,21,10,21,18,24,15,21,19,16,13,16
32,Pajari  Sa,RC2,Sardegna,21,16,16,11,10,12,10,13,14,15,49,54,51,47,47,4,9,5,16
33,Evans  Elf,RC1,Sardegna,8,9,9,2,5,9,8,5,5,26,26,5,7,5,3,2,5,4,4
34,Bulacia  B,RC2,Sardegna,24,24,17,42,10,12,43,20,18,19,16,20,21,42,47,-,-,-,-
35,Cachon  A.,RC2,Sardegna,16,28,33,51,58,57,43,26,28,58,57,-,-,-,-,-,-,-,-
36,Linnamäe  ,RC2,Sardegna,15,30,21,20,58,57,43,19,23,17,14,22,26,10,15,20,12,15,16
37,Marczyk  M,RC2,Sardegna,11,15,19,17,10,12,16,24,20,23,22,23,14,20,18,25,23,23,16
38,McErlean  ,RC2,Sardegna,20,21,23,31,10,12,23,15,17,22,19,17,19,23,23,17,25,22,16
39,Joona  Lau,RC2,Sardegna,28,17,26,29,10,12,19,23,27,21,17,15,17,14,14,22,22,10,13
40,Virves  Ro,RC2,Sardegna,27,26,27,18,10,12,18,21,15,18,20,13,9,47,47,16,21,19,16
41,Cais  Erik,RC2,Sardegna,17,24,28,22,10,12,15,27,24,16,18,14,15,16,17,30,24,25,13
45,Kremer  Ar,RC2,Sardegna,32,23,64,55,10,12,25,29,29,66,-,-,-,-,-,-,-,-,-
46,Prokop  Ma,RC2,Sardegna,26,22,22,35,10,12,20,17,16,13,10,16,18,13,13,23,18,24,13
47,Miele  Mau,RC2,Sardegna,35,40,34,27,10,12,28,31,33,31,29,25,35,47,47,28,27,27,16
48,Castro  Ed,RC2,Sardegna,37,36,36,28,10,12,29,40,39,29,30,32,59,27,27,36,33,33,16
49,O'Brien  P,RC2,Sardegna,33,33,67,51,58,57,43,32,66,58,57,54,51,47,47,29,28,26,16
50,Keferböck ,RC2,Sardegna,36,44,44,33,10,12,30,43,44,44,41,37,38,32,33,50,49,49,16
52,Villanueva,RC2,Sardegna,38,32,31,59,10,12,43,37,36,43,54,36,25,22,47,43,35,37,16
