SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
00:02:24.9,00:07:20.9,00:05:34.3,00:31:50.6,00:07:08.9,00:05:31.7,00:31:57.5,00:10:04.5,00:12:47.2,00:18:58.7,00:07:01.7,00:09:52.3,00:13:00.2,00:20:04.2,00:07:35.7,00:08:47.0,00:05:47.1,00:08:36.1,00:06:10.9
00:02:26.7,00:07:28.2,00:05:32.7,00:34:43.0,00:07:19.6,00:05:34.0,00:32:17.8,00:10:25.6,00:13:15.7,00:18:50.6,00:06:58.2,00:10:15.5,00:13:31.7,00:19:31.6,00:07:33.9,00:09:01.0,00:06:21.0,-,-
00:02:27.0,00:07:23.9,00:05:34.1,00:31:51.4,00:07:15.3,00:05:33.9,00:41:55.4,-,-,-,-,-,-,-,-,-,-,-,-
00:02:25.1,00:07:29.1,00:05:34.7,00:32:08.8,00:07:19.1,00:05:33.5,00:32:28.3,00:10:11.8,00:13:29.2,00:28:45.7,00:16:53.2,00:19:52.3,00:22:53.8,00:29:31.6,00:17:23.1,00:08:37.7,00:05:37.1,00:08:47.0,00:05:59.7
00:02:25.4,00:07:26.4,00:05:33.0,00:31:59.8,00:07:15.6,00:05:29.1,00:31:58.1,00:10:01.6,00:12:45.0,00:19:00.2,00:06:53.2,00:09:55.3,00:12:53.8,00:19:37.3,00:07:23.1,00:08:42.0,00:05:45.5,00:08:36.6,00:06:20.4
00:02:26.2,00:07:19.2,00:05:35.1,00:31:33.9,00:07:16.5,00:05:33.7,00:32:04.3,00:10:02.7,00:12:49.2,00:18:45.7,00:06:56.2,00:10:00.0,00:13:06.4,00:29:31.6,00:17:23.1,00:08:50.1,00:05:42.5,00:08:53.6,00:06:01.8
00:02:25.8,00:07:25.5,00:05:31.6,00:32:01.6,00:07:21.0,00:05:32.6,00:32:18.1,00:10:32.1,00:22:45.0,00:28:45.7,00:16:53.2,00:19:52.3,00:22:53.8,00:29:31.6,00:17:23.1,00:08:48.5,00:05:39.4,00:08:31.7,00:05:59.8
00:02:32.1,00:07:45.1,00:05:57.7,00:33:12.6,00:07:30.0,00:05:51.8,00:34:01.2,00:10:44.6,00:13:51.5,00:19:48.4,00:07:18.8,00:10:29.8,00:14:03.6,00:21:18.9,00:08:02.1,00:09:07.6,00:05:58.6,00:08:53.9,00:06:26.6
00:02:32.6,00:07:35.1,00:05:52.0,00:33:13.3,00:07:30.0,00:15:48.7,00:43:16.3,-,-,-,-,-,-,-,-,-,-,-,-
00:02:29.5,00:07:30.5,00:05:52.0,00:59:24.6,00:07:30.0,00:05:51.8,00:33:16.3,00:10:24.9,00:13:28.2,00:19:33.3,00:10:20.7,00:10:17.0,00:16:37.9,00:48:10.0,00:17:43.1,00:08:54.6,00:05:56.2,00:08:45.8,00:06:57.2
00:02:30.0,00:07:31.1,00:05:47.2,00:32:59.3,00:07:30.0,00:05:51.8,00:33:43.8,00:10:28.2,00:13:18.9,00:19:48.8,00:07:09.2,00:10:20.9,00:13:39.8,00:20:50.5,00:07:44.8,00:08:59.9,00:05:56.9,00:08:53.6,00:06:30.0
00:02:32.2,00:08:17.8,00:05:53.3,00:36:41.9,00:07:30.0,00:05:51.8,00:33:55.9,00:10:35.7,00:13:33.6,00:19:54.4,00:07:17.8,00:46:54.1,00:15:29.2,00:21:17.1,00:08:11.1,00:08:54.7,00:05:51.1,00:08:55.1,00:06:57.2
00:02:33.7,00:07:31.2,00:05:47.1,00:32:51.8,00:07:30.0,00:05:49.8,00:35:35.3,00:10:31.2,00:13:27.5,00:19:50.1,00:07:13.7,00:10:17.7,00:13:36.1,00:21:01.3,00:07:46.8,00:09:00.1,00:05:58.6,00:08:52.3,00:06:36.0
00:02:30.8,00:07:40.7,00:05:48.8,00:33:03.3,00:07:30.0,00:05:51.8,00:33:25.0,00:10:34.7,00:13:45.6,00:20:51.5,00:07:23.6,00:10:22.9,00:13:49.4,00:21:19.8,00:07:47.3,-,-,-,-
00:02:31.7,00:07:37.0,00:05:49.9,00:32:52.6,00:07:30.0,00:05:48.7,00:33:33.7,00:10:33.1,00:13:23.5,00:19:28.4,00:07:10.0,00:10:20.4,00:13:45.0,00:20:41.5,00:07:43.1,00:08:56.8,00:06:03.6,00:08:44.7,-
00:02:34.7,00:08:00.8,00:06:06.5,00:42:51.8,00:17:30.0,00:15:48.7,00:43:16.3,00:10:49.1,00:13:59.2,00:20:05.7,00:07:18.7,00:10:31.9,00:16:15.6,00:21:47.5,00:08:04.4,00:09:17.3,00:06:04.0,00:08:58.8,00:06:57.2
00:02:30.4,00:07:46.3,00:05:58.6,00:33:15.6,00:07:30.0,00:05:51.8,00:34:18.2,00:10:40.3,00:13:31.4,00:19:47.9,00:07:10.4,00:10:22.7,00:13:52.8,00:21:40.7,00:08:00.3,00:09:09.3,00:06:00.5,00:08:51.1,00:06:29.2
00:02:34.3,00:08:03.8,00:06:05.9,00:33:59.3,00:07:30.0,00:05:51.8,00:34:32.4,00:10:54.9,00:13:56.1,00:20:32.5,00:07:32.4,00:10:36.0,00:14:38.6,00:21:54.9,00:08:18.9,00:09:06.0,00:06:01.2,00:08:50.1,00:06:26.3
00:02:31.4,00:07:51.1,00:05:54.7,00:33:47.5,00:17:30.0,00:15:48.7,00:43:16.3,00:11:05.4,00:13:49.6,00:19:48.5,00:07:27.5,00:10:29.8,00:15:35.1,00:21:38.2,00:08:26.7,00:09:08.2,00:06:00.9,00:08:52.3,00:06:57.2
00:02:32.0,00:07:39.0,00:05:52.4,00:32:55.4,00:07:30.0,00:05:51.8,00:33:16.7,00:10:33.4,00:13:34.6,00:19:56.0,00:09:03.0,00:20:17.0,00:23:36.1,00:30:41.5,00:17:43.1,00:08:46.2,00:05:53.1,00:08:39.9,00:06:57.2
00:02:26.9,00:07:30.0,00:05:36.8,00:31:46.6,00:07:17.8,00:05:38.2,00:32:38.1,00:10:11.1,00:12:59.0,00:20:38.8,00:07:36.6,00:10:08.0,00:13:36.7,00:20:33.4,00:07:35.4,00:08:42.0,00:05:45.8,00:08:38.9,00:06:01.8
00:02:32.3,00:07:49.9,00:05:53.1,00:38:22.5,00:07:30.0,00:05:51.8,00:43:16.3,00:10:44.2,00:13:45.5,00:20:05.7,00:07:23.9,00:10:30.9,00:15:26.2,00:28:55.0,00:17:43.1,-,-,-,-
00:02:31.2,00:07:54.5,00:06:18.1,00:42:51.8,00:17:30.0,00:15:48.7,00:43:16.3,00:10:53.1,00:14:09.4,00:29:28.4,00:17:09.2,-,-,-,-,-,-,-,-
00:02:31.0,00:08:01.0,00:05:56.1,00:33:56.8,00:17:30.0,00:15:48.7,00:43:16.3,00:10:42.7,00:13:52.6,00:19:59.0,00:07:22.0,00:10:32.9,00:16:05.7,00:21:18.1,00:08:08.1,00:09:08.3,00:05:58.4,00:08:53.0,00:06:57.2
00:02:29.7,00:07:38.9,00:05:54.6,00:33:18.2,00:07:30.0,00:05:51.8,00:33:58.8,00:10:46.7,00:13:49.1,00:20:18.1,00:07:27.7,00:10:34.2,00:14:27.1,00:21:48.5,00:08:16.3,00:09:18.6,00:06:09.2,00:09:00.5,00:06:57.2
00:02:31.9,00:07:48.8,00:05:56.9,00:36:33.4,00:07:30.0,00:05:51.8,00:34:39.6,00:10:34.9,00:13:40.3,00:20:13.6,00:07:26.0,00:10:29.6,00:15:17.3,00:22:20.9,00:08:39.3,00:09:07.1,00:06:11.5,00:08:59.5,00:06:57.2
00:02:33.6,00:07:40.7,00:06:00.5,00:36:03.2,00:07:30.0,00:05:51.8,00:34:12.0,00:10:45.7,00:13:59.5,00:20:11.0,00:07:24.1,00:10:27.9,00:15:00.3,00:21:36.2,00:08:07.6,00:09:10.4,00:06:05.2,00:08:49.5,00:06:39.2
00:02:33.3,00:07:50.9,00:06:01.1,00:33:44.4,00:07:30.0,00:05:51.8,00:34:09.5,00:10:44.4,00:13:37.2,00:20:03.1,00:07:26.8,00:10:26.5,00:13:44.5,00:30:41.5,00:17:43.1,00:09:07.0,00:06:04.3,00:08:54.7,00:06:57.2
00:02:31.3,00:07:49.9,00:06:05.0,00:34:07.6,00:07:30.0,00:05:51.8,00:33:58.6,00:10:54.9,00:13:53.2,00:19:56.7,00:07:25.7,00:10:27.1,00:14:38.2,00:21:40.6,00:08:16.0,00:09:40.1,00:06:10.8,00:09:14.1,00:06:39.2
00:02:34.9,00:07:49.6,00:09:23.3,00:42:55.9,00:07:30.0,00:05:51.8,00:36:15.6,00:11:02.5,00:14:18.2,00:36:30.7,-,-,-,-,-,-,-,-,-
00:02:33.0,00:07:49.3,00:05:56.3,00:36:55.8,00:07:30.0,00:05:51.8,00:34:16.2,00:10:40.1,00:13:37.9,00:19:52.8,00:07:15.6,00:10:29.4,00:15:12.2,00:21:20.6,00:08:07.2,00:09:13.9,00:06:01.6,00:09:01.0,00:06:39.2
00:02:36.0,00:08:27.2,00:06:19.1,00:35:58.7,00:07:30.0,00:05:51.8,00:37:03.6,00:11:13.5,00:14:34.7,00:20:55.1,00:07:39.2,00:11:06.9,00:17:08.0,00:30:41.5,00:17:43.1,00:09:35.8,00:06:12.2,00:09:27.4,00:06:57.2
00:02:36.8,00:08:19.9,00:06:23.4,00:36:00.7,00:07:30.0,00:05:51.8,00:37:33.9,00:11:29.4,00:14:45.3,00:20:48.2,00:07:41.0,00:11:15.5,00:27:11.8,00:23:06.3,00:08:58.7,00:09:53.0,00:06:21.1,00:09:36.5,00:06:57.2
00:02:35.1,00:08:09.8,00:15:47.1,00:42:51.8,00:17:30.0,00:15:48.7,00:43:16.3,00:11:15.8,00:23:18.9,00:29:28.4,00:17:09.2,00:20:17.0,00:23:36.1,00:30:41.5,00:17:43.1,00:09:36.1,00:06:13.4,00:09:14.2,00:06:57.2
00:02:36.3,00:08:31.3,00:06:33.5,00:36:44.1,00:07:30.0,00:05:51.8,00:38:29.0,00:11:39.2,00:15:10.5,00:21:38.9,00:08:12.9,00:11:31.1,00:17:32.8,00:23:59.9,00:09:34.7,00:10:32.3,00:06:39.4,00:10:18.2,00:06:57.2
00:02:37.2,00:08:05.7,00:06:14.3,00:46:55.3,00:07:30.0,00:05:51.8,00:43:16.3,00:11:23.8,00:14:36.7,00:21:36.3,00:16:18.7,00:11:30.9,00:15:36.3,00:22:09.4,00:17:43.1,00:10:14.7,00:06:23.8,00:09:44.3,00:06:57.2
00:02:38.9,00:08:54.5,00:06:38.9,00:37:09.5,00:07:30.0,00:05:51.8,00:38:50.4,00:11:52.4,00:15:23.8,00:22:01.2,00:08:11.7,00:11:36.5,00:23:36.1,00:30:41.5,00:17:43.1,00:10:19.6,00:06:37.2,00:10:09.0,00:06:57.2
00:02:52.5,00:09:44.9,00:07:21.2,00:41:46.8,00:07:30.0,00:05:51.8,00:43:09.1,00:13:06.4,00:17:03.0,00:23:33.0,00:08:54.0,00:20:17.0,00:23:36.1,00:30:41.5,00:17:43.1,00:11:36.3,00:07:25.6,00:11:33.7,00:06:57.2
00:02:41.8,00:08:35.0,00:06:25.3,00:42:51.8,00:17:30.0,00:15:48.7,00:43:16.3,00:11:18.1,00:14:22.6,00:20:56.5,00:07:43.8,00:11:11.4,00:16:29.5,00:22:31.9,00:08:42.2,00:09:41.2,00:06:20.7,00:09:32.9,00:06:57.2
00:02:35.8,00:08:20.0,00:06:31.9,00:35:48.9,00:07:30.0,00:05:51.8,00:36:38.4,00:11:22.2,00:14:33.7,00:20:57.2,00:07:46.6,00:11:08.4,00:17:06.3,00:23:46.1,00:09:10.3,00:10:02.6,00:06:25.2,00:09:44.8,00:06:57.2
00:02:38.9,00:08:22.2,00:06:31.0,00:36:45.6,00:07:30.0,00:05:51.8,00:43:16.3,00:11:51.5,00:14:45.8,00:21:14.1,00:07:48.5,00:11:17.0,00:16:09.6,00:22:34.9,00:08:50.9,00:09:41.8,00:06:25.5,00:09:37.1,00:06:57.2
00:02:38.6,00:08:55.5,00:06:37.1,00:37:28.9,00:07:30.0,00:05:51.8,00:46:25.1,00:11:44.0,00:15:35.1,00:21:31.4,00:08:06.1,00:11:36.6,00:17:36.3,00:24:07.2,00:09:23.9,00:10:18.3,00:06:33.1,00:10:04.5,00:06:57.2
00:02:42.8,00:09:18.9,00:07:00.5,02:04:26.0,00:17:30.0,00:15:48.7,00:43:16.3,00:12:21.2,00:15:48.7,00:22:47.8,00:08:53.9,00:12:08.8,00:17:41.9,00:25:09.0,00:09:45.9,00:10:34.5,00:06:33.9,00:10:26.4,00:06:57.2
00:02:52.0,00:09:08.0,00:07:22.7,00:41:52.5,00:07:30.0,00:05:51.8,00:43:07.5,00:18:35.4,00:16:54.4,00:23:18.8,00:08:37.2,00:12:40.9,00:20:24.8,00:26:00.0,00:10:17.5,00:11:10.9,00:07:16.3,00:10:53.0,00:06:57.2
00:02:42.7,00:08:39.1,00:11:07.9,00:37:54.4,00:07:30.0,00:05:51.8,00:47:01.5,00:11:20.9,00:14:44.1,00:20:55.2,00:08:18.2,00:11:14.0,00:16:45.1,00:25:09.1,00:09:20.7,00:10:02.3,00:06:23.6,00:09:50.9,00:06:57.2
00:02:43.1,00:08:40.5,00:28:35.5,00:36:30.3,00:07:30.0,00:05:51.8,00:37:01.5,00:11:38.2,00:14:55.9,00:30:55.2,00:17:36.2,00:21:14.0,00:26:28.5,00:33:22.3,00:18:28.6,00:10:04.8,00:06:37.9,00:09:56.5,00:06:57.2
00:02:39.9,00:08:27.4,00:06:31.0,00:37:03.7,00:07:30.0,00:05:51.8,00:39:04.0,00:12:26.3,00:15:00.2,00:21:02.0,00:07:36.2,00:11:15.0,00:15:24.0,00:23:22.3,00:08:28.6,00:09:32.9,00:06:28.7,00:09:38.8,00:06:57.2
00:02:40.7,00:08:29.7,00:06:25.7,00:37:28.0,00:07:30.0,00:05:51.8,00:39:23.3,00:11:28.3,00:14:28.1,00:21:00.0,00:07:37.7,00:11:21.8,00:18:06.7,00:21:43.4,00:08:25.0,00:09:52.6,00:06:33.0,00:09:48.5,00:06:57.2
