Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:03:14.3,89.68 0.00,00:00:00.0 00:00:00.0,1
2,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:14.4,89.63 0.02,00:00:00.1 00:00:00.1,1
3,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:16.7,88.58 0.50,00:00:02.4 00:00:02.3,1
4,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:03:17.0,88.45 0.56,00:00:02.7 00:00:00.3,1
5,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:17.6,88.18 0.68,00:00:03.3 00:00:00.6,1
6,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:03:18.3,87.87 0.83,00:00:04.0 00:00:00.7,1
7,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:19.4,87.38 1.05,00:00:05.1 00:00:01.1,1
8,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:03:20.2,87.03 1.22,00:00:05.9 00:00:00.8,1
9,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:03:22.3,86.13 1.65,00:00:08.0 00:00:02.1,1
10,20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia Rally2 Evo,RC2,00:03:24.0,85.41 2.00,00:00:09.7 00:00:01.7,1
11,9,Serderidis  J.  /  Malfoy  Andy  Ford Puma Rally1 Hybrid,RC1,00:03:25.6,84.75 2.33,00:00:11.3 00:00:01.6,1
12,21,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia Rally2 Evo,RC2,00:03:27.2,84.09 2.67,00:00:12.9 00:00:01.6,1
13,22,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:03:28.0,83.77 2.83,00:00:13.7 00:00:00.8,1
14,23,Prokop  Martin  /  Jůrka  Zdeněk  Ford Fiesta Rally2 MkII,RC2,00:03:29.4,83.21 3.12,00:00:15.1 00:00:01.4,1
15,24,Kremer  Armin  /  Gottschalk  Timo  Škoda Fabia Rally2 Evo,RC2,00:03:29.7,83.09 3.18,00:00:15.4 00:00:00.3,1
15,27,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia RS Rally2,RC2,00:03:29.7,83.09 3.18,00:00:15.4 00:00:00.0,1
17,26,Tundo  Carl  /  Jessop  Timothy  Škoda Fabia R5,RC2,00:03:35.9,80.70 4.46,00:00:21.6 00:00:06.2,1
18,28,Díaz Aboitiz  M.  /  Sanjuán  R.  Škoda Fabia Rally2 Evo,RC2,00:03:37.4,80.15 4.77,00:00:23.1 00:00:01.5,1
19,34,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:03:40.6,78.98 5.43,00:00:26.3 00:00:03.2,1
20,30,Virani  Aakif  /  Bhatti  Azhar  Škoda Fabia R5,RC2,00:03:43.8,77.86 6.10,00:00:29.5 00:00:03.2,1
21,37,Kimathi  McRae  /  Kioni  Mwangi  Ford Fiesta Rally3,RC3,00:03:47.4,76.62 6.84,00:00:33.1 00:00:03.6,1
22,38,Bailey  Jason  /  Willetts  James  Ford Fiesta Rally3,RC3,00:03:48.9,76.12 7.15,00:00:34.6 00:00:01.5,1
23,29,Vassilakis  G.  /  Krawszik  Tom  Ford Fiesta Rally2 MkII,RC2,00:03:49.3,75.99 7.23,00:00:35.0 00:00:00.4,1
24,25,Patel  Karan  /  Khan  Tauseef  Ford Fiesta R5,RC2,00:03:49.5,75.92 7.27,00:00:35.2 00:00:00.2,1
25,32,Singh Vohra  S.  /  Khan  Alfir  Škoda Fabia Rally2 Evo,RC2,00:03:49.6,75.89 7.29,00:00:35.3 00:00:00.1,1
26,35,Anwar  Hamza  /  Din  Adnan  Ford Fiesta Rally3,RC3,00:03:50.5,75.59 7.48,00:00:36.2 00:00:00.9,1
27,44,Sachania  Nikhil  /  Patel  Deep  Mitsubishi Lancer Evo X,,00:03:50.8,75.49 7.54,00:00:36.5 00:00:00.3,1
28,41,Nzioka  Evans  /  Aswani  Absalom  Mitsubishi Lancer Evo X,,00:03:51.0,75.43 7.58,00:00:36.7 00:00:00.2,1
29,36,Wahome  Jeremy  /  Okundi  Victor  Ford Fiesta Rally3,RC3,00:03:53.9,74.49 8.18,00:00:39.6 00:00:02.9,1
30,45,Rathod  Minesh  /  Mactavish  Jamie  Mitsubishi Lancer Evo X,,00:04:00.3,72.51 9.50,00:00:46.0 00:00:06.4,1
31,40,Davite  G.  /  Vindevogel  S.  Ford Fiesta R5,RC2,00:04:26.8,65.31 14.98,00:01:12.5 00:00:26.5,1
1,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:50.3,83.12 0.00,00:00:00.0 00:00:00.0,2
2,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:57.8,82.37 0.39,00:00:07.5 00:00:07.5,2
3,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:58.7,82.28 0.44,00:00:08.4 00:00:00.9,2
4,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:13:59.0,82.26 0.45,00:00:08.7 00:00:00.3,2
5,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:59.9,82.17 0.50,00:00:09.6 00:00:00.9,2
6,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:14:02.0,81.96 0.61,00:00:11.7 00:00:02.1,2
7,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:14:05.5,81.62 0.79,00:00:15.2 00:00:03.5,2
8,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:14:07.8,81.40 0.91,00:00:17.5 00:00:02.3,2
9,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:14:24.5,79.83 1.78,00:00:34.2 00:00:16.7,2
10,20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia Rally2 Evo,RC2,00:14:34.4,78.92 2.30,00:00:44.1 00:00:09.9,2
11,21,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia Rally2 Evo,RC2,00:15:08.3,75.98 4.07,00:01:18.0 00:00:33.9,2
12,22,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:15:17.6,75.21 4.55,00:01:27.3 00:00:09.3,2
13,9,Serderidis  J.  /  Malfoy  Andy  Ford Puma Rally1 Hybrid,RC1,00:15:17.9,75.18 4.57,00:01:27.6 00:00:00.3,2
14,23,Prokop  Martin  /  Jůrka  Zdeněk  Ford Fiesta Rally2 MkII,RC2,00:15:28.2,74.35 5.11,00:01:37.9 00:00:10.3,2
15,24,Kremer  Armin  /  Gottschalk  Timo  Škoda Fabia Rally2 Evo,RC2,00:15:30.9,74.13 5.25,00:01:40.6 00:00:02.7,2
16,26,Tundo  Carl  /  Jessop  Timothy  Škoda Fabia R5,RC2,00:16:03.0,71.66 6.92,00:02:12.7 00:00:32.1,2
17,27,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia RS Rally2,RC2,00:16:06.3,71.42 7.09,00:02:16.0 00:00:03.3,2
18,35,Anwar  Hamza  /  Din  Adnan  Ford Fiesta Rally3,RC3,00:16:40.3,68.99 8.87,00:02:50.0 00:00:34.0,2
19,34,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:16:47.5,68.50 9.24,00:02:57.2 00:00:07.2,2
20,30,Virani  Aakif  /  Bhatti  Azhar  Škoda Fabia R5,RC2,00:16:52.0,68.19 9.48,00:03:01.7 00:00:04.5,2
21,41,Nzioka  Evans  /  Aswani  Absalom  Mitsubishi Lancer Evo X,,00:17:13.3,66.79 10.59,00:03:23.0 00:00:21.3,2
22,38,Bailey  Jason  /  Willetts  James  Ford Fiesta Rally3,RC3,00:17:22.1,66.22 11.05,00:03:31.8 00:00:08.8,2
23,28,Díaz Aboitiz  M.  /  Sanjuán  R.  Škoda Fabia Rally2 Evo,RC2,00:17:42.2,64.97 12.10,00:03:51.9 00:00:20.1,2
24,25,Patel  Karan  /  Khan  Tauseef  Ford Fiesta R5,RC2,00:17:55.7,64.16 12.80,00:04:05.4 00:00:13.5,2
25,37,Kimathi  McRae  /  Kioni  Mwangi  Ford Fiesta Rally3,RC3,00:17:57.3,64.06 12.88,00:04:07.0 00:00:01.6,2
26,40,Davite  G.  /  Vindevogel  S.  Ford Fiesta R5,RC2,00:18:09.5,63.34 13.52,00:04:19.2 00:00:12.2,2
27,29,Vassilakis  G.  /  Krawszik  Tom  Ford Fiesta Rally2 MkII,RC2,00:18:30.2,62.16 14.60,00:04:39.9 00:00:20.7,2
28,44,Sachania  Nikhil  /  Patel  Deep  Mitsubishi Lancer Evo X,,00:18:49.0,61.13 15.58,00:04:58.7 00:00:18.8,2
29,45,Rathod  Minesh  /  Mactavish  Jamie  Mitsubishi Lancer Evo X,,00:19:13.6,59.82 16.86,00:05:23.3 00:00:24.6,2
30,36,Wahome  Jeremy  /  Okundi  Victor  Ford Fiesta Rally3,RC3,00:19:44.1,58.28 18.46,00:05:53.8 00:00:30.5,2
31,32,Singh Vohra  S.  /  Khan  Alfir  Škoda Fabia Rally2 Evo,RC2,00:19:53.7,57.81 18.96,00:06:03.4 00:00:09.6,2
1,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:06:49.7,115.28 0.00,00:00:00.0 00:00:00.0,3
2,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:06:50.9,114.95 0.09,00:00:01.2 00:00:01.2,3
3,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:06:52.0,114.64 0.18,00:00:02.3 00:00:01.1,3
4,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:06:53.0,114.36 0.25,00:00:03.3 00:00:01.0,3
5,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:06:54.1,114.06 0.34,00:00:04.4 00:00:01.1,3
6,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:06:56.7,113.35 0.53,00:00:07.0 00:00:02.6,3
7,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:06:57.5,113.13 0.59,00:00:07.8 00:00:00.8,3
8,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:06:59.0,112.73 0.71,00:00:09.3 00:00:01.5,3
9,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:07:02.2,111.87 0.95,00:00:12.5 00:00:03.2,3
10,20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia Rally2 Evo,RC2,00:07:23.5,106.50 2.58,00:00:33.8 00:00:21.3,3
11,21,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia Rally2 Evo,RC2,00:07:35.0,103.81 3.45,00:00:45.3 00:00:11.5,3
12,22,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:07:41.2,102.41 3.93,00:00:51.5 00:00:06.2,3
13,9,Serderidis  J.  /  Malfoy  Andy  Ford Puma Rally1 Hybrid,RC1,00:07:48.0,100.92 4.44,00:00:58.3 00:00:06.8,3
14,23,Prokop  Martin  /  Jůrka  Zdeněk  Ford Fiesta Rally2 MkII,RC2,00:07:52.7,99.92 4.80,00:01:03.0 00:00:04.7,3
15,24,Kremer  Armin  /  Gottschalk  Timo  Škoda Fabia Rally2 Evo,RC2,00:08:04.7,97.45 5.72,00:01:15.0 00:00:12.0,3
16,26,Tundo  Carl  /  Jessop  Timothy  Škoda Fabia R5,RC2,00:08:18.5,94.75 6.77,00:01:28.8 00:00:13.8,3
17,34,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:08:19.6,94.54 6.85,00:01:29.9 00:00:01.1,3
18,27,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia RS Rally2,RC2,00:08:22.4,94.01 7.07,00:01:32.7 00:00:02.8,3
19,35,Anwar  Hamza  /  Din  Adnan  Ford Fiesta Rally3,RC3,00:08:34.9,91.73 8.02,00:01:45.2 00:00:12.5,3
20,38,Bailey  Jason  /  Willetts  James  Ford Fiesta Rally3,RC3,00:08:41.9,90.50 8.55,00:01:52.2 00:00:07.0,3
21,28,Díaz Aboitiz  M.  /  Sanjuán  R.  Škoda Fabia Rally2 Evo,RC2,00:08:46.7,89.68 8.92,00:01:57.0 00:00:04.8,3
22,40,Davite  G.  /  Vindevogel  S.  Ford Fiesta R5,RC2,00:08:57.8,87.82 9.76,00:02:08.1 00:00:11.1,3
23,25,Patel  Karan  /  Khan  Tauseef  Ford Fiesta R5,RC2,00:09:02.2,87.11 10.10,00:02:12.5 00:00:04.4,3
24,37,Kimathi  McRae  /  Kioni  Mwangi  Ford Fiesta Rally3,RC3,00:09:03.1,86.97 10.17,00:02:13.4 00:00:00.9,3
25,41,Nzioka  Evans  /  Aswani  Absalom  Mitsubishi Lancer Evo X,,00:09:04.2,86.79 10.25,00:02:14.5 00:00:01.1,3
26,30,Virani  Aakif  /  Bhatti  Azhar  Škoda Fabia R5,RC2,00:09:12.4,85.50 10.88,00:02:22.7 00:00:08.2,3
27,32,Singh Vohra  S.  /  Khan  Alfir  Škoda Fabia Rally2 Evo,RC2,00:09:17.8,84.68 11.29,00:02:28.1 00:00:05.4,3
28,29,Vassilakis  G.  /  Krawszik  Tom  Ford Fiesta Rally2 MkII,RC2,00:09:22.0,84.04 11.61,00:02:32.3 00:00:04.2,3
29,44,Sachania  Nikhil  /  Patel  Deep  Mitsubishi Lancer Evo X,,00:09:33.0,82.43 12.45,00:02:43.3 00:00:11.0,3
30,36,Wahome  Jeremy  /  Okundi  Victor  Ford Fiesta Rally3,RC3,00:09:34.4,82.23 12.55,00:02:44.7 00:00:01.4,3
31,45,Rathod  Minesh  /  Mactavish  Jamie  Mitsubishi Lancer Evo X,,00:10:24.8,75.60 16.39,00:03:35.1 00:00:50.4,3
