Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:05:34.0,113.48 0.00,00:00:00.0 00:00:00.0,19
2,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:05:35.1,113.13 0.10,00:00:01.1 00:00:01.1,19
3,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:35.9,112.86 0.17,00:00:01.8 00:00:00.8,19
4,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:38.3,112.04 0.41,00:00:04.3 00:00:02.5,19
5,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:05:38.9,111.85 0.46,00:00:04.9 00:00:00.6,19
6,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:41.2,111.11 0.68,00:00:07.2 00:00:02.3,19
7,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:44.4,110.06 0.99,00:00:10.4 00:00:03.2,19
8,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:05:45.0,109.89 1.04,00:00:10.9 00:00:00.6,19
9,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:05:57.2,106.13 2.20,00:00:23.1 00:00:12.2,19
10,20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia Rally2 Evo,RC2,00:06:06.5,103.43 3.08,00:00:32.5 00:00:09.3,19
11,21,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia Rally2 Evo,RC2,00:06:14.7,101.18 3.86,00:00:40.6 00:00:08.2,19
12,23,Prokop  Martin  /  Jůrka  Zdeněk  Ford Fiesta Rally2 MkII,RC2,00:06:26.0,98.20 4.94,00:00:52.0 00:00:11.4,19
13,24,Kremer  Armin  /  Gottschalk  Timo  Škoda Fabia Rally2 Evo,RC2,00:06:28.0,97.70 5.12,00:00:54.0 00:00:02.0,19
14,27,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia RS Rally2,RC2,00:06:33.8,96.25 5.68,00:00:59.8 00:00:05.8,19
15,26,Tundo  Carl  /  Jessop  Timothy  Škoda Fabia R5,RC2,00:06:41.8,94.35 6.43,00:01:07.7 00:00:07.9,19
16,32,Singh Vohra  S.  /  Khan  Alfir  Škoda Fabia Rally2 Evo,RC2,00:07:43.7,81.75 12.32,00:02:09.7 00:01:02.0,19
17,34,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:07:46.1,81.33 12.54,00:02:12.1 00:00:02.4,19
18,37,Kimathi  McRae  /  Kioni  Mwangi  Ford Fiesta Rally3,RC3,00:08:04.9,78.18 14.32,00:02:30.8 00:00:18.8,19
19,38,Bailey  Jason  /  Willetts  James  Ford Fiesta Rally3,RC3,00:08:36.8,73.35 17.36,00:03:02.8 00:00:31.9,19
20,30,Virani  Aakif  /  Bhatti  Azhar  Škoda Fabia R5,RC2,00:08:55.2,70.83 19.11,00:03:21.2 00:00:18.4,19
21,45,Rathod  Minesh  /  Mactavish  Jamie  Mitsubishi Lancer Evo X,,00:09:03.2,69.79 19.86,00:03:29.1 00:00:08.0,19
22,44,Sachania  Nikhil  /  Patel  Deep  Mitsubishi Lancer Evo X,,00:09:23.6,67.26 21.80,00:03:49.6 00:00:20.4,19
