,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12
No,Crew,Gr/Cl,,,,,,,,,,,,
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,3:17.0,13:59.0,7:02.2,15:00.4,14:04.3,-,-,18:37.1,8:32.0,18:59.9,17:56.7,8:23.9
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1  [SR],RC1 M,-,-,-,-,-,16:46.5 [N],25:04.6 [N],-,-,-,-,-
#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,3:14.4,13:50.3,6:50.9,15:01.8,13:50.2,6:46.5,15:04.6,17:30.0,8:25.8,18:05.4,17:23.4,8:22.9
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,3:19.4,13:59.9,6:52.0,15:15.2,14:09.0,6:50.2,15:32.4,18:04.6,8:30.2,18:20.6,17:35.5,8:20.6
#20,Solberg Oliver  - Edmondson E. Škoda Fabia Rally2 evo,RC2,3:24.0,14:34.4,7:23.5,16:25.1,14:43.3,7:22.1,-,18:38.7,8:56.8,21:47.6,18:29.3,8:57.9
#20,Solberg Oliver  - Edmondson E. Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,27:12.2 [N],-,-,-,-,-
#21,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia Rally2 evo,RC2,3:27.2,15:08.3,7:35.0,17:53.8,15:06.4,7:29.0,17:16.1,19:48.5,9:21.1,19:40.7,19:06.3,9:07.1
#22,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,3:28.0,15:17.6,7:41.2,17:16.3,15:04.4,7:29.7,17:12.2,19:52.4,9:28.7,20:02.8,18:56.0,-
#22,Munster Grégoire  - Louka Louis Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,18:57.9 [N]
#23,Prokop Martin  - Jůrka Zdeněk Ford Fiesta Rally2,RC2,3:29.4,15:28.2,7:52.7,18:13.1,15:24.9,7:47.0,18:35.9,21:05.3,10:05.4,21:51.7,20:38.8,9:53.8
#24,Kremer Armin  - Gottschalk Timo Škoda Fabia Rally2 evo,RC2,3:29.7,15:30.9,8:04.7,18:00.2,15:44.3,7:52.1,23:12.5,21:13.2,10:13.3,21:35.3,20:52.8,10:03.1
#25,Patel Karan  - Khan Tauseef Ford Fiesta R5,RC2,3:49.5,17:55.7,9:02.2,20:00.8,15:57.3,8:14.1,24:12.0,25:53.5,13:11.6,26:45.6,20:51.7,10:18.6
#26,Tundo Carl  - Jessop Tim Škoda Fabia R5,RC2,3:35.9,16:03.0,8:18.5,18:31.4,15:53.9,8:12.6,18:49.9,20:40.7,9:51.3,21:31.7,20:15.9,10:01.9
#27,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2,RC2,3:29.7,16:06.3,8:22.4,18:31.9,15:56.8,8:17.2,23:30.0,21:21.5,16:03.6,-,-,-
#27,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,29:40.7 [N],28:29.3 [N],18:57.9 [N]
#28,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia Rally2 evo,RC2,3:37.4,17:42.2,8:46.7,20:51.1,17:27.8,8:43.2,21:27.0,24:37.7,11:35.1,-,-,-
#29,Vassilakis George  - Krawszik Tom Ford Fiesta Rally2,RC2,3:49.3,18:30.2,9:22.0,22:34.1,17:49.0,18:33.2,-,24:50.8 [N],12:06.9,25:20.2,23:10.4,11:09.5
#29,Vassilakis George  - Krawszik Tom Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,27:12.2 [N],-,-,-,-,-
#30,Virani Aakif  - Bhatti Azhar Škoda Fabia R5,RC2,3:43.8,16:52.0,9:12.4,20:17.2,16:43.4,9:03.9,20:53.3,23:03.8,10:42.2,23:50.5,28:29.3 [N],-
#30,Virani Aakif  - Bhatti Azhar Škoda Fabia R5  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,18:57.9 [N]
#32,Singh Vohra Samman  - Khan Alfir Škoda Fabia Rally2 evo,RC2,3:49.6,19:53.7,9:17.8,21:29.4,18:17.7,9:02.5,22:53.4,-,-,-,-,-
#32,Singh Vohra Samman  - Khan Alfir Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,28:38.7 [N],18:56.8 [N],29:40.7 [N],28:29.3 [N],18:57.9 [N]
#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,3:17.6,13:58.7,6:54.1,15:06.5,14:00.7,6:49.6,15:15.0,18:38.5,8:27.4,18:19.9,17:38.2,8:25.5
#34,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,3:40.6,16:47.5,8:19.6,19:26.6,16:54.7,8:10.0,19:03.6,23:13.8,11:14.7,24:12.5,23:52.8,11:41.5
#35,Anwar Hamza  - Din Adnan Ford Fiesta Rally3,RC3,3:50.5,16:40.3,8:34.9,18:43.7,16:31.4,8:37.8,34:09.3,-,-,-,-,-
