Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,3:14.3,,89.7,1
2,#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,3:14.4,+0.1 +  0.1,89.6 0.02,1
3,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,3:16.7,+2.4 +  2.3,88.6 0.50,1
4,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,3:17.0,+2.7 +  0.3,88.4 0.56,1
5,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,3:17.6,+3.3 +  0.6,88.2 0.68,1
6,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,3:18.3,+4.0 +  0.7,87.9 0.83,1
7,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,3:19.4,+5.1 +  1.1,87.4 1.05,1
8,#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,3:20.2,+5.9 +  0.8,87.0 1.22,1
9,#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,3:22.3,+8.0 +  2.1,86.1 1.65,1
10,#20,Solberg Oliver  - Edmondson E. Škoda Fabia Rally2 evo,RC2,3:24.0,+9.7 +  1.7,85.4 2.00,1
11,#9,Serderidis Jourdan  - Malfoy Andy Ford Puma Rally1,RC1,3:25.6,+11.3 +  1.6,84.7 2.33,1
12,#21,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia Rally2 evo,RC2,3:27.2,+12.9 +  1.6,84.1 2.67,1
13,#22,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,3:28.0,+13.7 +  0.8,83.8 2.83,1
14,#23,Prokop Martin  - Jůrka Zdeněk Ford Fiesta Rally2,RC2,3:29.4,+15.1 +  1.4,83.2 3.12,1
15,#24,Kremer Armin  - Gottschalk Timo Škoda Fabia Rally2 evo,RC2,3:29.7,+15.4 +  0.3,83.1 3.18,1
15,#27,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2,RC2,3:29.7,+15.4 +  0.0,83.1 3.18,1
17,#26,Tundo Carl  - Jessop Tim Škoda Fabia R5,RC2,3:35.9,+21.6 +  6.2,80.7 4.46,1
18,#28,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia Rally2 evo,RC2,3:37.4,+23.1 +  1.5,80.1 4.77,1
19,#34,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,3:40.6,+26.3 +  3.2,79.0 5.43,1
20,#30,Virani Aakif  - Bhatti Azhar Škoda Fabia R5,RC2,3:43.8,+29.5 +  3.2,77.9 6.10,1
21,#37,Kimathi McRae  - Kioni Mwangi Ford Fiesta Rally3,RC3,3:47.4,+33.1 +  3.6,76.6 6.84,1
22,#38,Bailey Jason  - Willetts Jamie Ford Fiesta Rally3,RC3,3:48.9,+34.6 +  1.5,76.1 7.15,1
23,#29,Vassilakis George  - Krawszik Tom Ford Fiesta Rally2,RC2,3:49.3,+35.0 +  0.4,76.0 7.23,1
24,#25,Patel Karan  - Khan Tauseef Ford Fiesta R5,RC2,3:49.5,+35.2 +  0.2,75.9 7.27,1
25,#32,Singh Vohra Samman  - Khan Alfir Škoda Fabia Rally2 evo,RC2,3:49.6,+35.3 +  0.1,75.9 7.29,1
26,#35,Anwar Hamza  - Din Adnan Ford Fiesta Rally3,RC3,3:50.5,+36.2 +  0.9,75.6 7.48,1
27,#44,Sachania Nikhil  - Patel Deep Mitsubishi Lancer Evo X,NAT NR4,3:50.8,+36.5 +  0.3,75.5 7.54,1
28,#41,Nzioka Evans  - Aswani Absalom Mitsubishi Lancer Evo X,NAT NR4,3:51.0,+36.7 +  0.2,75.4 7.58,1
29,#36,Wahome Jeremiah  - Okundi Victor Ford Fiesta Rally3,RC3,3:53.9,+39.6 +  2.9,74.5 8.18,1
30,#45,Rathod Minesh  - Mactavish Jamie Mitsubishi Lancer Evo X,NAT NR4,4:00.3,+46.0 +  6.4,72.5 9.50,1
31,#40,Davite Giancarlo  - Vindevogel S. Ford Fiesta R5,RC2,4:26.8,+1:12.5 +  26.5,65.3 15.0,1
1,#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,13:50.3,,83.1,2
2,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,13:57.8,+7.5 +  7.5,82.4 0.39,2
3,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,13:58.7,+8.4 +  0.9,82.3 0.44,2
4,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,13:59.0,+8.7 +  0.3,82.3 0.45,2
5,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,13:59.9,+9.6 +  0.9,82.2 0.50,2
6,#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,14:02.0,+11.7 +  2.1,82.0 0.61,2
7,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,14:05.5,+15.2 +  3.5,81.6 0.79,2
8,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,14:07.8,+17.5 +  2.3,81.4 0.91,2
9,#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,14:24.5,+34.2 +  16.7,79.8 1.78,2
10,#20,Solberg Oliver  - Edmondson E. Škoda Fabia Rally2 evo,RC2,14:34.4,+44.1 +  9.9,78.9 2.30,2
11,#21,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia Rally2 evo,RC2,15:08.3,+1:18.0 +  33.9,76.0 4.07,2
12,#22,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,15:17.6,+1:27.3 +  9.3,75.2 4.55,2
13,#9,Serderidis Jourdan  - Malfoy Andy Ford Puma Rally1,RC1,15:17.9,+1:27.6 +  0.3,75.2 4.57,2
14,#23,Prokop Martin  - Jůrka Zdeněk Ford Fiesta Rally2,RC2,15:28.2,+1:37.9 +  10.3,74.4 5.11,2
15,#24,Kremer Armin  - Gottschalk Timo Škoda Fabia Rally2 evo,RC2,15:30.9,+1:40.6 +  2.7,74.1 5.25,2
16,#26,Tundo Carl  - Jessop Tim Škoda Fabia R5,RC2,16:03.0,+2:12.7 +  32.1,71.7 6.92,2
17,#27,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2,RC2,16:06.3,+2:16.0 +  3.3,71.4 7.09,2
18,#35,Anwar Hamza  - Din Adnan Ford Fiesta Rally3,RC3,16:40.3,+2:50.0 +  34.0,69.0 8.87,2
19,#34,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,16:47.5,+2:57.2 +  7.2,68.5 9.24,2
20,#30,Virani Aakif  - Bhatti Azhar Škoda Fabia R5,RC2,16:52.0,+3:01.7 +  4.5,68.2 9.48,2
21,#41,Nzioka Evans  - Aswani Absalom Mitsubishi Lancer Evo X,NAT NR4,17:13.3,+3:23.0 +  21.3,66.8 10.6,2
22,#38,Bailey Jason  - Willetts Jamie Ford Fiesta Rally3,RC3,17:22.1,+3:31.8 +  8.8,66.2 11.1,2
23,#28,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia Rally2 evo,RC2,17:42.2,+3:51.9 +  20.1,65.0 12.1,2
