0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,Safari,6,8,1,7,2,2,3,3,4,2,22,19,18,13,25,18,14,10,4
6,Sordo  Dan,RC1,Safari,8,6,6,5,5,7,6,6,7,6,5,6,6,7,7,7,5,4,7
7,Loubet  P.,RC1,Safari,9,9,7,8,19,8,11,10,9,10,7,8,9,8,8,6,7,9,8
8,Tänak  Ott,RC1,Safari,1,7,8,10,3,6,5,5,8,7,11,7,8,4,3,1,6,7,1
9,Serderidis,RC1,Safari,11,13,13,12,12,12,10,13,11,12,16,19,18,-,-,-,-,-,-
11,Neuville  ,RC1,Safari,4,4,9,2,6,29,25,7,6,8,6,3,7,6,5,2,8,5,-
17,Ogier  S. ,RC1,Safari,2,1,2,3,1,1,1,1,2,3,1,2,3,2,1,5,2,6,3
18,Katsuta  T,RC1,Safari,7,5,3,6,8,5,7,4,5,5,3,1,4,3,6,8,3,1,6
20,Solberg  O,RC2,Safari,10,10,10,9,9,9,26,9,10,15,8,9,5,9,9,9,9,8,9
21,Kajetanowi,RC2,Safari,12,11,11,13,11,10,9,11,12,9,10,10,10,16,13,10,11,11,10
22,Munster  G,RC2,Safari,13,12,12,11,10,11,8,12,13,11,9,21,20,10,10,11,-,-,-
23,Prokop  Ma,RC2,Safari,14,14,14,15,13,13,12,15,15,16,13,11,12,14,15,12,12,14,11
24,Kremer  Ar,RC2,Safari,15,15,15,14,14,14,21,16,16,14,15,13,11,15,11,13,13,13,12
25,Patel  Kar,RC2,Safari,24,24,23,20,17,17,24,28,25,24,14,14,14,19,16,16,-,-,-
26,Tundo  Car,RC2,Safari,17,16,16,16,15,16,13,14,14,13,12,12,13,12,12,15,15,15,14
27,Chwist  Da,RC2,Safari,15,17,18,17,16,18,23,17,26,25,23,21,20,11,14,14,10,12,13
28,Díaz Aboit,RC2,Safari,18,23,21,25,24,20,18,25,21,25,23,21,20,-,-,-,-,-,-
29,Vassilakis,RC2,Safari,23,27,28,28,27,30,26,26,24,21,18,15,15,-,-,-,-,-,-
30,Virani  Aa,RC2,Safari,20,20,26,21,20,25,16,20,17,17,23,21,20,17,17,19,16,21,19
32,Singh Vohr,RC2,Safari,25,31,27,26,29,24,20,29,27,25,23,21,20,20,19,20,18,17,15
33,Evans  Elf,RC1,Safari,5,3,5,4,4,4,4,8,3,4,4,4,2,5,4,4,4,2,5
34,Dominguez ,RC3,Safari,19,19,17,19,21,15,14,21,19,18,19,16,16,22,18,17,20,16,16
35,Anwar  Ham,RC3,Safari,26,18,19,18,18,19,31,30,28,28,-,-,-,-,-,-,-,-,-
36,Wahome  Je,RC3,Safari,29,30,30,29,28,22,29,22,20,23,27,27,26,-,-,-,-,-,-
37,Kimathi  M,RC3,Safari,21,25,24,30,26,23,17,24,28,28,27,27,26,24,22,23,22,19,17
38,Bailey  Ja,RC3,Safari,22,22,20,24,23,21,15,19,28,28,27,27,26,18,21,21,17,18,18
40,Davite  G.,RC2,Safari,31,26,22,23,22,28,26,18,18,19,17,21,20,-,-,-,-,-,-
41,Nzioka  Ev,-,Safari,28,21,25,22,25,26,19,31,31,31,30,30,29,21,19,22,19,-,-
44,Sachania  ,-,Safari,27,28,29,27,30,27,22,27,23,22,20,17,17,23,23,25,21,22,21
45,Rathod  Mi,-,Safari,30,29,31,31,31,31,30,23,22,20,21,18,29,25,24,24,23,20,20
69,Rovanperä ,RC1,Safari,3,2,4,1,7,3,2,2,1,1,2,5,1,1,2,3,1,3,2
