SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
00:03:18.3,00:14:07.8,00:06:49.7,00:15:22.7,00:13:58.6,00:06:47.7,00:15:07.9,00:17:56.8,00:08:27.6,00:18:01.2,00:27:23.4,00:18:20.6,00:29:07.7,00:07:15.2,00:17:44.2,00:07:20.8,00:07:14.7,00:12:43.6,00:05:38.9
00:03:20.2,00:14:02.0,00:06:56.7,00:15:14.4,00:14:01.6,00:06:52.8,00:15:29.4,00:18:12.7,00:08:32.5,00:18:27.2,00:17:46.0,00:08:30.0,00:20:06.0,00:06:24.5,00:11:52.0,00:05:45.5,00:06:14.0,00:12:05.5,00:05:44.9
00:03:22.3,00:14:24.5,00:06:57.5,00:15:30.4,00:16:36.0,00:06:56.1,00:17:56.8,00:19:23.3,00:08:53.1,00:19:41.3,00:18:17.5,00:08:42.9,00:21:04.1,00:06:33.5,00:12:03.2,00:05:39.5,00:06:17.5,00:12:41.6,00:05:57.1
00:03:14.3,00:14:05.5,00:06:59.0,00:17:05.0,00:14:00.4,00:06:51.9,00:15:25.9,00:18:04.9,00:08:32.7,00:18:41.4,00:19:48.7,00:08:42.4,00:20:56.0,00:06:19.1,00:11:32.4,00:05:29.7,00:06:16.6,00:12:16.0,00:05:35.0
00:03:25.6,00:15:17.9,00:07:48.0,00:17:19.9,00:15:08.5,00:07:36.1,00:17:38.1,00:20:31.4,00:09:14.6,00:20:54.4,00:21:40.7,00:18:20.6,00:29:07.7,-,-,-,-,-,-
00:03:17.0,00:13:59.0,00:07:02.2,00:15:00.4,00:14:04.3,00:16:46.5,00:25:04.6,00:18:37.1,00:08:32.0,00:18:59.9,00:17:56.7,00:08:23.9,00:20:11.8,00:06:22.8,00:11:39.4,00:05:30.3,00:06:21.8,00:12:05.8,-
00:03:14.4,00:13:50.3,00:06:50.9,00:15:01.8,00:13:50.2,00:06:46.5,00:15:04.6,00:17:30.0,00:08:25.8,00:18:05.4,00:17:23.4,00:08:22.9,00:19:23.0,00:06:13.2,00:11:15.9,00:05:34.2,00:06:03.2,00:12:08.5,00:05:38.3
00:03:19.4,00:13:59.9,00:06:52.0,00:15:15.2,00:14:09.0,00:06:50.2,00:15:32.4,00:18:04.6,00:08:30.2,00:18:20.6,00:17:35.5,00:08:20.6,00:19:39.6,00:06:16.5,00:11:43.6,00:05:48.4,00:06:10.6,00:11:53.6,00:05:44.4
00:03:24.0,00:14:34.4,00:07:23.5,00:16:25.1,00:14:43.3,00:07:22.1,00:27:12.2,00:18:38.7,00:08:56.8,00:21:47.6,00:18:29.3,00:08:57.9,00:20:00.9,00:06:40.8,00:12:15.8,00:05:57.6,00:06:30.8,00:12:19.2,00:06:06.5
