0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,,,,,
3,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally1 Hybrid,RC1,7,4,6,5,4,6,7,6,5,6,7,5,5,5,6,6,5,6,8,6,7
4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,2,5,5,4,2,3,2,4,4,4,2,2,3,3,4,3,2,2,4,2,3
7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,8,8,7,7,7,7,3,7,8,7,6,6,8,8,7,8,11,8,7,8,6
8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,1,1,1,1,6,2,1,1,6,5,5,4,6,7,5,5,9,5,5,7,4
11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,5,2,2,2,4,5,4,5,2,2,4,8,2,2,3,2,3,4,3,3,5
18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,6,7,8,8,8,8,8,8,7,8,8,7,7,6,8,7,8,7,6,5,8
20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,12,9,9,10,47,46,46,46,9,9,9,9,9,9,9,10,7,44,9,43,11
21,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,15,12,12,14,13,11,9,9,13,10,22,15,15,15,14,16,13,11,14,14,-
22,Lindholm  Emil  /  Hämäläinen  R.  Hyundai i20 N Rally2,RC2,27,15,13,18,17,13,10,21,12,13,12,16,14,12,13,14,12,13,13,15,16
23,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,11,10,10,16,10,9,11,11,10,12,11,12,17,11,12,13,6,10,11,10,10
24,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,13,14,16,11,9,17,12,10,11,16,10,10,10,14,10,9,10,9,10,9,9
25,Kaur  Egon  /  Viilo  Jakko  Škoda Fabia RS Rally2,RC2,21,11,15,12,11,12,29,18,14,21,21,21,11,17,11,12,17,14,12,12,15
