Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:03:02.5,66.08 0.00,00:00:00.0 00:00:00.0,1
2,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:03:03.1,65.87 0.18,00:00:00.6 00:00:00.6,1
2,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:03.1,65.87 0.18,00:00:00.6 00:00:00.0,1
4,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:03.2,65.83 0.21,00:00:00.7 00:00:00.1,1
5,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:03:04.1,65.51 0.48,00:00:01.6 00:00:00.9,1
6,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:05.7,64.94 0.96,00:00:03.2 00:00:01.6,1
7,3,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally1 Hybrid,RC1,00:03:07.0,64.49 1.34,00:00:04.5 00:00:01.3,1
8,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:03:07.5,64.32 1.49,00:00:05.0 00:00:00.5,1
9,29,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:03:09.0,63.81 1.94,00:00:06.5 00:00:01.5,1
10,28,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:03:09.1,63.78 1.97,00:00:06.6 00:00:00.1,1
11,23,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:03:09.7,63.57 2.15,00:00:07.2 00:00:00.6,1
12,20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:03:10.0,63.47 2.24,00:00:07.5 00:00:00.3,1
13,24,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:03:10.4,63.34 2.36,00:00:07.9 00:00:00.4,1
14,31,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:03:11.0,63.14 2.54,00:00:08.5 00:00:00.6,1
15,21,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:03:11.4,63.01 2.66,00:00:08.9 00:00:00.4,1
16,26,Virves  Robert  /  Drew  Craig  Ford Fiesta Rally2 MkII,RC2,00:03:11.6,62.94 2.72,00:00:09.1 00:00:00.2,1
