,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,,,,,
#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,3:04.1,13:21.1,8:49.2,10:16.6,13:23.4,8:50.5,10:05.6,4:34.7,5:40.9,5:46.7,5:37.0,5:48.5,5:58.7,8:02.3,5:51.9,7:51.7,3:01.3,6:05.3,9:28.6,5:56.6,9:21.1
#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,3:05.7,13:30.2,9:01.6,10:23.2,13:36.8,9:00.2,10:09.3,4:38.8,5:48.8,5:53.4,5:41.7,5:47.4,6:04.4,8:13.3,5:58.1,8:02.7,3:06.2,6:12.6,9:34.9,6:00.3,9:23.8
#20,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2,RC2,3:10.0,13:52.6,9:16.9,10:44.1,-,-,-,-,6:00.5,6:02.3,5:54.5,5:57.1,6:15.2,8:23.0,6:08.6,8:17.6,3:05.9,7:29.1,10:01.3,7:22.9,9:57.2
#20,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,24:06.6 [N],19:29.2 [N],20:35.3 [N],14:46.3 [N],-,-,-,-,-,-,-,-,-,-,-,-,-
#21,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,3:11.4,14:03.3,9:25.6,10:47.7,14:15.9,9:30.8,10:35.3,4:46.3,6:04.7,6:06.6,6:08.7,6:04.0,6:19.4,8:32.8,6:12.5,8:24.3,3:08.9,6:30.6,10:08.8,6:23.9,-
#22,Lindholm Emil - Hämäläinen Reeta Hyundai i20 N Rally2,RC2,3:15.7,14:09.7,9:26.4,10:52.3,14:26.3,9:33.2,10:45.4,5:00.0,6:02.8,6:09.2,5:59.0,6:04.5,6:19.2,8:30.6,6:12.4,8:20.4,3:07.7,6:31.8,10:07.4,6:24.2,10:00.8
#23,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,3:09.7,13:57.4,9:21.4,10:48.6,14:09.2,9:29.2,10:45.9,4:48.2,6:02.1,6:07.7,5:57.2,6:01.8,6:20.3,8:29.7,6:11.9,8:20.3,3:05.8,6:28.4,10:03.7,6:22.0,9:56.8
#24,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,3:10.4,14:05.3,9:27.3,10:45.2,14:06.6,9:36.8,10:48.1,4:47.5,6:02.4,6:09.5,5:56.9,6:01.5,6:17.5,8:31.9,6:11.7,8:17.1,3:06.5,6:25.7,10:03.2,6:19.2,9:56.7
#25,Kaur Egon - Viilo Jakko Škoda Fabia RS Rally2,RC2,3:13.3,14:00.3,9:26.9,10:46.6,14:11.7,9:32.7,12:00.6,4:54.4,6:04.9,6:19.8,6:08.0,6:15.1,6:18.7,8:34.6,6:11.8,8:20.2,3:11.0,6:32.4,10:06.8,6:22.5,10:00.6
#26,Virves Robert - Drew Craig Ford Fiesta Rally2,RC2,3:11.6,14:04.8,9:26.7,10:52.0,14:15.1,9:35.7,11:26.1,4:53.1,6:05.4,6:12.3,6:02.9,6:08.2,6:27.6,8:33.8,6:16.6,8:27.7,3:11.0,6:34.7,10:16.7,6:28.8,10:01.7
#27,Bulacia Marco - Vallejo Diego Škoda Fabia RS Rally2,RC2,3:13.1,14:11.2,9:27.6,10:48.0,14:17.8,9:29.6,11:43.4,4:49.7,6:06.7,6:09.4,6:02.0,6:02.9,6:19.1,8:31.2,6:13.6,8:24.2,3:09.2,6:30.8,10:09.8,6:22.7,9:58.9
#28,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,3:09.1,14:13.4,9:23.0,10:41.5,14:19.9,9:34.1,11:26.7,4:51.5,6:06.8,6:06.7,6:01.0,6:03.4,6:19.1,-,-,-,-,6:34.1,10:10.1,6:26.7,9:59.3
