Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,3:02.5,,66.1,1
2,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,3:03.1,+0.6 +0.6,65.9 0.18,1
2,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,3:03.1,+0.6 +0.0,65.9 0.18,1
4,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,3:03.2,+0.7 +0.1,65.8 0.21,1
5,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,3:04.1,+1.6 +0.9,65.5 0.48,1
6,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,3:05.7,+3.2 +1.6,64.9 0.96,1
7,#3,Suninen Teemu - Markkula Mikko Hyundai i20 N Rally1,RC1 M,3:07.0,+4.5 +1.3,64.5 1.34,1
8,#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,3:07.5,+5.0 +0.5,64.3 1.49,1
9,#29,Marczyk Mikołaj - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,3:09.0,+6.5 +1.5,63.8 1.94,1
10,#28,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,3:09.1,+6.6 +0.1,63.8 1.97,1
11,#23,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,3:09.7,+7.2 +0.6,63.6 2.15,1
12,#20,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2,RC2,3:10.0,+7.5 +0.3,63.5 2.24,1
13,#24,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,3:10.4,+7.9 +0.4,63.3 2.36,1
14,#31,McErlean Josh - Fulton James Hyundai i20 N Rally2,RC2,3:11.0,+8.5 +0.6,63.1 2.54,1
15,#21,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,3:11.4,+8.9 +0.4,63.0 2.66,1
16,#26,Virves Robert - Drew Craig Ford Fiesta Rally2,RC2,3:11.6,+9.1 +0.2,62.9 2.72,1
16,#35,Bulacia B. - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,3:11.6,+9.1 +0.0,62.9 2.72,1
18,#36,Fernández Emilio - Rozada Borja Škoda Fabia Rally2 evo,RC2,3:11.9,+9.4 +0.3,62.8 2.81,1
19,#30,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,3:12.8,+10.3 +0.9,62.6 3.07,1
20,#27,Bulacia Marco - Vallejo Diego Škoda Fabia RS Rally2,RC2,3:13.1,+10.6 +0.3,62.5 3.16,1
21,#25,Kaur Egon - Viilo Jakko Škoda Fabia RS Rally2,RC2,3:13.3,+10.8 +0.2,62.4 3.22,1
22,#34,Martínez Fontena J. - Alvarez Nicholson A. Škoda Fabia Rally2 evo,RC2,3:13.9,+11.4 +0.6,62.2 3.40,1
22,#50,Korhola Benjamin - Kelander Pekka Ford Fiesta Rally3,RC3,3:13.9,+11.4 +0.0,62.2 3.40,1
24,#53,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3,RC3,3:14.3,+11.8 +0.4,62.1 3.52,1
25,#52,Creighton William - Regan Liam Ford Fiesta Rally3,RC3,3:14.8,+12.3 +0.5,61.9 3.67,1
26,#54,Pellier Laurent - Bronner Kévin Ford Fiesta Rally3,RC3,3:15.4,+12.9 +0.6,61.7 3.85,1
27,#22,Lindholm Emil - Hämäläinen Reeta Hyundai i20 N Rally2,RC2,3:15.7,+13.2 +0.3,61.6 3.94,1
28,#58,Munster Grégoire - Louka Louis Ford Fiesta Rally3,RC3,3:16.8,+14.3 +1.1,61.3 4.27,1
29,#47,Korhonen Roope - Viinikka Anssi Ford Fiesta Rally3,RC3,3:17.1,+14.6 +0.3,61.2 4.36,1
30,#38,Kasari Kaspar - Raidma Rainis Škoda Fabia R5,RC2,3:17.5,+15.0 +0.4,61.1 4.48,1
31,#60,Mauro Sánchez A. - Sanjuan de Eusebio D. Škoda Fabia Rally2 evo,RC2,3:18.7,+16.2 +1.2,60.7 4.84,1
32,#41,Miele Mauro - Beltrame Luca Škoda Fabia RS Rally2,RC2,3:18.8,+16.3 +0.1,60.7 4.87,1
33,#37,Koik Priit - Tamm Kristo Škoda Fabia Rally2 evo,RC2,3:18.9,+16.4 +0.1,60.6 4.90,1
34,#48,Herranen Toni - Lukka Mikko Ford Fiesta Rally3,RC3,3:19.2,+16.7 +0.3,60.5 4.99,1
35,#49,Türkkan Ali - Erdener Burak Ford Fiesta Rally3,RC3,3:19.3,+16.8 +0.1,60.5 5.01,1
36,#57,Kelly Eamonn - Mohan Conor Ford Fiesta Rally3,RC3,3:21.0,+18.5 +1.7,60.0 5.52,1
37,#39,Villanueva A. - Murado González J. Škoda Fabia RS Rally2,RC2,3:21.3,+18.8 +0.3,59.9 5.61,1
38,#59,Anwar Hamza - Kihurani Alexander Ford Fiesta Rally3,RC3,3:23.3,+20.8 +2.0,59.3 6.21,1
39,#62,Kohn Filip - Woodburn Tom Ford Fiesta Rally3,RC3,3:23.6,+21.1 +0.3,59.2 6.30,1
40,#56,Rensonnet Tom - Dumont Loïc Ford Fiesta Rally3,RC3,3:24.2,+21.7 +0.6,59.1 6.48,1
41,#55,Blach Roberto - Barreiro Mauro Ford Fiesta Rally3,RC3,3:25.1,+22.6 +0.9,58.8 6.75,1
42,#51,Cumiskey Brendan - Kierans Arthur Ford Fiesta Rally3,RC3,3:25.7,+23.2 +0.6,58.6 6.93,1
43,#64,Sei Karl-Markus - Leotoots Martin Peugeot 208 Rally4,RC4,3:27.3,+24.8 +1.6,58.2 7.40,1
44,#45,Cobbe Luciano - Mometti Roberto Škoda Fabia Rally2 evo,RC2,3:27.4,+24.9 +0.1,58.1 7.43,1
45,#63,Vaher Jaspar - Mitendorf Evelin Ford Fiesta Rally4,RC4,3:30.6,+28.1 +3.2,57.3 8.39,1
46,#65,Jürgenson Romet - Oja Siim Ford Fiesta Rally4,RC4,3:31.0,+28.5 +0.4,57.2 8.51,1
47,#66,Lempu Kevin - Rahumeel Andre Ford Fiesta Rally4,RC4,3:35.4,+32.9 +4.4,56.0 9.82,1
48,#67,Uger Sergey - Uger Obolenskaya M. Ford Fiesta R5,RC2,3:39.4,+36.9 +4.0,55.0 11.0,1
49,#40,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2  [SR],RC2,13:09.0 [N],+10:06.5 +9:29.6,15.3 181.0,1
1,#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,13:16.1,,110.1,2
2,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,13:21.1,+5.0 +5.0,109.4 0.21,2
3,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,13:25.2,+9.1 +4.1,108.9 0.37,2
4,#3,Suninen Teemu - Markkula Mikko Hyundai i20 N Rally1,RC1 M,13:25.6,+9.5 +0.4,108.8 0.39,2
5,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,13:26.6,+10.5 +1.0,108.7 0.43,2
6,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,13:27.5,+11.4 +0.9,108.6 0.47,2
7,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,13:30.2,+14.1 +2.7,108.2 0.58,2
8,#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,13:32.9,+16.8 +2.7,107.8 0.69,2
9,#20,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2,RC2,13:52.6,+36.5 +19.7,105.3 1.50,2
10,#23,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,13:57.4,+41.3 +4.8,104.7 1.70,2
11,#25,Kaur Egon - Viilo Jakko Škoda Fabia RS Rally2,RC2,14:00.3,+44.2 +2.9,104.3 1.82,2
12,#21,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,14:03.3,+47.2 +3.0,103.9 1.94,2
13,#26,Virves Robert - Drew Craig Ford Fiesta Rally2,RC2,14:04.8,+48.7 +1.5,103.8 2.00,2
14,#24,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,14:05.3,+49.2 +0.5,103.7 2.02,2
15,#22,Lindholm Emil - Hämäläinen Reeta Hyundai i20 N Rally2,RC2,14:09.7,+53.6 +4.4,103.2 2.20,2
16,#27,Bulacia Marco - Vallejo Diego Škoda Fabia RS Rally2,RC2,14:11.2,+55.1 +1.5,103.0 2.26,2
17,#28,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,14:13.4,+57.3 +2.2,102.7 2.35,2
18,#30,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,14:16.6,+1:00.5 +3.2,102.3 2.48,2
19,#36,Fernández Emilio - Rozada Borja Škoda Fabia Rally2 evo,RC2,14:22.9,+1:06.8 +6.3,101.6 2.74,2
20,#35,Bulacia B. - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,14:26.2,+1:10.1 +3.3,101.2 2.88,2
21,#31,McErlean Josh - Fulton James Hyundai i20 N Rally2,RC2,14:30.3,+1:14.2 +4.1,100.7 3.05,2
