Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:10:09.4,121.99 0.00,00:00:00.0 00:00:00.0,14
2,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:10:11.8,121.51 0.12,00:00:02.4 00:00:02.4,14
3,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:10:17.1,120.47 0.37,00:00:07.7 00:00:05.3,14
4,3,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally1 Hybrid,RC1,00:10:18.0,120.29 0.42,00:00:08.6 00:00:00.9,14
5,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:10:19.6,119.98 0.49,00:00:10.2 00:00:01.6,14
6,97,Latvala  J.  /  Hänninen  Juho  Toyota GR Yaris Rally1 Hybrid,RC1,00:10:26.2,118.72 0.81,00:00:16.8 00:00:06.6,14
7,27,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:10:46.0,115.08 1.77,00:00:36.6 00:00:19.8,14
8,28,Huttunen  Jari  /  Haapala  Antti  Škoda Fabia RS Rally2,RC2,00:10:47.0,114.90 1.82,00:00:37.6 00:00:01.0,14
9,21,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:10:48.6,114.62 1.90,00:00:39.2 00:00:01.6,14
10,22,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:10:50.4,114.30 1.99,00:00:41.0 00:00:01.8,14
11,23,Lindholm  Emil  /  Hämäläinen  R.  Hyundai i20 N Rally2,RC2,00:10:51.4,114.12 2.03,00:00:42.0 00:00:01.0,14
12,24,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:10:52.8,113.88 2.10,00:00:43.4 00:00:01.4,14
13,26,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:10:53.7,113.72 2.15,00:00:44.3 00:00:00.9,14
14,30,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia RS Rally2,RC2,00:10:54.3,113.62 2.17,00:00:44.9 00:00:00.6,14
15,25,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:10:57.5,113.06 2.33,00:00:48.1 00:00:03.2,14
16,39,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:10:58.6,112.88 2.38,00:00:49.2 00:00:01.1,14
17,29,Joona  Lauri  /  Shemeikka  T.  Škoda Fabia RS Rally2,RC2,00:11:03.2,112.09 2.61,00:00:53.8 00:00:04.6,14
18,34,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:11:04.6,111.86 2.67,00:00:55.2 00:00:01.4,14
18,36,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:11:04.6,111.86 2.67,00:00:55.2 00:00:00.0,14
20,40,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:11:09.6,111.02 2.92,00:01:00.2 00:00:05.0,14
21,35,Zaldivar  F.  /  Der Ohannesian  M.  Hyundai i20 N Rally2,RC2,00:11:10.4,110.89 2.95,00:01:01.0 00:00:00.8,14
22,37,Bulacia  Bruno  /  Coronado  Axel  Škoda Fabia RS Rally2,RC2,00:11:17.5,109.73 3.30,00:01:08.1 00:00:07.1,14
23,48,Kelly  Eamonn  /  Mohan  Conor  Hyundai i20 N Rally2,RC2,00:11:22.4,108.94 3.54,00:01:13.0 00:00:04.9,14
24,65,Rytkönen  Anssi  /  Koskela  J.  Škoda Fabia R5,RC2,00:11:23.3,108.80 3.58,00:01:13.9 00:00:00.9,14
25,38,Fernàndez  E.  /  Odriozola  Borja  Škoda Fabia Rally2 Evo,RC2,00:11:27.0,108.21 3.76,00:01:17.6 00:00:03.7,14
26,20,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:11:28.8,107.93 3.85,00:01:19.4 00:00:01.8,14
27,57,Kallio  Jesse  /  Lindberg  Jussi  Ford Fiesta Rally3,RC3,00:11:30.1,107.72 3.91,00:01:20.7 00:00:01.3,14
28,53,Korhola  B.  /  Kelander  Pekka  Ford Fiesta Rally3,RC3,00:11:32.0,107.43 4.00,00:01:22.6 00:00:01.9,14
29,44,Ciamin  Nicolas  /  Roche  Yannick  Volkswagen Polo Gti R5,RC2,00:11:38.3,106.46 4.31,00:01:28.9 00:00:06.3,14
