SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
00:02:43.6,00:05:38.4,00:06:05.2,00:06:59.5,00:04:27.6,00:05:41.1,00:06:08.4,00:07:04.1,00:04:24.1,00:02:51.2,00:08:41.7,00:09:46.7,00:10:04.6,00:10:18.0,00:08:35.5,00:09:39.8,00:09:52.4,00:10:39.3,00:07:35.9,00:05:07.1,00:07:31.7,00:04:56.4
00:02:40.8,00:05:37.8,00:06:02.9,00:06:58.3,00:14:21.0,00:15:40.5,00:16:05.7,00:16:59.6,00:14:20.7,00:12:44.5,-,-,-,-,-,-,-,-,-,-,-,-
00:02:41.2,00:05:41.2,00:15:57.8,00:16:55.7,00:14:21.0,00:15:40.5,00:16:05.7,00:16:59.6,00:14:20.7,00:12:44.5,00:09:00.8,00:09:53.0,00:10:11.4,00:10:19.6,00:08:40.6,00:09:46.0,00:10:04.4,00:11:00.7,00:09:16.7,00:05:15.2,00:09:08.6,00:05:03.2
00:02:39.0,00:05:38.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00:02:39.6,00:05:38.1,00:06:02.2,00:06:59.6,00:04:24.4,00:05:44.4,00:06:08.2,00:06:59.6,00:04:20.7,00:02:44.5,00:08:34.1,00:09:39.4,00:09:58.6,00:10:11.8,00:08:31.2,00:09:36.5,00:09:51.8,00:10:34.4,00:07:39.4,00:05:05.7,00:07:31.2,00:04:55.0
00:02:42.1,00:05:36.1,00:06:05.2,00:07:00.5,00:04:23.7,00:05:40.7,00:06:07.6,00:07:02.6,00:04:21.9,00:02:50.4,00:08:42.5,00:10:00.5,00:10:04.3,00:10:17.1,00:08:33.7,00:09:40.9,00:09:52.2,00:10:32.8,00:07:37.8,00:05:04.4,00:07:32.6,00:04:58.4
00:02:51.8,00:06:10.4,00:06:56.5,00:07:51.0,00:04:50.7,00:06:08.4,00:06:49.7,00:07:41.9,00:04:44.2,00:02:56.6,00:09:28.2,00:11:10.5,00:11:12.9,00:11:28.8,00:09:11.6,00:10:35.6,00:10:47.6,00:11:45.3,00:08:20.4,00:05:30.5,00:08:06.9,00:05:23.3
00:02:50.9,00:05:59.6,00:06:31.0,00:07:22.4,00:04:38.8,00:06:04.1,00:06:28.4,00:07:33.5,00:04:36.1,00:02:58.4,00:08:57.5,00:10:14.9,00:10:34.5,00:10:48.6,00:08:51.4,00:10:07.5,00:10:28.3,00:11:06.1,00:08:02.9,00:05:21.9,00:07:53.9,00:05:14.2
00:02:51.9,00:06:02.7,00:06:34.4,00:07:32.2,00:04:44.2,00:06:07.1,00:06:33.9,00:07:31.6,00:04:41.4,00:02:58.9,00:09:12.2,00:10:24.6,00:10:33.4,00:10:50.4,00:08:57.2,00:20:07.5,00:20:24.1,00:21:06.1,-,-,-,-
