No.,Crew,Group,ss,Race,cou,time_SS_sec
8,Tänak  Ott,RC1,1,Finland,1,159.0
11,Neuville  ,RC1,1,Finland,2,159.6
69,Rovanperä ,RC1,1,Finland,3,159.7
4,Lappi  Esa,RC1,1,Finland,4,160.8
33,Evans  Elf,RC1,1,Finland,5,160.9
7,Loubet  P.,RC1,1,Finland,6,161.2
18,Katsuta  T,RC1,1,Finland,7,162.1
3,Suninen  T,RC1,1,Finland,8,163.6
97,Latvala  J,RC1,1,Finland,9,167.1
28,Huttunen  ,RC2,1,Finland,10,167.3
25,Gryazin  N,RC2,1,Finland,11,168.4
24,Mikkelsen ,RC2,1,Finland,12,169.0
23,Lindholm  ,RC2,1,Finland,13,169.4
26,Fourmaux  ,RC2,1,Finland,14,169.4
27,Pajari  Sa,RC2,1,Finland,15,169.6
21,Solberg  O,RC2,1,Finland,16,170.9
30,Heikkilä  ,RC2,1,Finland,17,171.0
52,Korhonen  ,RC2,1,Finland,18,171.3
20,Rossel  Yo,RC2,1,Finland,19,171.8
22,Greensmith,RC2,1,Finland,20,171.9
34,Linnamäe  ,RC2,1,Finland,21,172.2
41,Tahko  Rik,RC2,1,Finland,22,172.2
29,Joona  Lau,RC2,1,Finland,23,172.6
44,Ciamin  Ni,RC2,1,Finland,24,172.7
35,Zaldivar  ,RC2,1,Finland,25,172.9
36,Marczyk  M,RC2,1,Finland,26,173.0
31,Virves  Ro,RC2,1,Finland,27,173.3
38,Fernàndez ,RC2,1,Finland,28,173.3
39,McErlean  ,RC2,1,Finland,29,173.4
32,Bulacia  M,RC2,1,Finland,30,173.5
65,Rytkönen  ,RC2,1,Finland,31,173.8
37,Bulacia  B,RC2,1,Finland,32,174.7
40,Munster  G,RC2,1,Finland,33,176.0
46,Villanueva,RC2,1,Finland,34,177.1
48,Kelly  Eam,RC2,1,Finland,35,177.5
56,Kohn  Fili,RC3,1,Finland,36,181.5
75,Cartier  V,RC2,1,Finland,37,182.2
53,Korhola  B,RC3,1,Finland,38,183.4
64,Borodin  P,RC3,1,Finland,39,183.6
55,Türkkan  A,RC3,1,Finland,40,184.4
57,Kallio  Je,RC3,1,Finland,41,184.8
45,Jylhä  Tom,RC2,1,Finland,42,186.0
59,Timonen  H,RC3,1,Finland,43,186.8
76,Rowley  Pa,RC2,1,Finland,44,187.8
49,Díaz Aboit,RC2,1,Finland,45,189.1
74,Fontana  M,RC4,1,Finland,46,189.4
58,Nieminen  ,RC3,1,Finland,47,190.5
66,Tuuri  Jar,RC2,1,Finland,48,190.8
68,Manninen  ,RC3,1,Finland,49,190.8
61,Laakso  Vi,RC3,1,Finland,50,191.8
67,McCormack ,RC2,1,Finland,51,194.0
73,Otake  Nao,RC4,1,Finland,52,194.7
70,Räikkönen ,RC4,1,Finland,53,195.3
60,Cumiskey  ,RC3,1,Finland,54,195.7
62,Vihtari  T,RC3,1,Finland,55,195.9
72,Kogure  Hi,RC4,1,Finland,56,197.9
63,Paciorkows,RC3,1,Finland,57,198.8
77,Strobl  A.,RC2,1,Finland,58,198.8
