,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,,,,,,
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,2:39.6,5:38.1,6:02.2,6:59.6,4:24.4,5:44.4,6:08.2,6:59.6,4:20.7,2:44.5,8:34.1,9:39.4,9:58.6,10:11.8,8:31.2,9:36.5,9:51.8,10:34.4,7:39.4,5:05.7,7:31.2,4:55.0
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,2:42.1,5:36.1,6:05.2,7:00.5,4:23.7,5:40.7,6:07.6,7:02.6,4:21.9,2:50.4,8:42.5,10:00.5,10:04.3,10:17.1,8:33.7,9:40.9,9:52.2,10:32.8,7:37.8,5:04.4,7:32.6,4:58.4
#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,2:51.8,6:10.4,6:56.5,7:51.0,4:50.7,6:08.4,6:49.7,7:41.9,4:44.2,2:56.6,9:28.2,11:10.5,11:12.9,11:28.8,9:11.6,10:35.6,10:47.6,11:45.3,8:20.4,5:30.5,8:06.9,5:23.3
#21,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,2:50.9,5:59.6,6:31.0,7:22.4,4:38.8,6:04.1,6:28.4,7:33.5,4:36.1,2:58.4,8:57.5,10:14.9,10:34.5,10:48.6,8:51.4,10:07.5,10:28.3,11:06.1,8:02.9,5:21.9,7:53.9,5:14.2
#22,Greensmith Gus  - Andersson Jonas Škoda Fabia RS Rally2,RC2,2:51.9,6:02.7,6:34.4,7:32.2,4:44.2,6:07.1,6:33.9,7:31.6,4:41.4,2:58.9,9:12.2,10:24.6,10:33.4,10:50.4,8:57.2,-,-,-,-,-,-,-
#23,Lindholm Emil  - Hämäläinen R. Hyundai i20 N Rally2,RC2,2:49.4,5:58.6,6:32.0,7:24.3,4:44.7,6:00.3,6:37.5,7:27.3,4:45.0,-,9:08.0,10:25.0,10:36.4,10:51.4,8:56.2,10:08.5,10:25.2,11:23.0,8:02.8,5:20.2,7:51.8,5:13.1
#23,Lindholm Emil  - Hämäläinen R. Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,12:53.9 [N],-,-,-,-,-,-,-,-,-,-,-,-
#24,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,2:49.0,6:02.1,6:33.1,7:36.5,4:41.7,6:02.6,6:32.3,7:29.3,4:39.9,2:56.0,9:08.3,10:30.6,10:38.6,10:52.8,8:59.0,10:07.9,10:37.5,11:52.4,8:03.5,5:20.5,7:57.9,5:15.0
#25,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,2:48.4,6:02.7,6:33.4,7:25.2,4:42.4,5:59.7,6:29.0,7:26.1,4:39.4,2:55.4,9:18.0,10:31.1,10:48.3,10:57.5,8:58.6,10:15.7,10:34.9,11:23.9,8:05.8,5:19.3,7:53.8,5:14.2
#26,Fourmaux Adrien  - Coria Alexandre Ford Fiesta Rally2,RC2,2:49.4,6:01.0,6:34.2,7:25.0,4:44.5,6:02.0,6:31.7,7:27.2,4:41.9,2:53.9,9:08.7,10:16.8,10:36.7,10:53.7,9:02.1,10:08.2,10:25.8,11:15.6,8:08.5,5:22.4,8:02.3,5:17.2
#27,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,2:49.6,5:56.9,6:29.5,7:24.0,4:45.7,5:56.7,6:28.0,7:23.1,4:49.9,2:58.0,9:00.3,10:17.1,10:33.4,10:46.0,8:52.8,10:12.0,10:24.1,11:17.4,8:04.8,5:28.3,7:56.6,5:20.8
#28,Huttunen Jari  - Haapala Antti Škoda Fabia RS Rally2,RC2,2:47.3,6:01.7,6:28.5,7:26.8,4:42.0,5:57.5,6:27.1,7:24.4,4:38.9,2:54.3,9:10.3,10:14.0,10:37.1,10:47.0,-,-,-,-,-,-,-,-
#29,Joona Lauri  - Shemeikka Tuukka Škoda Fabia RS Rally2,RC2,2:52.6,6:04.6,6:38.9,7:34.0,4:44.9,6:02.6,6:35.4,7:31.8,4:42.1,3:03.9,9:10.7,10:37.6,10:45.8,11:03.2,9:04.8,10:23.9,10:31.9,11:23.8,8:08.1,5:27.1,8:00.7,5:21.0
#3,Suninen Teemu  - Markkula Mikko Hyundai i20 N Rally1,RC1 M,2:43.6,5:38.4,6:05.2,6:59.5,4:27.6,5:41.1,6:08.4,7:04.1,4:24.1,2:51.2,8:41.7,9:46.7,10:04.6,10:18.0,8:35.5,9:39.8,9:52.4,10:39.3,7:35.9,5:07.1,7:31.7,4:56.4
#30,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia RS Rally2,RC2,2:51.0,6:27.1,6:33.2,7:42.0,4:42.9,6:01.8,6:31.7,7:32.6,4:38.8,3:00.5,9:05.8,10:25.4,10:42.2,10:54.3,8:57.8,10:13.2,10:40.3,11:26.7,8:05.5,5:24.4,7:59.6,5:18.8
#31,Virves Robert  - Drew Craig Ford Fiesta Rally2,RC2,2:53.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#32,Bulacia Marco  - Vallejo Diego Škoda Fabia RS Rally2,RC2,2:53.5,6:02.0,6:35.8,7:27.7,4:43.8,6:23.7,6:34.0,7:29.4,4:40.3,2:59.2,9:05.3,-,-,-,-,-,-,-,-,-,-,-
#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,2:40.9,5:36.6,5:59.6,6:57.1,4:21.3,5:41.9,6:06.1,7:01.7,4:21.9,2:47.3,8:29.5,9:39.0,9:55.2,10:09.4,8:23.4,9:32.0,9:49.0,10:35.1,7:34.9,5:08.6,7:26.7,4:54.1
#34,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,2:52.2,6:02.0,6:35.0,7:29.7,4:42.2,6:06.3,6:33.4,7:29.1,4:40.3,2:57.8,9:07.8,10:44.6,10:45.8,11:04.6,9:00.5,10:17.5,10:33.3,11:24.2,8:11.6,5:32.2,7:59.8,5:22.3
#35,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,2:52.9,6:02.7,6:40.7,7:35.3,4:46.7,6:03.0,6:36.7,7:38.3,4:42.9,3:44.3,9:16.9,10:38.4,10:47.6,11:10.4,9:04.5,-,-,-,-,-,-,-
#36,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,2:53.0,6:03.1,6:40.5,7:29.8,4:47.0,6:06.1,6:36.1,7:32.5,4:40.9,2:56.3,9:17.1,10:50.4,10:44.9,11:04.6,9:03.6,10:17.0,10:32.4,11:24.5,8:12.4,5:28.5,8:01.8,5:16.5
#37,Bulacia B.  - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,2:54.7,6:14.8,6:45.1,7:38.3,4:49.0,6:09.3,6:37.1,7:31.0,4:45.4,3:01.1,9:20.6,10:43.8,14:19.8,11:17.5,9:13.8,10:28.7,10:49.4,11:24.2,8:18.3,-,-,-
