Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,2:39.0,,78.8,1
2,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,2:39.6,+0.6 +  0.6,78.5 0.17,1
3,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,2:39.7,+0.7 +  0.1,78.4 0.20,1
4,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,2:40.8,+1.8 +  1.1,77.9 0.52,1
5,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,2:40.9,+1.9 +  0.1,77.9 0.55,1
6,#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,2:41.2,+2.2 +  0.3,77.7 0.63,1
7,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,2:42.1,+3.1 +  0.9,77.3 0.89,1
8,#3,Suninen Teemu  - Markkula Mikko Hyundai i20 N Rally1,RC1 M,2:43.6,+4.6 +  1.5,76.6 1.32,1
9,#97,Latvala Jari-Matti  - Hänninen J. Toyota GR Yaris Rally1,RC1,2:47.1,+8.1 +  3.5,75.0 2.33,1
10,#28,Huttunen Jari  - Haapala Antti Škoda Fabia RS Rally2,RC2,2:47.3,+8.3 +  0.2,74.9 2.39,1
11,#25,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,2:48.4,+9.4 +  1.1,74.4 2.70,1
12,#24,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,2:49.0,+10.0 +  0.6,74.1 2.87,1
13,#23,Lindholm Emil  - Hämäläinen R. Hyundai i20 N Rally2,RC2,2:49.4,+10.4 +  0.4,74.0 2.99,1
13,#26,Fourmaux Adrien  - Coria Alexandre Ford Fiesta Rally2,RC2,2:49.4,+10.4 +  0.0,74.0 2.99,1
15,#27,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,2:49.6,+10.6 +  0.2,73.9 3.05,1
16,#21,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,2:50.9,+11.9 +  1.3,73.3 3.42,1
17,#30,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia RS Rally2,RC2,2:51.0,+12.0 +  0.1,73.3 3.45,1
18,#52,Korhonen Roope  - Viinikka Anssi Volkswagen Polo GTI R5,RC2,2:51.3,+12.3 +  0.3,73.1 3.53,1
19,#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,2:51.8,+12.8 +  0.5,72.9 3.68,1
20,#22,Greensmith Gus  - Andersson Jonas Škoda Fabia RS Rally2,RC2,2:51.9,+12.9 +  0.1,72.9 3.71,1
21,#34,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,2:52.2,+13.2 +  0.3,72.8 3.79,1
21,#41,Tahko Riku  - Soininen Markus Hyundai i20 N Rally2,RC2,2:52.2,+13.2 +  0.0,72.8 3.79,1
23,#29,Joona Lauri  - Shemeikka Tuukka Škoda Fabia RS Rally2,RC2,2:52.6,+13.6 +  0.4,72.6 3.91,1
24,#44,Ciamin Nicolas  - Roche Yannick Volkswagen Polo GTI R5,RC2,2:52.7,+13.7 +  0.1,72.5 3.94,1
25,#35,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,2:52.9,+13.9 +  0.2,72.5 3.99,1
26,#36,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,2:53.0,+14.0 +  0.1,72.4 4.02,1
27,#31,Virves Robert  - Drew Craig Ford Fiesta Rally2,RC2,2:53.3,+14.3 +  0.3,72.3 4.11,1
27,#38,Fernández Emilio  - Odriozola B. Škoda Fabia Rally2 evo,RC2,2:53.3,+14.3 +  0.0,72.3 4.11,1
29,#39,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,2:53.4,+14.4 +  0.1,72.2 4.14,1
30,#32,Bulacia Marco  - Vallejo Diego Škoda Fabia RS Rally2,RC2,2:53.5,+14.5 +  0.1,72.2 4.17,1
31,#65,Rytkönen Anssi  - Koskela J. Škoda Fabia R5,RC2,2:53.8,+14.8 +  0.3,72.1 4.25,1
32,#37,Bulacia B.  - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,2:54.7,+15.7 +  0.9,71.7 4.51,1
33,#40,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,2:56.0,+17.0 +  1.3,71.2 4.89,1
34,#46,Villanueva A.  - Murado González J. Škoda Fabia RS Rally2,RC2,2:57.1,+18.1 +  1.1,70.7 5.20,1
35,#48,Kelly Eamonn  - Mohan Conor Hyundai i20 N Rally2,RC2,2:57.5,+18.5 +  0.4,70.6 5.32,1
36,#56,Kohn Filip  - Woodburn Tom Ford Fiesta Rally3,RC3,3:01.5,+22.5 +  4.0,69.0 6.47,1
37,#75,Cartier Victor  - Deliot Manon Toyota Yaris Rally2-Kit,RC2,3:02.2,+23.2 +  0.7,68.8 6.67,1
38,#53,Korhola Benjamin  - Kelander Pekka Ford Fiesta Rally3,RC3,3:03.4,+24.4 +  1.2,68.3 7.01,1
39,#64,Borodin Petr  - Cheprasov Roman Ford Fiesta Rally3,RC3,3:03.6,+24.6 +  0.2,68.2 7.07,1
40,#55,Türkkan Ali  - Erdener Burak Ford Fiesta Rally3,RC3,3:04.4,+25.4 +  0.8,67.9 7.30,1
41,#57,Kallio Jesse  - Lindberg Jussi Ford Fiesta Rally3,RC3,3:04.8,+25.8 +  0.4,67.8 7.41,1
42,#45,Jylhä Tommi  - Nevanpää Kimmo Škoda Fabia R5,RC2,3:06.0,+27.0 +  1.2,67.4 7.76,1
43,#59,Timonen Henri  - Kärpijoki Jussi Ford Fiesta Rally3,RC3,3:06.8,+27.8 +  0.8,67.1 7.99,1
44,#76,Rowley Paul  - Mullen Darragh Ford Fiesta Rally2,RC2,3:07.8,+28.8 +  1.0,66.7 8.28,1
45,#49,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia Rally2 evo,RC2,3:09.1,+30.1 +  1.3,66.3 8.65,1
46,#74,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,3:09.4,+30.4 +  0.3,66.1 8.74,1
47,#58,Nieminen Kristian  - Nieminen V. Ford Fiesta Rally3,RC3,3:10.5,+31.5 +  1.1,65.8 9.05,1
