Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:05:34.4,111.64 0.00,00:00:00.0 00:00:00.0,2
2,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:37.8,110.52 0.33,00:00:03.4 00:00:03.4,2
3,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:05:38.3,110.35 0.38,00:00:03.9 00:00:00.5,2
4,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:38.6,110.25 0.41,00:00:04.2 00:00:00.3,2
5,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:39.9,109.83 0.53,00:00:05.5 00:00:01.3,2
6,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:05:40.8,109.54 0.62,00:00:06.4 00:00:00.9,2
7,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:05:41.2,109.41 0.66,00:00:06.8 00:00:00.4,2
8,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:43.6,108.65 0.89,00:00:09.2 00:00:02.4,2
9,22,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:05:58.4,104.16 2.31,00:00:24.0 00:00:14.8,2
10,27,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:05:59.5,103.84 2.42,00:00:25.1 00:00:01.1,2
11,21,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:05:59.9,103.73 2.46,00:00:25.5 00:00:00.4,2
12,26,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:06:00.1,103.67 2.48,00:00:25.7 00:00:00.2,2
13,36,Tsouloftas  A.  /  Elia  Stelios  Volkswagen Polo Gti R5,RC2,00:06:01.0,103.41 2.57,00:00:26.6 00:00:00.9,2
14,28,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:06:01.9,103.16 2.65,00:00:27.5 00:00:00.9,2
15,25,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2,00:06:02.0,103.13 2.66,00:00:27.6 00:00:00.1,2
16,24,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:06:02.2,103.07 2.68,00:00:27.8 00:00:00.2,2
