Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:12:51.7,98.11 0.00,00:00:00.0 00:00:00.0,5
2,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:12:57.6,97.36 0.28,00:00:05.9 00:00:05.9,5
3,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:02.6,96.74 0.52,00:00:10.9 00:00:05.0,5
4,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:13:07.8,96.10 0.77,00:00:16.1 00:00:05.2,5
5,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:13:09.3,95.92 0.84,00:00:17.6 00:00:01.5,5
6,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:09.5,95.89 0.85,00:00:17.8 00:00:00.2,5
7,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:11.9,95.60 0.96,00:00:20.2 00:00:02.4,5
8,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:13:14.3,95.31 1.07,00:00:22.6 00:00:02.4,5
9,26,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:13:31.8,93.26 1.91,00:00:40.1 00:00:17.5,5
10,34,Joona  Lauri  /  Shemeikka  T.  Škoda Fabia RS Rally2,RC2,00:13:36.7,92.70 2.14,00:00:45.0 00:00:04.9,5
11,22,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:13:39.5,92.38 2.27,00:00:47.8 00:00:02.8,5
12,28,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:13:41.9,92.11 2.39,00:00:50.2 00:00:02.4,5
13,21,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:13:42.2,92.08 2.40,00:00:50.5 00:00:00.3,5
13,24,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:13:42.2,92.08 2.40,00:00:50.5 00:00:00.0,5
13,32,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:13:42.2,92.08 2.40,00:00:50.5 00:00:00.0,5
