,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,13
Crew,Gr/Cl,Race,,,,,,,,,,,,
Anwar Hamza - ,RC3,Acropolis 2023,56,42,34,10,37,31,51,25,22,21,-,-
Athanassoulas ,RC2,Acropolis 2023,25,17,18,10,21,19,22,-,-,-,-,-
Blach Roberto ,RC3,Acropolis 2023,50,47,46,10,46,39,48,32,22,23,24,37
Bruun Sosa Nat,RC3,Acropolis 2023,41,39,49,10,38,33,28,31,22,34,26,25
Bulacia Marco ,RC2,Acropolis 2023,11,14,17,10,12,11,10,9,52,45,44,44
Cachón Alejand,RC2,Acropolis 2023,26,23,25,10,22,23,20,13,15,12,14,21
Campagnoli Gab,RC2,Acropolis 2023,53,44,44,10,44,38,40,37,22,32,59,28
Castro Eduardo,RC3,Acropolis 2023,49,38,32,10,40,37,35,34,22,25,29,23
Chatzimarkos P,RC4,Acropolis 2023,54,50,48,10,45,46,38,39,22,55,52,53
Creighton Will,RC3,Acropolis 2023,27,34,41,65,61,60,24,21,22,27,19,19
Cărăgui Eugen ,RC2,Acropolis 2023,42,43,45,10,43,44,43,35,22,28,30,33
Delaportas Gio,RC3,Acropolis 2023,59,58,53,10,63,63,47,44,22,44,37,40
Dolofan Cristi,RC2,Acropolis 2023,48,55,50,10,49,48,45,51,22,29,34,31
Domínguez Dieg,RC3,Acropolis 2023,37,31,27,10,26,25,25,40,22,19,20,17
Díaz-Aboitiz M,RC2,Acropolis 2023,46,49,58,10,51,54,53,43,22,31,38,36
Evans Elfyn - ,RC1,Acropolis 2023,11,4,5,5,8,3,4,3,14,3,3,3
Fontana Matteo,RC4,Acropolis 2023,51,51,60,10,42,42,39,33,22,39,32,29
Fourmaux Adrie,RC2,Acropolis 2023,13,10,9,10,18,29,12,17,16,9,8,8
Galerakis Spir,RC3,Acropolis 2023,61,46,47,10,48,52,56,36,22,36,42,32
Gill Gaurav - ,RC2,Acropolis 2023,24,22,19,10,19,47,57,54,52,45,44,44
Greensmith Gus,RC2,Acropolis 2023,18,16,13,10,13,14,13,15,9,10,9,7
Gryazin Nikola,RC2,Acropolis 2023,10,12,10,10,9,9,62,54,52,45,44,44
Halkias Efthim,RC3,Acropolis 2023,55,40,43,10,41,40,36,52,22,26,33,27
Hoelbling Luca,RC2,Acropolis 2023,29,41,42,10,36,34,34,48,22,22,28,24
