,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Anwar Hamza - ,RC3,Acropolis 2023,1:52.1,6:46.6,13:24.0,6:15.6 [N],15:15.7,20:55.1
Athanassoulas ,RC2,Acropolis 2023,1:40.8,6:06.1,12:18.2,6:15.6 [N],14:00.6,19:35.6
Blach Roberto ,RC3,Acropolis 2023,1:49.2,6:53.7,14:08.4,6:15.6 [N],15:56.5,21:40.0
Bruun Sosa Nat,RC3,Acropolis 2023,1:45.7,6:43.1,14:18.6,6:15.6 [N],15:16.7,21:02.9
Bulacia Marco ,RC2,Acropolis 2023,1:35.7,6:01.9,12:15.3,6:15.6 [N],13:41.9,19:13.6
Cachón Alejand,RC2,Acropolis 2023,1:41.3,6:15.2,12:40.8,6:15.6 [N],14:06.4,19:58.2
Campagnoli Gab,RC2,Acropolis 2023,1:50.3,6:51.5,13:48.8,6:15.6 [N],15:46.3,21:37.5
Castro Eduardo,RC3,Acropolis 2023,1:48.8,6:42.8,13:18.2,6:15.6 [N],15:19.8,21:29.2
Chatzimarkos P,RC4,Acropolis 2023,1:50.4,7:04.9,14:16.5,6:15.6 [N],15:50.7,22:29.3
Creighton Will,RC3,Acropolis 2023,1:41.7,6:38.5,13:43.6,16:15.6 [N],24:32.7,30:14.5
Cărăgui Eugen ,RC2,Acropolis 2023,1:45.8,6:49.9,14:06.7,6:15.6 [N],15:44.2,22:14.6
Delaportas Gio,RC3,Acropolis 2023,1:54.7,7:31.9,14:45.6,6:15.6 [N],25:05.7 [N],31:29.2
Dolofan Cristi,RC2,Acropolis 2023,1:48.6,7:19.5,14:24.3,6:15.6 [N],16:17.4,22:46.3
Domínguez Dieg,RC3,Acropolis 2023,1:44.3,6:26.7,12:49.8,6:15.6 [N],14:41.5,20:14.6
Díaz-Aboitiz M,RC2,Acropolis 2023,1:47.8,7:04.2,15:04.6,6:15.6 [N],16:44.9,24:32.4
Evans Elfyn - ,RC1,Acropolis 2023,1:35.7,5:38.6,11:25.8,5:37.4,13:14.3,18:09.6
