,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
44,Creighton Will,RC3,1,Acropolis,9/2023,Gravel,Wrc,27,101.7,101.7,92.9,8.799999999999997,0.0,0.0,01
45,Pellier Lauren,RC3,1,Acropolis,9/2023,Gravel,Wrc,28,102.2,101.7,92.9,9.299999999999997,0.5,0.4916420845624385,01
46,Rensonnet Tom ,RC3,1,Acropolis,9/2023,Gravel,Wrc,33,103.5,101.7,92.9,10.599999999999994,1.7999999999999972,1.769911504424776,01
47,Kelly Eamonn  ,RC3,1,Acropolis,9/2023,Gravel,Wrc,36,104.2,101.7,92.9,11.299999999999997,2.5,2.4582104228121926,01
48,Domínguez Dieg,RC3,1,Acropolis,9/2023,Gravel,Wrc,37,104.3,101.7,92.9,11.399999999999991,2.5999999999999943,2.556538839724675,01
49,Bruun Sosa Nat,RC3,1,Acropolis,9/2023,Gravel,Wrc,41,105.7,101.7,92.9,12.799999999999997,4.0,3.933136676499508,01
50,Karanikolas E.,RC3,1,Acropolis,9/2023,Gravel,Wrc,45,107.6,101.7,92.9,14.699999999999989,5.8999999999999915,5.801376597836766,01
51,Castro Eduardo,RC3,1,Acropolis,9/2023,Gravel,Wrc,49,108.8,101.7,92.9,15.899999999999991,7.099999999999994,6.981317600786621,01
52,Blach Roberto ,RC3,1,Acropolis,9/2023,Gravel,Wrc,50,109.2,101.7,92.9,16.299999999999997,7.5,7.374631268436578,01
53,Halkias Efthim,RC3,1,Acropolis,9/2023,Gravel,Wrc,55,111.2,101.7,92.9,18.299999999999997,9.5,9.341199606686331,01
54,Anwar Hamza  -,RC3,1,Acropolis,9/2023,Gravel,Wrc,56,112.1,101.7,92.9,19.19999999999999,10.399999999999991,10.226155358898712,01
55,Delaportas Gio,RC3,1,Acropolis,9/2023,Gravel,Wrc,59,114.7,101.7,92.9,21.799999999999997,13.0,12.782694198623402,01
56,Galerakis Spir,RC3,1,Acropolis,9/2023,Gravel,Wrc,61,116.5,101.7,92.9,23.599999999999994,14.799999999999997,14.552605703048178,01
57,Türkkan Ali  -,RC3,1,Acropolis,9/2023,Gravel,Wrc,69,704.7,101.7,92.9,611.8000000000001,603.0,592.9203539823009,01
111,Domínguez Dieg,RC3,2,Acropolis,9/2023,Gravel,Wrc,31,386.7,386.7,334.4,52.30000000000001,0.0,0.0,02
112,Pellier Lauren,RC3,2,Acropolis,9/2023,Gravel,Wrc,32,388.0,386.7,334.4,53.60000000000002,1.3000000000000114,0.3361779156969256,02
113,Rensonnet Tom ,RC3,2,Acropolis,9/2023,Gravel,Wrc,33,397.0,386.7,334.4,62.60000000000002,10.300000000000011,2.6635634859063906,02
114,Creighton Will,RC3,2,Acropolis,9/2023,Gravel,Wrc,34,398.5,386.7,334.4,64.10000000000002,11.800000000000011,3.0514610809413014,02
115,Karanikolas E.,RC3,2,Acropolis,9/2023,Gravel,Wrc,35,398.6,386.7,334.4,64.20000000000005,11.900000000000034,3.077320920610301,02
116,Castro Eduardo,RC3,2,Acropolis,9/2023,Gravel,Wrc,38,402.8,386.7,334.4,68.40000000000003,16.100000000000023,4.163434186708049,02
117,Bruun Sosa Nat,RC3,2,Acropolis,9/2023,Gravel,Wrc,39,403.1,386.7,334.4,68.70000000000005,16.400000000000034,4.241013705715034,02
118,Halkias Efthim,RC3,2,Acropolis,9/2023,Gravel,Wrc,40,404.9,386.7,334.4,70.5,18.19999999999999,4.706490819756914,02
119,Anwar Hamza  -,RC3,2,Acropolis,9/2023,Gravel,Wrc,42,406.6,386.7,334.4,72.20000000000005,19.900000000000034,5.146108094129826,02
120,Galerakis Spir,RC3,2,Acropolis,9/2023,Gravel,Wrc,46,413.2,386.7,334.4,78.80000000000001,26.5,6.852857512283424,02
121,Blach Roberto ,RC3,2,Acropolis,9/2023,Gravel,Wrc,47,413.7,386.7,334.4,79.30000000000001,27.0,6.982156710628394,02
122,Kelly Eamonn  ,RC3,2,Acropolis,9/2023,Gravel,Wrc,52,428.5,386.7,334.4,94.10000000000002,41.80000000000001,10.809412981639516,02
123,Delaportas Gio,RC3,2,Acropolis,9/2023,Gravel,Wrc,58,451.9,386.7,334.4,117.5,65.19999999999999,16.86061546418412,02
177,Domínguez Dieg,RC3,3,Acropolis,9/2023,Gravel,Wrc,27,769.8,769.8,676.8,93.0,0.0,0.0,03
178,Pellier Lauren,RC3,3,Acropolis,9/2023,Gravel,Wrc,30,779.5,769.8,676.8,102.70000000000005,9.700000000000045,1.2600675500129963,03
179,Castro Eduardo,RC3,3,Acropolis,9/2023,Gravel,Wrc,32,798.2,769.8,676.8,121.40000000000009,28.40000000000009,3.689269940244231,03
180,Anwar Hamza  -,RC3,3,Acropolis,9/2023,Gravel,Wrc,34,804.0,769.8,676.8,127.20000000000005,34.200000000000045,4.442712392829312,03
181,Karanikolas E.,RC3,3,Acropolis,9/2023,Gravel,Wrc,36,804.2,769.8,676.8,127.40000000000009,34.40000000000009,4.46869316705639,03
182,Kelly Eamonn  ,RC3,3,Acropolis,9/2023,Gravel,Wrc,37,808.3,769.8,676.8,131.5,38.5,5.001299038711354,03
183,Rensonnet Tom ,RC3,3,Acropolis,9/2023,Gravel,Wrc,40,817.5,769.8,676.8,140.70000000000005,47.700000000000045,6.196414653156671,03
184,Creighton Will,RC3,3,Acropolis,9/2023,Gravel,Wrc,41,823.6,769.8,676.8,146.80000000000007,53.80000000000007,6.9888282670823685,03
185,Halkias Efthim,RC3,3,Acropolis,9/2023,Gravel,Wrc,43,827.9,769.8,676.8,151.10000000000002,58.10000000000002,7.547414912964409,03
