0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9
No.,Crew,Group,Race,,,,,,,,,
4,Lappi  Esa,RC1,Acropolis,2,7,6,3,4,7,7,29,7
6,Sordo  Dan,RC1,Acropolis,4,6,8,6,5,8,6,8,4
7,Loubet  P.,RC1,Acropolis,8,67,65,65,-,-,-,-,-
8,Tänak  Ott,RC1,Acropolis,5,3,4,3,1,1,5,7,5
9,Serderidis,RC1,Acropolis,32,26,31,9,28,35,23,25,20
11,Neuville  ,RC1,Acropolis,3,1,2,2,2,4,3,1,2
17,Ogier  S. ,RC1,Acropolis,6,2,3,1,3,2,2,2,3
18,Katsuta  T,RC1,Acropolis,6,8,7,8,6,5,8,5,6
20,Mikkelsen ,RC2,Acropolis,9,28,24,10,29,10,9,6,8
21,Rossel  Yo,RC2,Acropolis,14,11,11,10,13,13,11,12,11
22,Pajari  Sa,RC2,Acropolis,23,9,15,10,11,16,16,16,10
23,Solberg  O,RC2,Acropolis,16,66,69,10,60,59,-,-,-
24,Greensmith,RC2,Acropolis,18,16,13,10,13,14,13,15,9
25,Kajetanowi,RC2,Acropolis,14,15,12,10,17,17,15,11,17
26,Gryazin  N,RC2,Acropolis,10,12,10,10,9,9,63,54,-
27,Fourmaux  ,RC2,Acropolis,13,10,9,10,18,29,12,17,16
28,Bulacia  M,RC2,Acropolis,11,14,17,10,12,11,10,9,-
29,Prokop  Ma,RC2,Acropolis,31,23,23,10,23,21,21,20,18
30,Marczyk  M,RC2,Acropolis,22,20,22,10,20,20,19,18,19
31,Linnamäe  ,RC2,Acropolis,21,68,66,66,60,-,-,-,-
32,Munster  G,RC2,Acropolis,18,21,21,10,13,15,17,14,12
33,Evans  Elf,RC1,Acropolis,11,4,5,5,8,3,4,3,14
34,Joona  Lau,RC2,Acropolis,17,19,20,10,10,18,14,10,13
35,Virves  Ro,RC2,Acropolis,18,18,16,10,16,12,18,19,23
36,Tsouloftas,RC2,Acropolis,30,13,14,10,60,59,57,54,-
37,Athanassou,RC2,Acropolis,25,17,18,10,21,19,22,54,-
38,Cachon  A.,RC2,Acropolis,26,23,25,10,22,23,20,13,15
39,Villanueva,RC2,Acropolis,47,25,26,10,24,22,50,54,-
44,Gill  Gaur,RC2,Acropolis,24,22,19,10,19,47,57,54,-
45,Kehagias  ,RC2,Acropolis,42,29,33,10,27,26,30,22,22
46,Roustemis ,RC2,Acropolis,40,27,29,10,33,28,-,-,-
47,Velanis  V,RC2,Acropolis,34,37,35,10,32,36,33,54,-
48,Karellis  ,RC2,Acropolis,38,45,38,10,31,32,37,28,21
49,Xanthakos ,RC2,Acropolis,39,48,51,10,57,41,42,30,-
50,Díaz Aboit,RC2,Acropolis,46,49,58,10,51,54,53,43,-
51,Vassilakis,RC2,Acropolis,64,59,56,10,50,50,44,47,-
53,Karanikola,RC3,Acropolis,45,35,35,10,35,45,26,23,-
54,Halkias  E,RC3,Acropolis,55,40,43,10,41,40,36,52,-
55,Galerakis ,RC3,Acropolis,61,46,47,10,48,52,56,36,-
56,Delaportas,RC3,Acropolis,59,58,53,10,66,65,47,44,-
57,Castro  Ed,RC3,Acropolis,49,38,32,10,40,37,35,34,-
58,Türkkan  A,RC3,Acropolis,69,69,67,-,-,-,-,-,-
59,Dominguez ,RC3,Acropolis,37,31,27,10,26,25,25,40,-
60,Creighton ,RC3,Acropolis,27,34,41,66,64,62,24,21,-
61,Pellier  L,RC3,Acropolis,28,32,30,10,25,24,32,61,-
62,Rensonnet ,RC3,Acropolis,32,33,40,10,30,30,29,27,-
63,Blach  Rob,RC3,Acropolis,50,47,46,10,46,39,48,32,-
64,Kelly  Eam,RC3,Acropolis,36,52,37,10,34,27,27,24,-
65,Anwar  Ham,RC3,Acropolis,56,42,34,10,37,31,51,25,-
66,Bruun  Nat,RC3,Acropolis,41,39,49,10,38,33,28,31,-
67,Filippides,RC2,Acropolis,34,30,28,10,60,59,-,-,-
68,Panteli  P,RC2,Acropolis,57,36,39,10,39,57,31,42,-
69,Rovanperä ,RC1,Acropolis,1,5,1,6,7,6,1,4,1
70,Campagnoli,RC2,Acropolis,53,44,44,10,44,38,40,37,-
71,Pyck  Fili,RC2,Acropolis,44,56,52,10,54,51,49,41,-
72,Dolofan  C,RC2,Acropolis,48,55,50,10,49,48,45,51,-
73,Hoelbling ,RC2,Acropolis,29,41,42,10,36,34,34,48,-
74,Caragui  E,RC2,Acropolis,42,43,45,10,43,44,43,35,-
75,Lefkaditis,RC4,Acropolis,58,53,55,10,47,43,41,38,-
76,Chatzimark,RC4,Acropolis,54,50,48,10,45,46,38,39,-
77,Plagos  Io,RC4,Acropolis,52,54,57,10,58,53,59,62,-
78,Papageorgi,RC4,Acropolis,66,63,62,10,65,63,61,60,-
79,Fontana  M,RC4,Acropolis,51,51,60,10,42,42,39,33,-
80,Kalamaras ,RC4,Acropolis,63,61,59,10,53,56,54,49,-
81,Panteli  C,RC4,Acropolis,65,57,54,10,52,49,46,45,-
82,Kanellopou,RC4,Acropolis,68,64,64,10,59,64,62,53,-
83,Šekuljica ,RC5,Acropolis,60,62,63,10,56,58,55,50,-
84,Parellis  ,RC5,Acropolis,62,60,61,10,55,55,52,46,-
85,Kaltsounis,RC4,Acropolis,67,65,68,66,67,66,59,62,-
