SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12
00:01:33.2,00:05:41.2,00:11:27.2,00:05:35.9,00:13:07.8,00:18:17.2,00:20:20.6,00:19:38.0,00:11:09.7,00:19:24.6,00:17:13.6,00:12:27.7
00:01:33.4,00:05:40.8,00:11:29.1,00:05:38.1,00:13:09.3,00:18:28.3,00:20:07.4,00:17:37.3,00:11:02.7,00:19:18.8,00:16:59.4,00:10:40.3
00:01:34.6,00:15:34.4,00:21:16.8,00:15:32.1,-,-,-,-,-,-,-,-
00:01:33.6,00:05:38.3,00:11:24.0,00:05:35.9,00:12:51.7,00:18:01.4,00:20:03.7,00:17:33.6,00:11:03.1,00:19:19.8,00:16:55.7,00:10:49.4
00:01:43.5,00:06:18.5,00:13:00.7,00:06:15.5,00:14:44.9,00:21:12.0,00:21:53.5,00:19:30.6,00:12:29.0,00:21:13.5,00:19:07.7,00:12:32.8
00:01:33.3,00:05:34.4,00:11:19.9,00:05:34.3,00:12:57.6,00:18:10.9,00:19:58.4,00:17:00.5,00:10:49.1,00:29:07.5,00:26:43.5,00:20:27.4
00:01:34.2,00:05:37.8,00:11:20.2,00:05:32.1,00:13:02.6,00:18:06.3,00:19:47.8,00:17:10.3,00:10:58.0,00:19:07.7,00:16:43.7,00:20:27.4
00:01:34.2,00:05:43.6,00:11:28.1,00:05:40.6,00:13:09.5,00:18:16.1,00:20:30.4,00:17:26.3,00:11:09.3,00:19:22.8,00:21:19.2,00:11:02.6
00:01:35.0,00:06:20.3,00:12:36.4,00:06:15.6,00:14:45.9,00:19:06.6,00:20:30.8,00:17:30.7,00:11:30.5,00:19:39.4,00:17:25.5,00:11:14.9
00:01:36.1,00:05:59.9,00:12:07.1,00:06:15.6,00:13:42.2,00:19:15.8,00:20:52.6,00:17:50.8,00:11:48.1,00:20:53.4,00:17:34.1,00:11:41.1
00:01:37.7,00:05:58.4,00:12:14.7,00:06:15.6,00:13:39.5,00:19:21.3,00:21:12.2,00:17:56.9,00:11:39.0,00:33:40.8,00:17:37.2,00:21:14.9
00:01:36.6,00:09:02.1,00:42:54.8,00:06:15.6,00:23:31.8,00:29:01.8,-,-,-,-,-,-
00:01:36.9,00:06:02.2,00:12:09.8,00:06:15.6,00:13:42.2,00:19:16.8,00:20:59.1,00:17:55.4,00:11:37.8,00:20:07.7,00:17:28.4,00:11:20.1
00:01:36.1,00:06:02.0,00:12:09.2,00:06:15.6,00:13:46.7,00:19:30.1,00:21:01.0,00:17:50.6,00:12:14.1,00:21:10.2,00:17:35.7,00:11:35.4
00:01:35.4,00:06:00.1,00:12:02.4,00:06:15.6,00:13:31.8,00:19:01.8,00:56:10.0,00:27:30.7,00:21:30.5,00:29:39.4,00:27:25.5,00:21:14.9
00:01:36.0,00:05:59.5,00:11:59.0,00:06:15.6,00:13:49.9,00:20:49.9,00:20:53.1,00:18:02.4,00:12:12.2,00:20:01.7,00:17:28.2,00:11:31.3
