,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,13
No,Crew,Gr/Cl,,,,,,,,,,,,
#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,1:33.3,5:34.4,11:19.9,5:34.3,12:57.6,18:10.9,19:58.4,17:00.5,10:49.1,-,-,-
#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,29:07.5 [N],26:43.5 [N],20:27.4 [N]
#17,Ogier Sébastien - Landais Vincent Toyota GR Yaris Rally1,RC1 M,1:34.2,5:37.8,11:20.2,5:32.1,13:02.6,18:06.3,19:47.8,17:10.3,10:58.0,19:07.7,16:43.7,-
#17,Ogier Sébastien - Landais Vincent Toyota GR Yaris Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,-,-,20:27.4 [N]
#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1,1:34.2,5:43.6,11:28.1,5:40.6,13:09.5,18:16.1,20:30.4,17:26.3,11:09.3,19:22.8,21:19.2,11:02.6
#20,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,1:35.0,6:20.3,12:36.4,6:15.6 [N],14:45.9,19:06.6,20:30.8,17:30.7,11:30.5,19:39.4 [N],17:25.5,11:14.9
#21,Rossel Yohan - Dunand Arnaud Citroën C3 Rally2,RC2,1:36.1,5:59.9,12:07.1,6:15.6 [N],13:42.2,19:15.8,20:52.6,17:50.8,11:48.1,20:53.4,17:34.1,11:41.1
#22,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,1:37.7,5:58.4,12:14.7,6:15.6 [N],13:39.5,19:21.3,21:12.2,17:56.9,11:39.0,33:40.8 [N],17:37.2,-
#22,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,21:14.9 [N]
#23,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2,RC2,1:36.6,9:02.1,42:54.8,6:15.6 [N],-,-,-,-,-,-,-,-
#24,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,1:36.9,6:02.2,12:09.8,6:15.6 [N],13:42.2,19:16.8,20:59.1,17:55.4,11:37.8,20:07.7,17:28.4,11:20.1
#25,Kajetanowicz K. - Szczepaniak M. Škoda Fabia RS Rally2,RC2,1:36.1,6:02.0,12:09.2,6:15.6 [N],13:46.7,19:30.1,21:01.0,17:50.6,12:14.1,21:10.2,17:35.7,11:35.4
#26,Gryazin Nikolay - Aleksandrov K. Škoda Fabia RS Rally2,RC2,1:35.4,6:00.1,12:02.4,6:15.6 [N],13:31.8,19:01.8,56:10.0,-,-,-,-,-
#26,Gryazin Nikolay - Aleksandrov K. Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,27:30.7 [N],21:30.5 [N],29:39.4 [N],27:25.5 [N],21:14.9 [N]
#27,Fourmaux Adrien - Coria Alexandre Ford Fiesta Rally2,RC2,1:36.0,5:59.5,11:59.0,6:15.6 [N],13:49.9,20:49.9,20:53.1,18:02.4,12:12.2,20:01.7 [N],17:28.2,11:31.3
#28,Bulacia Marco - Vallejo Diego Škoda Fabia RS Rally2,RC2,1:35.7,6:01.9,12:15.3,6:15.6 [N],13:41.9,19:13.6,20:52.3,17:47.0,-,-,-,-
#28,Bulacia Marco - Vallejo Diego Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,21:30.5 [N],29:39.4 [N],27:25.5 [N],21:14.9 [N]
#29,Prokop Martin - Ernst Michal Ford Fiesta Rally2,RC2,1:43.4,6:15.2,12:34.2,6:15.6 [N],14:17.4,19:47.6,21:46.4,18:17.8,12:15.0,20:55.0 [N],18:03.2,12:08.5
#30,Marczyk Mikołaj - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,1:37.2,6:09.4,12:29.7,6:15.6 [N],13:57.4,19:38.5,21:25.7,18:04.6,12:16.2,27:04.3 [N],17:59.5,12:46.6
#31,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,1:37.0,-,-,-,-,-,-,-,-,-,-,-
#32,Munster Grégoire - Louka Louis Ford Fiesta Rally2,RC2,1:36.9,6:12.3,12:29.2,6:15.6 [N],13:42.2,19:18.4,21:18.2,17:53.5,11:56.9,20:24.0,17:31.6,11:34.4
#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,1:35.7,5:38.6,11:25.8,5:37.4,13:14.3,18:09.6,19:59.2,17:10.8,12:01.4,19:14.0,16:53.7,10:49.4
#34,Joona Lauri - Shemeikka Tuukka Škoda Fabia RS Rally2,RC2,1:36.7,6:06.8,12:23.1,6:15.6 [N],13:36.7,19:35.0,20:59.7,17:48.3,11:57.5,20:53.0,17:40.2,12:15.6
#35,Virves Robert - Drew Craig Ford Fiesta Rally2,RC2,1:36.9,6:06.3,12:15.0,6:15.6 [N],13:44.5,19:15.5,21:22.1,18:10.8,14:53.5,20:44.3,17:57.6,11:51.4
#36,Tsouloftas Alexandros - Elia S. Volkswagen Polo GTI R5,RC2,1:43.3,6:01.0,12:11.3,6:15.6 [N],-,-,-,-,-,-,-,-
#36,Tsouloftas Alexandros - Elia S. Volkswagen Polo GTI R5  [SR],RC2,-,-,-,-,23:31.8 [N],29:01.8 [N],-,-,-,-,-,-
#37,Athanassoulas Lambros - Zakheos N. Hyundai i20 N Rally2,RC2,1:40.8,6:06.1,12:18.2,6:15.6 [N],14:00.6,19:35.6,21:51.6,-,-,-,-,-
#38,Cachón Alejandro - Jandrín Citroën C3 Rally2,RC2,1:41.3,6:15.2,12:40.8,6:15.6 [N],14:06.4,19:58.2,21:27.2,17:53.1,12:01.8,20:35.8 [N],17:38.4,13:14.4
#39,Villanueva A. - Murado González J. Škoda Fabia RS Rally2,RC2,1:48.3,6:16.3,12:45.2,6:15.6 [N],14:19.1,19:54.0,25:29.0,-,-,-,-,-
#39,Villanueva A. - Murado González J. Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,27:30.7 [N],21:30.5 [N],29:39.4 [N],27:25.5 [N],21:14.9 [N]
#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,1:33.2,5:41.2,11:27.2,5:35.9,13:07.8,18:17.2,20:20.6,19:38.0,11:09.7,19:24.6,17:13.6,12:27.7
#44,Gill Gaurav - Barral Florian Škoda Fabia Rally2 evo,RC2,1:39.2,6:14.8,12:20.6,6:15.6 [N],13:53.5,22:34.9,-,-,-,-,-,-
