Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,1:32.9,,57.4,1
2,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,1:33.2,+0.3 +  0.3,57.2 0.20,1
3,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,1:33.3,+0.4 +  0.1,57.1 0.27,1
4,#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,1:33.4,+0.5 +  0.1,57.0 0.34,1
5,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,1:33.6,+0.7 +  0.2,56.9 0.47,1
6,#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,1:34.2,+1.3 +  0.6,56.6 0.88,1
6,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,1:34.2,+1.3 +  0.0,56.6 0.88,1
8,#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,1:34.6,+1.7 +  0.4,56.3 1.15,1
9,#20,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,1:35.0,+2.1 +  0.4,56.1 1.42,1
10,#26,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,1:35.4,+2.5 +  0.4,55.8 1.69,1
11,#28,Bulacia Marco  - Vallejo Diego Škoda Fabia RS Rally2,RC2,1:35.7,+2.8 +  0.3,55.7 1.89,1
11,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,1:35.7,+2.8 +  0.0,55.7 1.89,1
13,#27,Fourmaux Adrien  - Coria Alexandre Ford Fiesta Rally2,RC2,1:36.0,+3.1 +  0.3,55.5 2.09,1
14,#21,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,1:36.1,+3.2 +  0.1,55.4 2.16,1
14,#25,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia RS Rally2,RC2,1:36.1,+3.2 +  0.0,55.4 2.16,1
16,#23,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,1:36.6,+3.7 +  0.5,55.2 2.50,1
17,#34,Joona Lauri  - Shemeikka Tuukka Škoda Fabia RS Rally2,RC2,1:36.7,+3.8 +  0.1,55.1 2.57,1
18,#24,Greensmith Gus  - Andersson Jonas Škoda Fabia RS Rally2,RC2,1:36.9,+4.0 +  0.2,55.0 2.70,1
18,#32,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,1:36.9,+4.0 +  0.0,55.0 2.70,1
18,#35,Virves Robert  - Drew Craig Ford Fiesta Rally2,RC2,1:36.9,+4.0 +  0.0,55.0 2.70,1
21,#31,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,1:37.0,+4.1 +  0.1,54.9 2.77,1
22,#30,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,1:37.2,+4.3 +  0.2,54.8 2.91,1
23,#22,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,1:37.7,+4.8 +  0.5,54.5 3.24,1
24,#44,Gill Gaurav  - Barral Florian Škoda Fabia Rally2 evo,RC2,1:39.2,+6.3 +  1.5,53.7 4.26,1
25,#37,Athanassoulas L.  - Zakheos N. Hyundai i20 N Rally2,RC2,1:40.8,+7.9 +  1.6,52.9 5.34,1
26,#38,Cachón Alejandro  - Jandrín Citroën C3 Rally2,RC2,1:41.3,+8.4 +  0.5,52.6 5.68,1
27,#60,Creighton William  - Regan Liam Ford Fiesta Rally3,RC3,1:41.7,+8.8 +  0.4,52.4 5.95,1
28,#61,Pellier Laurent  - Bronner Kévin Ford Fiesta Rally3,RC3,1:42.2,+9.3 +  0.5,52.1 6.28,1
29,#36,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,RC2,1:43.3,+10.4 +  1.1,51.6 7.03,1
30,#29,Prokop Martin  - Ernst Michal Ford Fiesta Rally2,RC2,1:43.4,+10.5 +  0.1,51.5 7.09,1
31,#9,Serderidis Jourdan  - Miclotte F. Ford Puma Rally1,RC1,1:43.5,+10.6 +  0.1,51.5 7.16,1
32,#47,Velanis Vassileios  - Velanis I. Škoda Fabia Rally2 evo,RC2,1:43.6,+10.7 +  0.1,51.4 7.23,1
32,#67,Philippedes Yorgo  - Loudon Stuart Škoda Fabia Rally2 evo,RC2,1:43.6,+10.7 +  0.0,51.4 7.23,1
34,#59,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,1:44.3,+11.4 +  0.7,51.1 7.70,1
35,#48,Karellis C.  - Panagiotounis E. Citroën C3 Rally2,RC2,1:44.4,+11.5 +  0.1,51.0 7.77,1
36,#58,Türkkan Ali  - Erdener Burak Ford Fiesta Rally3,RC3,1:44.7,+11.8 +  0.3,50.9 7.97,1
37,#49,Xanthakos M.  - Karathanassis N. Škoda Fabia R5,RC2,1:44.9,+12.0 +  0.2,50.8 8.11,1
38,#46,Panagiotis Roustemis  - Petropoulos N. Škoda Fabia RS Rally2,RC2,1:45.2,+12.3 +  0.3,50.6 8.31,1
39,#45,Kechagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,RC2,1:45.8,+12.9 +  0.6,50.4 8.72,1
40,#53,Karanikolas E.  - Kakavas G. Ford Fiesta Rally3,RC3,1:47.6,+14.7 +  1.8,49.5 9.93,1
41,#50,Díaz-Aboitiz M.  - Sanjuan de Eusebio D. Škoda Fabia Rally2 evo,RC2,1:47.8,+14.9 +  0.2,49.4 10.1,1
42,#39,Villanueva A.  - Murado González J. Škoda Fabia RS Rally2,RC2,1:48.3,+15.4 +  0.5,49.2 10.4,1
43,#57,Castro Eduardo  - Salvat Trías C. Ford Fiesta Rally3,RC3,1:48.8,+15.9 +  0.5,49.0 10.7,1
44,#54,Halkias Efthimios  - Komnos Nikos Renault Clio Rally3,RC3,1:51.2,+18.3 +  2.4,47.9 12.4,1
45,#56,Delaportas Giorgos  - Panaritis E. Ford Fiesta Rally3,RC3,1:54.7,+21.8 +  3.5,46.5 14.7,1
46,#55,Galerakis Spiros  - Soukoulis K. Ford Fiesta Rally3,RC3,1:56.5,+23.6 +  1.8,45.7 16.0,1
47,#51,Vassilakis George  - Intzoglou N. Ford Fiesta R5,RC2,2:01.8,+28.9 +  5.3,43.7 19.5,1
