,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,Tänak Ott  - J,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,1,616.8,616.8,616.8,0.0,0.0,0.0,01
1,Suninen Teemu ,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,2,618.9,616.8,616.8,2.1000000000000227,2.1000000000000227,0.3404669260700426,01
2,Evans Elfyn  -,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,3,621.7,616.8,616.8,4.900000000000091,4.900000000000091,0.7944228274967723,01
3,Loubet Pierre-,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,4,624.2,616.8,616.8,7.400000000000091,7.400000000000091,1.199740596627771,01
4,Rovanperä Kall,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,5,626.8,616.8,616.8,10.0,10.0,1.621271076523995,01
5,Neuville Thier,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,6,629.1,616.8,616.8,12.300000000000068,12.300000000000068,1.994163424124525,01
6,Katsuta Takamo,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,7,631.4,616.8,616.8,14.600000000000023,14.600000000000023,2.367055771725036,01
7,Munster Grégoi,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,11,648.9,616.8,616.8,32.10000000000002,32.10000000000002,5.204280155642028,01
8,Heller Alberto,RC1,1,Chile,29/9-1/10/2023,Gravel,Wrc,12,650.8,616.8,616.8,34.0,34.0,5.512321660181583,01
49,Evans Elfyn  -,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,1,412.9,412.9,412.9,0.0,0.0,0.0,02
50,Rovanperä Kall,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,2,414.4,412.9,412.9,1.5,1.5,0.36328408815693874,02
51,Loubet Pierre-,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,3,414.8,412.9,412.9,1.900000000000034,1.900000000000034,0.4601598449987973,02
52,Neuville Thier,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,4,415.4,412.9,412.9,2.5,2.5,0.6054734802615646,02
53,Suninen Teemu ,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,5,415.8,412.9,412.9,2.900000000000034,2.900000000000034,0.7023492371034232,02
54,Tänak Ott  - J,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,6,419.6,412.9,412.9,6.7000000000000455,6.7000000000000455,1.622668927101004,02
55,Katsuta Takamo,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,7,421.0,412.9,412.9,8.100000000000023,8.100000000000023,1.9617340760474746,02
56,Munster Grégoi,RC1,2,Chile,29/9-1/10/2023,Gravel,Wrc,8,421.9,412.9,412.9,9.0,9.0,2.1797045289416324,02
