,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12
Crew,Gr/Cl,Race,,,,,,,,,,,,
Arce Lazo J.  ,RC5,Chile,47,45,43,42,41,39,43,40,37,37,38,33
Arenas Felipe ,RC4,Chile,44,41,38,36,37,35,38,36,34,40,37,30
Bulacia Bruno ,RC2,Chile,25,20,26,20,17,16,16,23,22,14,14,38
Bulacia Marco ,RC2,Chile,17,14,16,14,28,-,-,-,-,-,-,-
Castro Eduardo,RC3,Chile,31,33,28,27,26,24,28,25,24,24,24,19
Cohen Harold  ,RC4,Chile,49,47,45,45,45,43,41,37,35,35,35,31
Domínguez Dieg,RC3,Chile,28,28,27,26,31,23,25,24,27,22,23,18
Evans Elfyn  -,RC1,Chile,3,1,1,5,4,4,3,2,13,2,3,3
Fernández Emil,RC2,Chile,20,21,22,21,20,19,19,20,16,20,16,38
Fuertes Iván  ,RC4,Chile,33,47,45,45,45,43,40,44,43,43,43,42
Garay Moreira ,RC5,Chile,48,46,44,43,43,40,44,38,39,38,36,35
Gardiol Ignaci,RC4,Chile,40,37,36,33,32,32,32,31,31,28,29,42
Greensmith Gus,RC2,Chile,13,11,12,13,13,13,12,8,7,8,9,7
Gryazin Nikola,RC2,Chile,10,13,11,9,15,15,15,11,4,12,19,11
Heller Alberto,RC1,Chile,12,9,10,11,9,10,7,17,18,17,13,37
Heller Pedro  ,RC2,Chile,21,18,20,23,18,21,21,19,17,18,18,15
Iglesias Rodol,RC4,Chile,46,44,42,41,42,38,46,41,40,39,40,34
Israel Benjami,RC2,Chile,24,19,25,22,19,17,23,42,41,41,41,38
Kajetanowicz K,RC2,Chile,19,16,14,16,12,12,14,13,10,13,10,8
Katsuta Takamo,RC1,Chile,7,7,5,4,7,5,6,5,21,5,6,9
Klein Javier  ,RC4,Chile,45,43,41,40,40,37,42,39,38,36,39,32
Kovacs Eduardo,RC2,Chile,34,38,33,30,34,30,31,42,41,41,41,38
Lindholm Emil ,RC2,Chile,15,22,13,12,11,11,13,10,11,11,17,13
Loubet Pierre-,RC1,Chile,4,3,-,-,-,-,-,-,-,-,-,-
Lyon Germán  -,RC2,Chile,26,26,24,25,27,-,-,-,-,-,-,-
Martinez Meriz,RC2,Chile,41,39,40,38,39,34,39,34,28,27,32,28
Martínez Fonte,RC2,Chile,14,15,21,15,16,41,11,18,15,33,20,15
Martínez Meriz,RC2,Chile,43,42,39,39,38,36,35,30,30,29,30,26
Martínez Rodrí,RC4,Chile,36,34,31,29,29,27,33,29,36,31,31,24
Munster Grégoi,RC1,Chile,11,8,7,7,6,7,9,9,6,7,8,36
Muñoz Patricio,RC4,Chile,30,31,45,45,45,43,27,26,25,26,26,20
Neuville Thier,RC1,Chile,6,4,6,3,2,3,5,3,2,3,4,2
Padilla Felipe,RC4,Chile,39,32,32,31,30,28,30,44,43,43,43,42
Pajari Sami  -,RC2,Chile,9,10,9,8,8,8,22,14,9,9,11,14
Palma Lucas  -,RC4,Chile,38,47,45,45,45,43,45,44,43,43,43,42
Parra Mario  -,RC4,Chile,32,29,29,28,25,25,29,27,26,25,27,21
Prieto Carlos ,RC4,Chile,42,40,37,37,36,33,36,32,33,34,28,27
Pérez Beristai,RC4,Chile,35,35,34,35,33,29,34,33,29,32,33,23
Quezada Jose D,RC4,Chile,37,36,35,32,35,31,37,35,32,30,34,25
Rossel Yohan  ,RC2,Chile,16,27,15,17,14,14,10,7,5,10,7,10
Rosselot Emili,RC2,Chile,21,25,17,24,21,18,18,16,12,19,15,12
Rosselot Gerar,RC2,Chile,23,24,19,44,44,42,24,22,20,21,22,17
Rosselot Tadeo,RC4,Chile,29,30,30,34,24,26,26,28,23,23,25,22
Rovanperä Kall,RC1,Chile,5,2,4,6,5,6,1,6,8,1,5,5
Scuncio Martin,RC2,Chile,18,23,23,19,23,21,17,15,-,-,-,-
Solberg Oliver,RC2,Chile,8,12,8,10,10,9,8,12,14,15,12,6
Suninen Teemu ,RC1,Chile,2,5,3,1,3,2,4,4,3,4,2,4
Tänak Ott  - J,RC1,Chile,1,6,2,2,1,1,2,1,1,6,1,1
Zaldivar F.  -,RC2,Chile,27,17,18,18,22,20,20,21,19,16,21,29
