,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12
No,Crew,Gr/Cl,,,,,,,,,,,,
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,10:29.1,6:55.4,12:43.8,10:04.8,6:42.3,12:16.0,17:36.4,14:12.6,17:48.5,17:12.4,13:58.8,17:28.3
#13,Munster Grégoire  - Louka Louis Ford Puma Rally1,RC1,10:48.9,7:01.9,12:48.5,10:23.0,6:49.4,12:30.4,18:11.0,14:34.2,18:24.1,17:37.1,14:18.2,25:33.8
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,10:31.4,7:01.0,12:42.5,10:05.4,6:50.0,12:19.0,17:43.5,14:17.1,19:08.7,17:16.7,14:10.6,18:17.5
#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,10:59.8,7:37.8,13:15.1,10:42.5,7:08.5,12:58.4,18:14.7,14:29.8,18:23.3,17:49.2,14:18.1,18:20.1
#21,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,10:43.4,7:10.1,12:57.4,10:23.9,6:57.6,12:40.9,18:47.6,14:43.4,18:28.8,17:45.8,14:31.1,18:42.8
#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,10:43.3,7:15.1,12:54.9,10:28.8,6:58.7,12:45.8,18:08.0,14:40.3,18:41.5,18:05.0,14:34.3,17:53.2
#23,Greensmith Gus  - Andersson Jonas Škoda Fabia RS Rally2,RC2,10:54.9,7:14.4,13:06.9,10:33.8,7:07.3,12:52.5,18:22.1,14:31.9,18:24.2,17:45.2,14:30.6,18:10.4
#24,Lindholm Emil  - Hämäläinen R. Hyundai i20 N Rally2,RC2,10:59.5,7:30.1,13:07.0,10:31.8,7:00.7,12:48.9,18:23.2,14:38.1,18:32.4,17:49.4,14:55.6,18:41.2
#25,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia RS Rally2,RC2,11:03.8,7:19.4,13:12.5,10:40.5,7:04.8,12:50.7,18:24.7,14:40.9,18:30.6,17:55.7,14:30.7,18:12.6
#26,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,10:48.1,7:15.4,13:03.0,10:27.0,7:09.3,13:01.9,18:27.5,14:40.1,18:22.5,17:51.9,15:01.0,18:30.9
#27,Bulacia Marco  - Roca Fabricio Škoda Fabia RS Rally2,RC2,11:00.3,7:16.2,13:19.5,10:35.9,8:04.5,-,-,-,-,-,-,-
#28,Heller Alberto  - Allende L. Ford Puma Rally1,RC1,10:50.8,7:05.3,13:01.5,10:30.5,6:58.5,12:46.4,18:00.3,14:57.0,18:53.4,18:12.7,14:46.3,-
#28,Heller Alberto  - Allende L. Ford Puma Rally1  [SR],RC1,-,-,-,-,-,-,-,-,-,-,-,27:20.5 [N]
#29,Martínez Fontena J.  - Alvarez Nicholson A. Škoda Fabia RS Rally2,RC2,10:57.5,7:19.3,13:38.8,10:39.3,7:10.5,20:27.6,18:19.3,15:02.8,18:47.3,21:11.4,15:02.8,18:48.9
#3,Suninen Teemu  - Markkula Mikko Hyundai i20 N Rally1,RC1 M,10:18.9,6:55.8,12:34.5,9:58.7,6:44.7,12:15.3,17:32.7,14:16.5,17:56.6,17:15.9,13:50.6,17:34.3
#30,Fernández Emilio  - Rozada Borja Škoda Fabia Rally2 evo,RC2,11:12.4,7:28.4,13:39.3,10:56.6,7:21.1,13:26.4,18:36.5,15:08.5,18:48.1,18:32.8,14:54.3,-
#30,Fernández Emilio  - Rozada Borja Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,27:53.2 [N]
#31,Bulacia Bruno  - Díaz José Luis Škoda Fabia Rally2 evo,RC2,11:17.7,7:27.2,14:06.5,10:55.8,7:18.2,13:02.4,18:28.8,15:24.9,19:52.9,17:56.1,14:48.2,-
#31,Bulacia Bruno  - Díaz José Luis Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,27:53.2 [N]
#32,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,11:26.3,7:21.3,13:35.8,10:48.6,7:22.4,13:31.9,18:37.0,15:09.1,18:56.2,18:11.5,15:11.1,21:40.6
#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,10:21.7,6:52.9,12:32.0,10:06.2,6:44.9,12:18.7,17:23.4,14:05.8,18:37.1,17:09.9,13:53.2,17:33.3
#34,Heller Pedro  - Olmos Pablo Citroën C3 Rally2,RC2,11:13.1,7:23.6,13:38.2,10:59.4,7:19.6,13:32.3,18:46.6,15:03.9,18:53.3,18:15.2,14:59.0,18:48.9
#35,Rosselot Emilio  - Cañete Tomas Citroën C3 Rally2,RC2,11:13.1,7:32.7,13:33.6,11:01.3,7:22.0,13:22.4,18:34.8,14:55.4,18:35.9,18:17.0,14:50.0,18:39.1
#36,Israel Benjamin  - Ramos Matias Citroën C3 Rally2,RC2,11:16.1,7:25.5,13:52.4,10:57.2,7:20.1,13:15.8,18:48.3,-,-,-,-,-
