0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,
3,Suninen  T,RC1,Central European,5,6,9,7,7,9,8,6,6,7,2,7,5,4,4,5,5,6
4,Lappi  Esa,RC1,Central European,4,4,2,2,57,56,55,53,-,-,-,-,-,-,-,-,-,-
7,Loubet  P.,RC1,Central European,14,7,7,8,9,8,7,43,7,5,7,6,8,11,8,9,28,27
8,Tänak  Ott,RC1,Central European,1,2,5,5,4,4,4,5,5,4,5,3,2,13,5,4,4,5
11,Neuville  ,RC1,Central European,3,1,4,4,3,2,2,1,2,1,1,2,3,2,3,6,3,2
13,Munster  G,RC1,Central European,6,10,6,9,8,5,9,9,9,6,4,8,7,6,9,7,8,7
17,Ogier  S. ,RC1,Central European,2,5,13,10,5,6,5,4,4,3,3,1,1,5,1,2,1,3
18,Katsuta  T,RC1,Central European,7,8,8,6,6,7,6,7,8,9,6,4,4,3,6,3,2,4
20,Mikkelsen ,RC2,Central European,8,15,11,60,20,10,26,22,19,16,26,19,16,17,23,11,24,9
21,Rossel  Yo,RC2,Central European,12,11,61,59,58,57,56,-,-,-,-,-,-,-,-,-,-,-
22,Greensmith,RC2,Central European,19,14,27,26,12,10,15,12,22,21,16,10,15,9,18,18,20,17
23,Pajari  Sa,RC2,Central European,22,22,19,21,15,10,18,15,14,17,17,13,18,14,16,19,12,16
24,Fourmaux  ,RC2,Central European,17,12,28,12,11,10,10,16,10,10,9,9,9,7,13,10,11,15
25,Gryazin  N,RC2,Central European,16,15,41,11,10,10,12,8,12,13,13,11,11,47,11,12,9,10
26,Kajetanowi,RC2,Central European,24,13,16,17,14,10,14,17,18,15,15,16,14,14,19,20,18,20
27,Lindholm  ,RC2,Central European,31,19,10,13,13,10,16,10,16,11,11,14,10,8,-,-,-,-
28,Marczyk  M,RC2,Central European,10,27,18,15,21,10,17,21,17,19,14,21,22,26,21,21,14,21
30,Linnamäe  ,RC2,Central European,19,21,15,20,18,10,43,13,23,20,18,22,19,22,22,-,-,-
31,Cais  Erik,RC2,Central European,18,18,14,16,17,10,13,11,13,14,12,15,13,10,17,15,14,13
32,McErlean  ,RC2,Central European,21,29,17,18,22,10,19,19,15,55,54,54,54,53,15,17,18,18
33,Evans  Elf,RC1,Central European,9,9,3,3,2,1,3,3,1,2,53,53,53,52,2,1,6,1
34,Zaldivar  ,RC2,Central European,34,31,21,24,27,10,21,24,25,25,23,24,25,23,25,23,22,22
35,Cachon  A.,RC2,Central European,26,25,56,13,16,57,56,54,20,37,22,17,17,20,12,14,10,12
36,Ciamin  Ni,RC2,Central European,15,17,12,19,19,10,11,14,11,12,10,12,12,12,10,13,13,11
37,Korhonen  ,RC2,Central European,28,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Skála  Jan,RC2,Central European,27,28,20,23,26,10,23,23,31,23,20,26,36,18,24,-,-,-
39,Wagner  Si,RC2,Central European,13,20,37,22,23,10,22,20,21,18,21,18,20,16,14,16,16,14
40,Gamba  Mat,RC2,Central European,23,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Březík  Ad,RC2,Central European,25,23,22,27,24,10,20,18,28,22,19,20,21,19,26,24,23,19
44,Vojtěch  Š,RC2,Central European,33,24,39,28,29,10,25,26,26,24,28,27,27,25,27,34,26,26
45,von Thurn ,RC2,Central European,29,30,24,30,62,57,56,54,24,42,29,23,24,27,20,22,17,23
46,Rossgatter,RC2,Central European,32,26,30,25,25,10,30,28,27,41,25,25,23,24,28,26,21,24
47,Horák  Mic,RC2,Central European,48,41,29,38,37,10,36,34,40,30,34,34,32,33,37,35,35,36
48,Kremer  Ar,RC2,Central European,29,32,23,29,28,10,24,25,29,26,24,28,26,21,29,25,25,25
49,Keferböck ,RC2,Central European,35,33,31,32,31,10,28,29,30,27,27,29,28,51,30,27,27,29
50,Fukunaga  ,RC2,Central European,42,39,32,33,32,10,31,54,32,55,54,54,-,-,-,-,-,-
51,Boland  Ea,RC2,Central European,58,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,Díaz Aboit,RC2,Central European,51,52,53,54,51,10,50,49,48,49,38,45,47,45,49,42,48,52
53,Marchino  ,RC2,Central European,46,53,49,53,47,10,47,46,47,46,37,44,39,38,51,44,42,41
54,Vossen  He,RC2,Central European,64,58,58,56,53,10,51,50,54,53,40,48,49,46,54,51,51,50
55,Kohn  Fili,RC3,Central European,37,35,26,34,30,10,27,27,34,28,39,32,30,29,34,29,33,32
56,Schwarz  F,RC3,Central European,36,38,25,31,33,10,29,39,60,57,58,56,55,54,31,28,29,28
57,Ravenščak ,RC3,Central European,40,47,62,61,59,57,59,57,44,57,58,56,55,54,40,37,38,38
58,Rary  Emer,RC2,Central European,40,42,45,44,42,10,39,59,41,36,56,58,-,-,-,-,-,-
59,Allkofer  ,RC2,Central European,44,37,42,40,38,10,38,33,36,32,30,33,29,28,32,32,34,34
60,Van Den Br,RC3,Central European,38,40,35,36,36,10,34,31,33,31,57,-,-,-,-,-,-,-
61,Schulz  Ti,RC4,Central European,50,34,33,41,35,10,33,36,38,35,33,30,33,31,33,30,30,31
62,Mohe  Cars,RC3,Central European,39,36,38,35,34,10,32,30,35,29,31,31,31,57,35,33,31,33
63,László  Z.,RC2,Central European,43,45,46,49,48,10,42,45,43,40,36,37,41,36,41,39,39,40
64,Fontana  M,RC4,Central European,45,62,36,37,39,10,35,32,37,33,32,35,34,30,36,31,32,30
65,Fumal  Arm,RGT,Central European,57,43,51,50,49,10,45,42,45,48,40,41,48,48,46,49,46,49
66,Nešetřil  ,RGT,Central European,46,46,44,43,43,10,40,40,59,54,40,43,42,42,43,45,41,43
67,Rada  Mart,RGT,Central European,53,50,63,63,61,57,62,61,51,49,40,46,42,41,42,41,40,42
68,Kačírek  P,RC2,Central European,54,44,34,39,40,10,37,38,39,34,35,36,35,32,39,36,36,35
69,Rovanperä ,RC1,Central European,10,3,1,1,1,3,1,2,3,8,8,4,6,1,7,8,6,8
70,Jirovec  J,RC2,Central European,65,54,55,52,52,10,49,48,50,45,40,40,45,39,44,46,42,39
71,Irlacher  ,RC4,Central European,55,51,47,45,45,10,48,37,49,39,40,38,38,35,47,43,47,45
72,Wallner  C,RC4,Central European,62,55,50,47,50,10,46,41,52,43,40,47,44,40,50,47,45,46
73,Borodin  P,RC4,Central European,56,66,40,42,41,10,41,35,42,38,40,39,37,34,38,38,37,37
74,Yein  Dai-,RC2,Central European,66,59,54,62,60,57,61,59,-,-,-,-,-,-,-,-,-,-
75,Weigert  T,RC4,Central European,49,48,43,48,46,10,60,58,58,51,40,50,46,43,48,48,49,48
76,Strabello ,RC4,Central European,52,49,48,46,43,10,44,43,46,44,40,42,40,37,45,40,44,43
77,Windischbe,RC2,Central European,63,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,Wilson  Co,RC4,Central European,59,56,52,51,54,10,52,47,53,47,40,48,50,44,52,52,50,47
79,Pahlitzsch,RC4,Central European,67,60,57,55,55,10,54,52,55,59,40,51,51,49,53,50,54,51
80,Stejskal  ,RC5,Central European,60,57,59,58,56,10,53,51,56,52,40,52,52,50,56,53,52,53
81,Šekuljica ,RC5,Central European,61,61,60,57,63,57,63,62,57,60,60,59,57,56,55,54,53,54
