SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
00:01:53.6,00:04:21.6,00:07:29.8,00:12:59.5,00:13:44.2,00:07:32.8,00:13:29.4,00:14:13.3,00:08:28.2,00:16:25.6,00:07:40.7,00:08:28.2,00:16:34.5,00:08:11.9,00:08:17.7,00:08:44.1,00:08:20.0,00:08:51.1
00:01:52.8,00:04:17.7,00:07:10.0,00:12:40.9,00:23:13.5,00:17:15.0,00:22:55.5,00:23:46.5,-,-,-,-,-,-,-,-,-,-
00:01:55.6,00:04:21.7,00:07:26.6,00:13:01.7,00:13:51.4,00:07:29.6,00:13:26.2,00:18:49.6,00:08:29.1,00:16:23.6,00:07:47.7,00:08:24.0,00:16:43.9,00:08:29.6,00:08:23.7,00:09:15.8,00:09:22.2,00:10:02.2
00:01:51.2,00:04:16.9,00:07:17.8,00:12:54.3,00:13:28.9,00:07:23.6,00:13:13.1,00:14:09.7,00:08:27.1,00:16:19.0,00:07:43.3,00:08:19.5,00:16:24.3,00:08:34.9,00:08:19.0,00:08:43.5,00:08:16.9,00:08:49.7
00:01:52.2,00:04:14.7,00:07:12.7,00:12:50.3,00:13:25.5,00:07:16.1,00:13:03.5,00:13:46.5,00:08:18.7,00:16:06.7,00:07:38.4,00:08:16.5,00:16:27.7,00:08:05.0,00:08:17.6,00:08:47.3,00:08:14.7,00:08:45.8
00:01:54.0,00:04:27.9,00:07:23.5,00:13:02.8,00:13:48.2,00:07:26.5,00:13:29.6,00:14:31.7,00:08:37.2,00:16:25.0,00:07:43.0,00:08:32.2,00:16:43.2,00:08:21.9,00:08:28.5,00:08:50.6,00:08:22.9,00:08:53.5
00:01:51.9,00:04:20.8,00:07:50.1,00:13:12.2,00:13:34.7,00:07:28.3,00:13:19.7,00:14:03.3,00:08:21.7,00:16:17.3,00:07:41.6,00:08:15.0,00:16:24.2,00:08:13.9,00:08:14.4,00:08:41.1,00:08:11.1,00:08:47.2
00:01:54.6,00:04:22.4,00:07:27.1,00:12:56.6,00:13:42.1,00:07:28.7,00:13:21.9,00:14:18.5,00:08:31.1,00:16:32.3,00:07:45.7,00:08:19.9,00:16:32.6,00:08:08.9,00:08:19.8,00:08:43.1,00:08:14.4,00:08:48.5
00:01:55.0,00:04:38.5,00:07:41.2,00:23:56.8,00:14:39.3,00:07:42.6,00:14:40.6,00:15:04.0,00:09:06.8,00:17:37.5,00:08:51.5,00:08:58.9,00:17:42.8,00:08:38.9,00:09:07.0,00:09:18.3,00:09:04.0,00:09:13.5
