,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Crew,Gr/Cl,Race,,,,,,,,,,,,,,,,,,
Allkofer C. - ,RC2,Chile,44,37,42,40,38,10,38,33,36,32,30,33,29,28,32,32,34,34
Boland Eamonn ,RC2,Chile,58,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Borodin Petr -,RC4,Chile,56,66,40,42,41,10,41,35,42,38,40,39,37,34,38,38,37,37
Březík Adam - ,RC2,Chile,25,23,22,27,24,10,20,18,28,22,19,20,21,19,26,24,23,19
Cachón A. - Ló,RC2,Chile,26,25,56,13,16,56,55,54,20,37,22,17,17,20,12,14,10,12
Cais Erik - Tr,RC2,Chile,18,18,14,16,17,10,13,11,13,14,12,15,13,10,17,15,14,13
Ciamin Nicolas,RC2,Chile,15,17,12,19,19,10,11,14,11,12,10,12,12,12,10,13,13,11
Díaz-Aboitiz M,RC2,Chile,51,52,53,54,51,10,50,50,48,49,38,45,47,45,49,42,48,52
Evans Elfyn - ,RC1,Chile,9,9,3,3,2,1,3,3,1,2,53,53,53,52,2,1,6,1
Fontana Matteo,RC4,Chile,45,62,36,37,39,10,35,32,37,33,32,35,34,30,36,31,32,30
Fourmaux Adrie,RC2,Chile,17,12,28,12,11,10,10,16,10,10,9,9,9,7,13,10,11,15
Fukunaga Osamu,RC2,Chile,42,39,32,33,32,10,31,54,32,-,-,54,-,-,-,-,-,-
Fumal Armand -,RGT,Chile,57,43,51,50,49,10,45,43,45,48,40,41,48,48,46,49,46,49
Gamba Matteo -,RC2,Chile,23,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greensmith Gus,RC2,Chile,19,14,27,26,12,10,15,12,22,21,16,10,15,9,18,18,20,17
Gryazin Nikola,RC2,Chile,16,15,41,11,10,10,12,8,12,13,13,11,11,47,11,12,9,10
Horák Michal -,RC2,Chile,48,41,29,38,37,10,36,34,40,30,34,34,32,33,37,35,35,36
Irlacher Wolfg,RC4,Chile,55,51,47,45,45,10,48,37,49,39,40,38,38,35,47,43,47,45
Jirovec Jiří -,RC2,Chile,65,54,55,52,52,10,49,49,50,45,40,40,45,39,44,46,42,39
Kajetanowicz K,RC2,Chile,24,13,16,17,14,10,14,17,18,15,15,16,14,14,19,20,18,20
Katsuta Takamo,RC1,Chile,7,8,8,6,6,7,6,7,8,9,6,4,4,3,6,3,2,4
Kačírek Petr -,RC2,Chile,54,44,34,39,40,10,37,38,39,34,35,36,35,32,39,36,36,35
Keferböck Joha,RC2,Chile,35,33,31,32,31,10,28,29,30,27,27,29,28,51,30,27,27,29
Kohn Filip - W,RC3,Chile,37,35,26,34,30,10,27,27,34,28,39,32,30,29,34,29,33,32
Korhonen Roope,RC2,Chile,28,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
