,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,,
#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,1:52.2,4:14.7,7:12.7,12:50.3,13:25.5,7:16.1,13:03.5,13:46.5,8:18.7,16:06.7,7:38.4,8:16.5,16:27.7,8:05.0,8:17.6,8:47.3,8:14.7,8:45.8
#13,Munster Grégoire - Louka Louis Ford Puma Rally1,RC1,1:54.0,4:27.9,7:23.5,13:02.8,13:48.2,7:26.5 [N],13:29.6,14:31.7,8:37.2,16:25.0,7:43.0,8:32.2,16:43.2,8:21.9,8:28.5,8:50.6,8:22.9,8:53.5
#17,Ogier Sébastien - Landais Vincent Toyota GR Yaris Rally1,RC1 M,1:51.9,4:20.8,7:50.1,13:12.2,13:34.7,7:28.3,13:19.7,14:03.3,8:21.7,16:17.3,7:41.6,8:15.0,16:24.2,8:13.9,8:14.4,8:41.1,8:11.1,8:47.2
#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1,1:54.6,4:22.4,7:27.1,12:56.6,13:42.1,7:28.7,13:21.9,14:18.5,8:31.1,16:32.3,7:45.7,8:19.9,16:32.6,8:08.9,8:19.8,8:43.1,8:14.4,8:48.5
#20,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,1:55.0,4:38.5,7:41.2,23:56.8,14:39.3,7:42.6 [N],14:40.6,15:04.0,9:06.8,17:37.5,8:51.5,8:58.9,17:42.8,8:38.9,9:07.0,9:18.3,9:04.0,9:13.5
#21,Rossel Yohan - Dunand Arnaud Citroën C3 Rally2,RC2,1:55.3,4:35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#22,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,1:57.4,4:38.4,8:40.4,14:12.6,14:25.9,7:42.6 [N],13:56.9,14:38.7,9:10.0,17:46.3,8:24.4,8:45.7,17:42.5,8:28.4,9:00.5,9:34.6,8:58.0,9:31.3
#23,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,1:57.6,4:42.6,7:59.6,14:01.0,14:32.2,7:42.6 [N],14:03.6,14:50.4,8:59.6,17:39.3,8:29.3,8:50.3,17:44.2,8:37.2,8:59.4,9:34.7,8:49.9,9:27.3
#24,Fourmaux Adrien - Coria Alexandre Ford Fiesta Rally2,RC2,1:56.6,4:36.8,8:40.5,13:35.0,14:11.4,7:42.6 [N],13:42.3,14:51.2,8:49.5,17:02.1,8:09.2,8:45.4,17:18.0,8:26.2,8:54.3,9:17.7,8:49.8,9:27.1
#25,Gryazin Nikolay - Aleksandrov K. Škoda Fabia RS Rally2,RC2,1:56.5,4:38.5,9:10.7,13:26.8,14:09.7,7:42.6 [N],13:50.6,14:26.6,8:56.4,17:22.0,8:11.4,8:46.7,17:27.3,12:17.5,8:50.8,9:19.2,8:43.6,9:15.1
#26,Kajetanowicz K. - Szczepaniak M. Škoda Fabia RS Rally2,RC2,1:57.9,4:37.9,7:58.4,13:46.8,14:29.9,7:42.6 [N],13:55.2,14:51.5,9:03.6,17:33.0,8:21.6,8:51.2,17:39.2,8:37.2,9:00.8,9:36.8,8:56.4,9:39.9
#27,Lindholm Emil - Hämäläinen Reeta Hyundai i20 N Rally2,RC2,2:01.3,4:40.2,7:39.6,13:38.5,14:29.1,7:42.6 [N],13:57.8,14:32.3,9:02.2,17:16.2,8:09.8,8:50.4,17:26.1,8:27.2,-,-,-,-
#28,Marczyk Mikołaj - Dymurski Daniel Škoda Fabia RS Rally2,RC2,1:55.2,4:45.1,7:58.8,13:43.0,14:39.4,7:42.6 [N],13:59.0,15:00.9,9:02.4,17:41.6,8:19.1,9:00.4,17:57.3,9:09.6,9:03.4,9:37.2,8:52.3,9:40.2
#3,Suninen Teemu - Markkula Mikko Hyundai i20 N Rally1,RC1 M,1:53.6,4:21.6,7:29.8,12:59.5,13:44.2,7:32.8 [N],13:29.4,14:13.3,8:28.2,16:25.6,7:40.7,8:28.2,16:34.5,8:11.9,8:17.7,8:44.1,8:20.0,8:51.1
#30,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,1:57.4,4:42.5,7:56.9,13:59.2,14:35.3,7:42.6 [N],16:28.4,14:39.8,9:10.4,17:45.7,8:31.5,9:02.6,17:44.9,8:51.3,9:06.2,-,-,-
#31,Cais Erik - Trunkát Daniel Škoda Fabia RS Rally2,RC2,1:56.8,4:40.1,7:50.8,13:45.2,14:33.7,7:42.6 [N],13:51.7,14:35.4,8:58.1,17:22.3,8:10.5,8:50.6,17:30.2,8:28.8,8:59.7,9:30.4,8:52.3,9:26.5
#32,McErlean Josh - Fulton James Hyundai i20 N Rally2,RC2,1:57.5,4:48.7,7:58.7,13:50.4,14:48.4,7:42.6 [N],14:03.8,14:57.4,9:01.1,-,-,-,-,-,8:59.2,9:34.2,8:56.4,9:36.9
#32,McErlean Josh - Fulton James Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,27:02.1 [N],18:09.2 [N],18:45.4 [N],27:18.0 [N],18:26.2 [N],-,-,-,-
#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,1:55.1,4:22.5,7:11.6,12:45.4,13:19.9,7:15.0,13:05.2,13:57.6,8:17.4,16:10.5,-,-,-,-,8:16.2,8:36.5,8:20.8,8:42.3
#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,-,17:38.4 [N],18:15.0 [N],26:24.2 [N],18:04.5 [N],-,-,-,-
#34,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,2:02.6,4:50.0,8:06.9,14:07.9,15:06.8,7:42.6 [N],14:14.6,15:33.2,9:18.4,18:17.4,8:43.8,9:08.1,18:27.9,8:52.0,9:10.6,9:47.5,9:00.4,9:43.1
