Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,1:51.2,,82.6,1
2,#17,Ogier Sébastien - Landais Vincent Toyota GR Yaris Rally1,RC1 M,1:51.9,+0.7 +0.7,82.0 0.27,1
3,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,1:52.2,+1.0 +0.3,81.8 0.39,1
4,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,1:52.8,+1.6 +0.6,81.4 0.63,1
5,#3,Suninen Teemu - Markkula Mikko Hyundai i20 N Rally1,RC1 M,1:53.6,+2.4 +0.8,80.8 0.94,1
6,#13,Munster Grégoire - Louka Louis Ford Puma Rally1,RC1,1:54.0,+2.8 +0.4,80.5 1.10,1
7,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1,1:54.6,+3.4 +0.6,80.1 1.33,1
8,#20,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,1:55.0,+3.8 +0.4,79.8 1.49,1
9,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,1:55.1,+3.9 +0.1,79.8 1.53,1
10,#28,Marczyk Mikołaj - Dymurski Daniel Škoda Fabia RS Rally2,RC2,1:55.2,+4.0 +0.1,79.7 1.57,1
10,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,1:55.2,+4.0 +0.0,79.7 1.57,1
12,#21,Rossel Yohan - Dunand Arnaud Citroën C3 Rally2,RC2,1:55.3,+4.1 +0.1,79.6 1.61,1
13,#39,Wagner Simon - Winter Gerald Škoda Fabia RS Rally2,RC2,1:55.4,+4.2 +0.1,79.5 1.65,1
14,#7,Loubet Pierre-Louis - Veillas B. Ford Puma Rally1,RC1 M,1:55.6,+4.4 +0.2,79.4 1.73,1
15,#36,Ciamin Nicolas - Roche Yannick Škoda Fabia RS Rally2,RC2,1:56.2,+5.0 +0.6,79.0 1.96,1
16,#25,Gryazin Nikolay - Aleksandrov K. Škoda Fabia RS Rally2,RC2,1:56.5,+5.3 +0.3,78.8 2.08,1
17,#24,Fourmaux Adrien - Coria Alexandre Ford Fiesta Rally2,RC2,1:56.6,+5.4 +0.1,78.7 2.12,1
18,#31,Cais Erik - Trunkát Daniel Škoda Fabia RS Rally2,RC2,1:56.8,+5.6 +0.2,78.6 2.20,1
19,#22,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,1:57.4,+6.2 +0.6,78.2 2.43,1
19,#30,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,1:57.4,+6.2 +0.0,78.2 2.43,1
21,#32,McErlean Josh - Fulton James Hyundai i20 N Rally2,RC2,1:57.5,+6.3 +0.1,78.1 2.47,1
22,#23,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,1:57.6,+6.4 +0.1,78.1 2.51,1
23,#40,Gamba Matteo - Gonella Nicolò Škoda Fabia RS Rally2,RC2,1:57.7,+6.5 +0.1,78.0 2.55,1
24,#26,Kajetanowicz K. - Szczepaniak M. Škoda Fabia RS Rally2,RC2,1:57.9,+6.7 +0.2,77.9 2.63,1
25,#41,Březík Adam - Krajča Ondřej Škoda Fabia Rally2 evo,RC2,1:59.1,+7.9 +1.2,77.1 3.10,1
26,#35,Cachón A. - López Fernández A. Citroën C3 Rally2,RC2,1:59.2,+8.0 +0.1,77.0 3.14,1
27,#38,Skála Jan - Skořepa Jiří Hyundai i20 N Rally2,RC2,1:59.9,+8.7 +0.7,76.6 3.41,1
28,#37,Korhonen Roope - Viinikka Anssi Škoda Fabia Rally2 evo,RC2,2:00.3,+9.1 +0.4,76.3 3.57,1
29,#45,von Thurn und Taxis A. - Hain J. Škoda Fabia RS Rally2,RC2,2:01.0,+9.8 +0.7,75.9 3.84,1
29,#48,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2,RC2,2:01.0,+9.8 +0.0,75.9 3.84,1
31,#27,Lindholm Emil - Hämäläinen Reeta Hyundai i20 N Rally2,RC2,2:01.3,+10.1 +0.3,75.7 3.96,1
32,#46,Roßgatterer Martin - Heigl Jürgen Škoda Fabia Rally2 evo,RC2,2:01.6,+10.4 +0.3,75.5 4.08,1
33,#44,Vojtěch Štěpán - Ernst Michal Škoda Fabia R5,RC2,2:01.8,+10.6 +0.2,75.4 4.16,1
34,#34,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,2:02.6,+11.4 +0.8,74.9 4.47,1
35,#49,Keferböck Johannes - Minor Ilka Škoda Fabia RS Rally2,RC2,2:04.0,+12.8 +1.4,74.0 5.02,1
36,#56,Schwarz Fabio - Ettel Bernhard Ford Fiesta Rally3,RC3,2:05.8,+14.6 +1.8,73.0 5.73,1
37,#55,Kohn Filip - Woodburn Tom Ford Fiesta Rally3,RC3,2:06.5,+15.3 +0.7,72.6 6.00,1
38,#60,van den Brink Mitchel - van Heun B. Renault Clio Rally3,RC3,2:06.6,+15.4 +0.1,72.5 6.04,1
39,#62,Mohe Carsten - Hirsch Alexander Renault Clio Rally3,RC3,2:07.4,+16.2 +0.8,72.1 6.35,1
