Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:08:16.3,84.14 0.00,00:00:00.0 00:00:00.0,19
2,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:08:21.6,83.25 0.46,00:00:05.3 00:00:05.3,19
3,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:08:26.0,82.53 0.84,00:00:09.7 00:00:04.4,19
4,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:08:27.6,82.27 0.97,00:00:11.3 00:00:01.6,19
5,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:08:29.2,82.01 1.11,00:00:12.9 00:00:01.6,19
6,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:08:30.6,81.79 1.23,00:00:14.3 00:00:01.4,19
7,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:08:36.7,80.82 1.76,00:00:20.4 00:00:06.1,19
8,20,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:08:49.1,78.93 2.83,00:00:32.8 00:00:12.4,19
9,24,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:08:52.4,78.44 3.11,00:00:36.1 00:00:03.3,19
10,21,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:08:54.7,78.10 3.31,00:00:38.4 00:00:02.3,19
11,22,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2,00:09:23.2,74.15 5.77,00:01:06.9 00:00:28.5,19
12,35,Arai  Hiroki  /  Tachikui  Hiroki  Peugeot 208 Rally4,RC4,00:09:32.7,72.92 6.59,00:01:16.4 00:00:09.5,19
13,25,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia Rally2 Evo,RC2,00:09:46.1,71.25 7.74,00:01:29.8 00:00:13.4,19
14,36,Shinkai  T.  /  Ando  Yuichi  Toyota Yaris GR,,00:09:46.6,71.19 7.78,00:01:30.3 00:00:00.5,19
15,28,"Boland  Eamonn  /  ""MJ""  ..  Citroën C3 Rally2",RC2,00:09:51.1,70.65 8.17,00:01:34.8 00:00:04.5,19
16,26,Fukunaga  Osamu  /  Saida  Misako  Škoda Fabia Rally2 Evo,RC2,00:09:53.4,70.37 8.37,00:01:37.1 00:00:02.3,19
17,30,Imai  Satoshi  /  Farmer  Jason  Citroën C3 Rally2,RC2,00:10:11.1,68.34 9.90,00:01:54.8 00:00:17.7,19
18,31,Bailey  Jason  /  Peterson  Shayne  Ford Fiesta Rally3,RC3,00:10:15.7,67.83 10.29,00:01:59.4 00:00:04.6,19
19,39,Murata  Kohsuke  /  Umemoto  Madoka  Toyota Yaris GR,,00:10:16.2,67.77 10.34,00:01:59.9 00:00:00.5,19
20,38,Hotta  Makoto  /  Kawanishi  Haruo  Toyota Yaris GR,,00:10:21.9,67.15 10.83,00:02:05.6 00:00:05.7,19
21,40,Yamamoto  Yuta  /  Tachikui  Kazuko  Toyota GT86,,00:10:47.0,64.54 12.99,00:02:30.7 00:00:25.1,19
22,29,Díaz Aboitiz  M.  /  Sanjuán  R.  Škoda Fabia RS Rally2,RC2,00:11:16.1,61.77 15.50,00:02:59.8 00:00:29.1,19
23,37,Sasaki  Yasuyuki  /  Matsushita  K.  Toyota Yaris GR,,00:11:19.1,61.49 15.76,00:03:02.8 00:00:03.0,19
24,41,Kunisawa  M.  /  Kihara  Masahiko  Renault Clio Rally5,RC5,00:11:21.2,61.30 15.94,00:03:04.9 00:00:02.1,19
25,44,Nakayama  Tohru  /  Matsuura  T.  Toyota Yaris GR,,00:11:25.6,60.91 16.32,00:03:09.3 00:00:04.4,19
26,47,Irie  Satoshi  /  Kageyama  S.  Toyota Vitz,,00:12:01.7,57.86 19.43,00:03:45.4 00:00:36.1,19
27,48,Shimizu  H.  /  Yasui  Takahiro  Toyota Yaris,,00:12:33.2,55.44 22.15,00:04:16.9 00:00:31.5,19
28,49,Aihara  Taisuke  /  Hagino  Tsukasa  Daihatsu Copen,,00:13:19.1,52.26 26.10,00:05:02.8 00:00:45.9,19
29,46,Hagiwara  Y.  /  Harada  Koichi  Subaru Impreza STI,,00:13:20.6,52.16 26.23,00:05:04.3 00:00:01.5,19
30,45,Takata  Koji  /  Sekimoto  T.  Toyota Yaris GR,,00:13:38.7,51.01 27.79,00:05:22.4 00:00:18.1,19
