Pos.,No.,,Driver / Co-driver Vehicle,Pos.,SS time Penalty,Total time,Diff.Leader Diff.Prev.,ss
1,33,1.0,Evans  Elfyn /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1 1,00:36:30.3,00:36:30.3,00:00:00.0 00:00:00.0,4
2,11,2.0,Neuville  T. /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1 2,00:36:56.3,00:36:56.3,00:00:26.0 00:00:26.0,4
3,17,3.0,Ogier  S. /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1 3,00:37:12.9,00:37:12.9,00:00:42.6 00:00:16.6,4
4,20,4.0,Mikkelsen  A. /  Eriksen  T.  Škoda Fabia RS Rally2,RC2 1,00:37:15.0,00:37:15.0,00:00:44.7 00:00:02.1,4
5,24,5.0,Munster  G. /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2 2,00:37:44.3,00:37:44.3,00:01:14.0 00:00:29.3,4
6,21,6.0,Gryazin  Nikolay /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2 3,00:37:52.4,00:37:52.4,00:01:22.1 00:00:08.1,4
7,69,7.0,Rovanperä  K. /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1 4,00:38:06.7,00:38:06.7,00:01:36.4 00:00:14.3,4
8,32,8.0,Katsuta  N. /  Kimura  Yusuke  Toyota Yaris GR,,00:38:36.8,00:38:36.8,00:02:06.5 00:00:30.1,4
9,4,9.0,Lappi  Esapekka /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1 5,00:38:53.3,00:38:53.3,00:02:23.0 00:00:16.5,4
10,23,10.0,Kovalainen  H. /  Kitagawa  Sae  Škoda Fabia R5,RC2 4,00:38:58.4,00:38:58.4,00:02:28.1 00:00:05.1,4
11,26,11.0,Fukunaga  Osamu /  Saida  Misako  Škoda Fabia Rally2 Evo,RC2 5,00:39:07.0,00:39:07.0,00:02:36.7 00:00:08.6,4
12,34,12.0,Arai  Toshihiro /  Matsumoto  Y.  Subaru Impreza STI,,00:39:11.2 00:00:10.0,00:39:21.2,00:02:50.9 00:00:14.2,4
13,28,13.0,"Boland  Eamonn /  ""MJ""  ..  Citroën C3 Rally2",RC2 6,00:39:30.4,00:39:30.4,00:03:00.1 00:00:09.2,4
14,22,14.0,Kajetanowicz  K. /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2 7,00:39:36.3,00:39:36.3,00:03:06.0 00:00:05.9,4
15,35,15.0,Arai  Hiroki /  Tachikui  Hiroki  Peugeot 208 Rally4,RC4 1,00:39:41.4,00:39:41.4,00:03:11.1 00:00:05.1,4
16,8,16.0,Tänak  Ott /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1 6,00:39:44.4,00:39:44.4,00:03:14.1 00:00:03.0,4
17,25,17.0,Chwist  Daniel /  Heller  Kamil  Škoda Fabia Rally2 Evo,RC2 8,00:39:50.5,00:39:50.5,00:03:20.2 00:00:06.1,4
18,30,18.0,Imai  Satoshi /  Farmer  Jason  Citroën C3 Rally2,RC2 9,00:40:00.4,00:40:00.4,00:03:30.1 00:00:09.9,4
19,37,19.0,Sasaki  Yasuyuki /  Matsushita  K.  Toyota Yaris GR,,00:40:51.7,00:40:51.7,00:04:21.4 00:00:51.3,4
20,31,20.0,Bailey  Jason /  Peterson  Shayne  Ford Fiesta Rally3,RC3 1,00:40:54.2,00:40:54.2,00:04:23.9 00:00:02.5,4
21,39,21.0,Murata  Kohsuke /  Umemoto  Madoka  Toyota Yaris GR,,00:41:02.8,00:41:02.8,00:04:32.5 00:00:08.6,4
22,29,22.0,Díaz Aboitiz  M. /  Sanjuán  R.  Škoda Fabia RS Rally2,RC2 10,00:41:20.1,00:41:20.1,00:04:49.8 00:00:17.3,4
23,38,23.0,Hotta  Makoto /  Kawanishi  Haruo  Toyota Yaris GR,,00:41:26.3,00:41:26.3,00:04:56.0 00:00:06.2,4
24,18,24.0,Katsuta  T. /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1 7,00:40:49.4 00:01:10.0,00:41:59.4,00:05:29.1 00:00:33.1,4
