0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,Central European,2,10,10,9,5,5,1,6,6,7,6,5,4,4,1,3,7,3,2,4,3
6,Sordo  Dan,RC1,Central European,4,34,33,30,29,29,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Tänak  Ott,RC1,Central European,3,6,22,6,6,8,4,4,3,2,2,3,3,5,2,7,4,7,3,3,2
11,Neuville  ,RC1,Central European,1,3,2,2,29,29,27,5,2,3,5,4,2,7,3,1,1,2,1,2,1
16,Fourmaux  ,RC1,Central European,7,34,33,30,29,29,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Ogier  S. ,RC1,Central European,8,2,6,3,3,3,2,1,4,4,3,2,6,6,6,6,5,5,5,7,5
18,Katsuta  T,RC1,Central European,5,33,18,1,1,1,2,1,1,6,7,1,1,1,4,2,2,1,4,1,4
20,Mikkelsen ,RC2,Central European,11,4,3,10,8,7,7,9,8,9,10,9,9,8,8,9,8,8,8,9,10
21,Gryazin  N,RC2,Central European,10,7,7,7,9,9,8,10,10,8,8,8,10,10,9,10,10,10,9,8,8
22,Kajetanowi,RC2,Central European,12,10,16,13,11,11,9,13,11,11,11,12,11,11,10,11,13,11,10,10,9
23,Kovalainen,RC2,Central European,13,9,11,11,10,10,9,11,12,12,12,11,28,28,28,-,-,-,-,-,-
24,Munster  G,RC2,Central European,14,7,4,8,7,6,11,8,9,10,8,10,8,9,11,8,9,9,-,-,-
25,Chwist  Da,RC2,Central European,15,10,17,19,18,15,22,15,15,13,14,16,16,16,12,15,16,13,15,11,14
26,Fukunaga  ,RC2,Central European,17,10,8,16,15,14,13,17,13,14,14,15,14,12,15,12,14,16,13,13,11
28,Boland  Ea,RC2,Central European,22,10,13,18,16,18,14,18,17,18,18,17,15,15,17,14,15,15,14,14,17
29,Díaz Aboit,RC2,Central European,18,10,25,25,23,23,30,23,20,21,19,20,20,17,22,24,26,22,21,20,21
30,Imai  Sato,RC2,Central European,20,10,19,20,19,19,19,32,29,29,29,29,28,28,28,19,19,17,16,17,13
31,Bailey  Ja,RC3,Central European,26,10,21,24,21,19,18,21,32,22,28,21,18,20,18,21,21,18,20,16,19
32,Katsuta  N,-,Central European,16,10,5,14,12,12,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Evans  Elf,RC1,Central European,9,1,1,4,2,2,6,3,7,1,1,7,7,3,5,3,3,4,7,6,7
34,Arai  Tosh,-,Central European,21,10,12,15,14,16,17,12,30,30,30,30,30,30,30,13,17,-,-,-,-
35,Arai  Hiro,RC4,Central European,19,10,15,12,13,13,12,14,14,15,13,13,13,14,13,16,11,12,11,12,12
36,Shinkai  T,-,Central European,35,10,14,17,17,17,14,16,16,16,16,13,12,13,14,17,12,14,12,15,15
37,Sasaki  Ya,-,Central European,31,10,20,32,32,32,31,25,26,24,21,23,23,22,23,23,23,23,22,22,23
38,Hotta  Mak,-,Central European,30,10,24,23,20,21,21,19,30,30,30,30,30,30,30,20,18,20,18,21,18
39,Murata  Ko,-,Central European,23,10,23,21,22,22,16,20,18,17,17,18,17,19,16,18,20,19,17,18,16
40,Yamamoto  ,-,Central European,24,10,27,22,24,24,23,22,19,19,20,19,19,18,19,22,22,21,19,19,20
41,Kunisawa  ,RC5,Central European,27,10,28,26,25,26,20,24,21,20,23,22,24,21,21,26,24,24,23,23,22
44,Nakayama  ,-,Central European,32,10,26,27,26,25,25,27,24,26,24,25,25,25,27,25,25,25,24,24,25
45,Takata  Ko,-,Central European,34,10,30,28,27,27,26,30,27,30,30,30,30,30,30,31,29,30,29,29,28
46,Hagiwara  ,-,Central European,33,10,31,32,32,32,31,28,23,25,22,24,21,24,24,28,30,29,26,25,24
47,Irie  Sato,-,Central European,25,10,29,34,34,34,34,26,25,23,25,27,22,23,20,27,27,26,25,26,-
48,Shimizu  H,-,Central European,29,10,35,34,34,34,34,31,28,28,26,28,27,27,25,29,28,27,27,27,27
49,Aihara  Ta,-,Central European,27,10,32,29,28,28,24,29,22,27,27,26,26,26,26,30,31,28,28,28,26
69,Rovanperä ,RC1,Central European,6,5,9,5,4,4,5,7,5,5,4,6,5,2,7,5,6,6,6,5,6
