No.,Crew,Group,ss,Race,cou,time_SS_sec
11,Neuville  ,RC1,1,Central European,1,107.6
4,Lappi  Esa,RC1,1,Central European,2,108.3
8,Tänak  Ott,RC1,1,Central European,3,109.0
6,Sordo  Dan,RC1,1,Central European,4,109.4
18,Katsuta  T,RC1,1,Central European,5,110.7
69,Rovanperä ,RC1,1,Central European,6,111.6
16,Fourmaux  ,RC1,1,Central European,7,112.1
17,Ogier  S. ,RC1,1,Central European,8,112.3
33,Evans  Elf,RC1,1,Central European,9,112.5
21,Gryazin  N,RC2,1,Central European,10,112.9
20,Mikkelsen ,RC2,1,Central European,11,114.2
22,Kajetanowi,RC2,1,Central European,12,115.1
23,Kovalainen,RC2,1,Central European,13,116.3
24,Munster  G,RC2,1,Central European,14,117.4
25,Chwist  Da,RC2,1,Central European,15,120.9
32,Katsuta  N,-,1,Central European,16,122.3
26,Fukunaga  ,RC2,1,Central European,17,123.1
29,Díaz Aboit,RC2,1,Central European,18,124.2
35,Arai  Hiro,RC4,1,Central European,19,124.6
30,Imai  Sato,RC2,1,Central European,20,124.7
34,Arai  Tosh,-,1,Central European,21,124.8
28,Boland  Ea,RC2,1,Central European,22,125.4
39,Murata  Ko,-,1,Central European,23,133.9
40,Yamamoto  ,-,1,Central European,24,137.1
47,Irie  Sato,-,1,Central European,25,139.4
31,Bailey  Ja,RC3,1,Central European,26,141.0
41,Kunisawa  ,RC5,1,Central European,27,144.9
49,Aihara  Ta,-,1,Central European,28,144.9
48,Shimizu  H,-,1,Central European,29,145.1
38,Hotta  Mak,-,1,Central European,30,148.0
37,Sasaki  Ya,-,1,Central European,31,153.7
44,Nakayama  ,-,1,Central European,32,154.8
46,Hagiwara  ,-,1,Central European,33,158.1
45,Takata  Ko,-,1,Central European,34,163.6
36,Shinkai  T,-,1,Central European,35,722.3
33,Evans  Elf,RC1,2,Central European,1,1217.8
17,Ogier  S. ,RC1,2,Central European,2,1221.8
11,Neuville  ,RC1,2,Central European,3,1238.6
20,Mikkelsen ,RC2,2,Central European,4,1244.6
69,Rovanperä ,RC1,2,Central European,5,1250.1
8,Tänak  Ott,RC1,2,Central European,6,1251.2
21,Gryazin  N,RC2,2,Central European,7,1252.4
24,Munster  G,RC2,2,Central European,8,1252.4
23,Kovalainen,RC2,2,Central European,9,1295.6
4,Lappi  Esa,RC1,2,Central European,10,1299.8
22,Kajetanowi,RC2,2,Central European,11,1299.8
25,Chwist  Da,RC2,2,Central European,12,1299.8
26,Fukunaga  ,RC2,2,Central European,13,1299.8
28,Boland  Ea,RC2,2,Central European,14,1299.8
29,Díaz Aboit,RC2,2,Central European,15,1299.8
30,Imai  Sato,RC2,2,Central European,16,1299.8
31,Bailey  Ja,RC3,2,Central European,17,1299.8
32,Katsuta  N,-,2,Central European,18,1299.8
34,Arai  Tosh,-,2,Central European,19,1299.8
35,Arai  Hiro,RC4,2,Central European,20,1299.8
36,Shinkai  T,-,2,Central European,21,1299.8
37,Sasaki  Ya,-,2,Central European,22,1299.8
38,Hotta  Mak,-,2,Central European,23,1299.8
39,Murata  Ko,-,2,Central European,24,1299.8
