No.,Crew,Group,ss,Race,cou,time_SS_sec
8,Tänak  Ott,RC1,1,Chile,1,616.8
3,Suninen  T,RC1,1,Chile,2,618.9
33,Evans  Elf,RC1,1,Chile,3,621.7
7,Loubet  P.,RC1,1,Chile,4,624.2
69,Rovanperä ,RC1,1,Chile,5,626.8
11,Neuville  ,RC1,1,Chile,6,629.1
18,Katsuta  T,RC1,1,Chile,7,631.4
22,Solberg  O,RC2,1,Chile,8,643.3
21,Pajari  Sa,RC2,1,Chile,9,643.4
26,Gryazin  N,RC2,1,Chile,10,648.1
13,Munster  G,RC1,1,Chile,11,648.9
28,Heller  Al,RC1,1,Chile,12,650.8
23,Greensmith,RC2,1,Chile,13,654.9
29,Martínez  ,RC2,1,Chile,14,657.5
24,Lindholm  ,RC2,1,Chile,15,659.5
20,Rossel  Yo,RC2,1,Chile,16,659.8
27,Bulacia  M,RC2,1,Chile,17,660.3
37,Scuncio  M,RC2,1,Chile,18,661.9
25,Kajetanowi,RC2,1,Chile,19,663.8
30,Fernàndez ,RC2,1,Chile,20,672.4
34,Heller  Pe,RC2,1,Chile,21,673.1
35,Rosselot  ,RC2,1,Chile,22,673.1
39,Rosselot  ,RC2,1,Chile,23,673.7
36,Israel  B.,RC2,1,Chile,24,676.1
31,Bulacia  B,RC2,1,Chile,25,677.7
38,Lyon  Germ,RC2,1,Chile,26,682.9
32,Zaldivar  ,RC2,1,Chile,27,686.3
41,Dominguez ,RC3,1,Chile,28,709.4
49,Rosselot  ,RC4,1,Chile,29,721.3
48,Muñoz  Pat,RC4,1,Chile,30,731.8
44,Castro  Ed,RC3,1,Chile,31,731.9
51,Parra  Mar,RC4,1,Chile,32,740.0
55,Fuertes  I,RC4,1,Chile,33,744.2
40,Kovacs  Ed,RC2,1,Chile,34,752.5
58,Perez  Mar,RC4,1,Chile,35,753.5
52,Martinez  ,RC4,1,Chile,36,756.3
59,Quezada  J,RC4,1,Chile,37,756.4
54,Palma  Luc,RC4,1,Chile,38,759.7
53,Padilla  F,RC4,1,Chile,39,766.2
50,Gardiol  I,RC4,1,Chile,40,770.8
47,Martínez M,RC2,1,Chile,41,782.8
57,Prieto  Ca,RC4,1,Chile,42,785.9
46,Martínez M,RC2,1,Chile,43,787.4
56,Arenas  Fe,RC4,1,Chile,44,788.8
62,Klein  Jav,RC4,1,Chile,45,821.2
60,Iglesias  ,RC4,1,Chile,46,844.6
67,Arce  Javi,RC5,1,Chile,47,932.8
68,Garay  W. ,RC5,1,Chile,48,940.0
65,Cohen  Har,RC4,1,Chile,49,1321.3
66,Ibarra  Ju,RC5,1,Chile,50,1532.8
33,Evans  Elf,RC1,2,Chile,1,412.9
69,Rovanperä ,RC1,2,Chile,2,414.4
7,Loubet  P.,RC1,2,Chile,3,414.8
11,Neuville  ,RC1,2,Chile,4,415.4
3,Suninen  T,RC1,2,Chile,5,415.8
8,Tänak  Ott,RC1,2,Chile,6,419.6
