No.,Crew,Group,ss,Race,cou,time_SS_sec
8,Tänak  Ott,RC1,1,Estonia,1,182.5
4,Lappi  Esa,RC1,1,Estonia,2,183.1
33,Evans  Elf,RC1,1,Estonia,3,183.1
69,Rovanperä ,RC1,1,Estonia,4,183.2
11,Neuville  ,RC1,1,Estonia,5,184.1
18,Katsuta  T,RC1,1,Estonia,6,185.7
3,Suninen  T,RC1,1,Estonia,7,187.0
7,Loubet  P.,RC1,1,Estonia,8,187.5
29,Marczyk  M,RC2,1,Estonia,9,189.0
28,Linnamäe  ,RC2,1,Estonia,10,189.1
23,Mikkelsen ,RC2,1,Estonia,11,189.7
20,Solberg  O,RC2,1,Estonia,12,190.0
24,Pajari  Sa,RC2,1,Estonia,13,190.4
31,McErlean  ,RC2,1,Estonia,14,191.0
21,Greensmith,RC2,1,Estonia,15,191.4
26,Virves  Ro,RC2,1,Estonia,16,191.6
35,Bulacia  B,RC2,1,Estonia,17,191.6
36,Fernàndez ,RC2,1,Estonia,18,191.9
30,Zaldivar  ,RC2,1,Estonia,19,192.8
27,Bulacia  M,RC2,1,Estonia,20,193.1
25,Kaur  Egon,RC2,1,Estonia,21,193.3
34,Martínez  ,RC2,1,Estonia,22,193.9
50,Korhola  B,RC3,1,Estonia,23,193.9
53,Dominguez ,RC3,1,Estonia,24,194.3
52,Creighton ,RC3,1,Estonia,25,194.8
54,Pellier  L,RC3,1,Estonia,26,195.4
22,Lindholm  ,RC2,1,Estonia,27,195.7
58,Munster  G,RC3,1,Estonia,28,196.8
47,Korhonen  ,RC3,1,Estonia,29,197.1
38,Kasari  Ka,RC2,1,Estonia,30,197.5
60,Mauro  Ale,RC2,1,Estonia,31,198.7
41,Miele  Mau,RC2,1,Estonia,32,198.8
37,Koik  Prii,RC2,1,Estonia,33,198.9
48,Herranen  ,RC3,1,Estonia,34,199.2
49,Türkkan  A,RC3,1,Estonia,35,199.3
57,Kelly  Eam,RC3,1,Estonia,36,201.0
39,Villanueva,RC2,1,Estonia,37,201.3
59,Anwar  Ham,RC3,1,Estonia,38,203.3
62,Kohn  Fili,RC3,1,Estonia,39,203.6
56,Rensonnet ,RC3,1,Estonia,40,204.2
55,Blach  Rob,RC3,1,Estonia,41,205.1
51,Cumiskey  ,RC3,1,Estonia,42,205.7
64,Sei  Karl-,RC4,1,Estonia,43,207.3
45,Cobbe  Luc,RC2,1,Estonia,44,207.4
63,Vaher  Jas,RC4,1,Estonia,45,210.6
65,Jürgenson ,RC4,1,Estonia,46,211.0
66,Lempu  Kev,RC4,1,Estonia,47,215.4
67,Uger  Serg,RC2,1,Estonia,48,219.4
40,Kremer  Ar,RC2,1,Estonia,49,789.0
8,Tänak  Ott,RC1,2,Estonia,1,796.1
11,Neuville  ,RC1,2,Estonia,2,801.1
69,Rovanperä ,RC1,2,Estonia,3,805.2
3,Suninen  T,RC1,2,Estonia,4,805.6
4,Lappi  Esa,RC1,2,Estonia,5,806.6
33,Evans  Elf,RC1,2,Estonia,6,807.5
18,Katsuta  T,RC1,2,Estonia,7,810.2
7,Loubet  P.,RC1,2,Estonia,8,812.9
20,Solberg  O,RC2,2,Estonia,9,832.6
23,Mikkelsen ,RC2,2,Estonia,10,837.4
25,Kaur  Egon,RC2,2,Estonia,11,840.3
21,Greensmith,RC2,2,Estonia,12,843.3
26,Virves  Ro,RC2,2,Estonia,13,844.8
24,Pajari  Sa,RC2,2,Estonia,14,845.3
22,Lindholm  ,RC2,2,Estonia,15,849.7
27,Bulacia  M,RC2,2,Estonia,16,851.2
28,Linnamäe  ,RC2,2,Estonia,17,853.4
30,Zaldivar  ,RC2,2,Estonia,18,856.6
36,Fernàndez ,RC2,2,Estonia,19,862.9
35,Bulacia  B,RC2,2,Estonia,20,866.2
31,McErlean  ,RC2,2,Estonia,21,870.3
37,Koik  Prii,RC2,2,Estonia,22,872.3
29,Marczyk  M,RC2,2,Estonia,23,881.8
40,Kremer  Ar,RC2,2,Estonia,24,886.8
50,Korhola  B,RC3,2,Estonia,25,886.9
34,Martínez  ,RC2,2,Estonia,26,891.1
52,Creighton ,RC3,2,Estonia,27,893.9
38,Kasari  Ka,RC2,2,Estonia,28,895.1
47,Korhonen  ,RC3,2,Estonia,29,895.7
48,Herranen  ,RC3,2,Estonia,30,900.3
58,Munster  G,RC3,2,Estonia,31,901.2
54,Pellier  L,RC3,2,Estonia,32,905.1
39,Villanueva,RC2,2,Estonia,33,910.7
41,Miele  Mau,RC2,2,Estonia,34,912.9
53,Dominguez ,RC3,2,Estonia,35,916.7
63,Vaher  Jas,RC4,2,Estonia,36,921.9
49,Türkkan  A,RC3,2,Estonia,37,931.7
64,Sei  Karl-,RC4,2,Estonia,38,938.5
55,Blach  Rob,RC3,2,Estonia,39,939.9
62,Kohn  Fili,RC3,2,Estonia,40,951.3
51,Cumiskey  ,RC3,2,Estonia,41,951.6
65,Jürgenson ,RC4,2,Estonia,42,953.1
60,Mauro  Ale,RC2,2,Estonia,43,956.1
59,Anwar  Ham,RC3,2,Estonia,44,959.5
66,Lempu  Kev,RC4,2,Estonia,45,961.3
45,Cobbe  Luc,RC2,2,Estonia,46,1000.1
67,Uger  Serg,RC2,2,Estonia,47,1036.8
56,Rensonnet ,RC3,2,Estonia,48,1162.9
57,Kelly  Eam,RC3,2,Estonia,49,2737.3
8,Tänak  Ott,RC1,3,Estonia,1,527.4
11,Neuville  ,RC1,3,Estonia,2,529.2
69,Rovanperä ,RC1,3,Estonia,3,529.9
33,Evans  Elf,RC1,3,Estonia,4,531.7
4,Lappi  Esa,RC1,3,Estonia,5,535.1
3,Suninen  T,RC1,3,Estonia,6,537.4
7,Loubet  P.,RC1,3,Estonia,7,538.2
18,Katsuta  T,RC1,3,Estonia,8,541.6
20,Solberg  O,RC2,3,Estonia,9,556.9
23,Mikkelsen ,RC2,3,Estonia,10,561.4
28,Linnamäe  ,RC2,3,Estonia,11,563.0
