No.,Crew,Group,ss,Race,cou,time_SS_sec
17,Ogier  S. ,RC1,1,MonteCarlo,1,622.9
33,Evans  Elf,RC1,1,MonteCarlo,2,624.2
11,Neuville  ,RC1,1,MonteCarlo,3,628.9
18,Katsuta  T,RC1,1,MonteCarlo,4,629.8
69,Rovanperä ,RC1,1,MonteCarlo,5,630.3
8,Tänak  Ott,RC1,1,MonteCarlo,6,631.5
7,Loubet  P.,RC1,1,MonteCarlo,7,633.8
4,Lappi  Esa,RC1,1,MonteCarlo,8,634.5
6,Sordo  Dan,RC1,1,MonteCarlo,9,635.3
24,Gryazin  N,RC2,1,MonteCarlo,10,646.9
22,Lefebvre  ,RC2,1,MonteCarlo,11,654.8
34,López  J. ,RC2,1,MonteCarlo,12,656.5
21,Rossel  Yo,RC2,1,MonteCarlo,13,656.6
23,Solberg  O,RC2,1,MonteCarlo,14,656.7
27,Cais  Erik,RC2,1,MonteCarlo,15,659.1
20,Fourmaux  ,RC2,1,MonteCarlo,16,659.3
28,Ingram  Ch,RC2,1,MonteCarlo,17,660.2
52,Gamba  Mat,RC2,1,MonteCarlo,18,663.2
26,Bulacia  M,RC2,1,MonteCarlo,19,663.9
35,Cachon  A.,RC2,1,MonteCarlo,20,666.6
37,Delecour  ,RC2,1,MonteCarlo,21,667.4
36,Miele  Mau,RC2,1,MonteCarlo,22,672.1
31,McErlean  ,RC2,1,MonteCarlo,23,675.9
38,Burri  Oli,RC2,1,MonteCarlo,24,683.4
25,Munster  G,RC2,1,MonteCarlo,25,683.9
59,Riberi  Br,RC2,1,MonteCarlo,26,684.9
41,Alonso  Da,RC2,1,MonteCarlo,27,685.9
51,Hirschi  J,RC2,1,MonteCarlo,28,687.8
53,Gino  Ales,RC2,1,MonteCarlo,29,687.9
32,Creighton ,RC2,1,MonteCarlo,30,688.1
29,Johnston  ,RC2,1,MonteCarlo,31,691.2
49,Merli  Chr,RC2,1,MonteCarlo,32,696.0
39,Keferböck ,RC2,1,MonteCarlo,33,697.2
58,Haut-Labou,RC2,1,MonteCarlo,34,702.5
54,Baffoun  P,RC2,1,MonteCarlo,35,706.9
57,Pistachi  ,RC2,1,MonteCarlo,36,708.7
67,Panagiotis,RGT,1,MonteCarlo,37,713.3
46,Niboli  Si,RC2,1,MonteCarlo,38,715.1
42,Boland  Ea,RC2,1,MonteCarlo,39,716.3
9,Serderidis,RC1,1,MonteCarlo,40,720.8
56,Albertini ,RC2,1,MonteCarlo,41,723.4
65,Fontalba  ,RGT,1,MonteCarlo,42,725.5
61,László  Z.,RC2,1,MonteCarlo,43,725.9
78,Rossi  Ghj,RC4,1,MonteCarlo,44,727.7
44,Rosati  F.,RC2,1,MonteCarlo,45,730.0
45,Patera  Si,RC2,1,MonteCarlo,46,732.4
68,Irlacher  ,RC4,1,MonteCarlo,47,733.0
62,Pergola  P,RC2,1,MonteCarlo,48,733.8
40,Bontempell,RC2,1,MonteCarlo,49,735.1
71,Baugé  Bau,RC4,1,MonteCarlo,50,735.8
48,Arengi Ben,RC2,1,MonteCarlo,51,737.7
47,Marchino  ,RC2,1,MonteCarlo,52,744.1
60,Tanci  Pie,RC2,1,MonteCarlo,53,745.0
76,Prévalet  ,RC4,1,MonteCarlo,54,746.9
55,Desangles ,RC2,1,MonteCarlo,55,748.3
66,Ferraro  D,RGT,1,MonteCarlo,56,754.0
