No.,Crew,Group,ss,Race,cou,time_SS_sec
7,Loubet  P.,RC1,1,Portugal,1,542.7
6,Sordo  Dan,RC1,1,Portugal,2,543.0
8,Tänak  Ott,RC1,1,Portugal,3,545.0
69,Rovanperä ,RC1,1,Portugal,4,545.3
18,Katsuta  T,RC1,1,Portugal,5,546.1
4,Lappi  Esa,RC1,1,Portugal,6,546.7
11,Neuville  ,RC1,1,Portugal,7,547.7
33,Evans  Elf,RC1,1,Portugal,8,550.6
23,Suninen  T,RC2,1,Portugal,9,559.0
25,Fourmaux  ,RC2,1,Portugal,10,560.2
26,Rossel  Yo,RC2,1,Portugal,11,560.5
35,Bulacia  M,RC2,1,Portugal,12,561.2
21,Solberg  O,RC2,1,Portugal,13,562.0
22,Gryazin  N,RC2,1,Portugal,14,562.9
20,Greensmith,RC2,1,Portugal,15,563.1
24,Mikkelsen ,RC2,1,Portugal,16,565.3
37,McErlean  ,RC2,1,Portugal,17,566.5
68,Meeke  Kri,RC2,1,Portugal,18,569.5
31,Pajari  Sa,RC2,1,Portugal,19,569.7
39,Heller  Al,RC2,1,Portugal,20,571.6
27,Zaldivar  ,RC2,1,Portugal,21,575.5
47,Marczyk  M,RC2,1,Portugal,22,577.2
44,Correia  M,RC2,1,Portugal,23,578.2
38,Cais  Erik,RC2,1,Portugal,24,578.6
40,Fernàndez ,RC2,1,Portugal,25,579.0
32,Joona  Lau,RC2,1,Portugal,26,579.3
46,Bulacia  B,RC2,1,Portugal,27,579.8
36,Araújo  Ar,RC2,1,Portugal,28,581.5
48,Kremer  Ar,RC2,1,Portugal,29,586.9
30,Linnamäe  ,RC2,1,Portugal,30,589.8
55,Sousa  Ber,RC2,1,Portugal,31,590.9
58,Almeida  P,RC2,1,Portugal,32,593.2
45,Teodósio  ,RC2,1,Portugal,33,593.5
59,Meireles  ,RC2,1,Portugal,34,594.9
56,Herczig  N,RC2,1,Portugal,35,595.1
57,Jeets  Gre,RC2,1,Portugal,36,597.1
49,Al-Rashed ,RC2,1,Portugal,37,597.7
52,Villanueva,RC2,1,Portugal,38,600.6
54,Fontes  J.,RC2,1,Portugal,39,601.4
34,Cachon  A.,RC2,1,Portugal,40,601.5
53,Castro  Ed,RC2,1,Portugal,41,605.1
50,Oldrati  E,RC2,1,Portugal,42,606.6
61,Salvi  Dio,RC2,1,Portugal,43,609.0
29,Virves  Ro,RC2,1,Portugal,44,609.3
60,Simões  Lu,RC2,1,Portugal,45,610.4
51,Zaldivar  ,RC2,1,Portugal,46,610.7
71,Herranen  ,RC3,1,Portugal,47,617.7
70,Korhonen  ,RC3,1,Portugal,48,626.2
66,Díaz Aboit,RC2,1,Portugal,49,635.3
67,Cobbe  Luc,RC2,1,Portugal,50,642.3
73,László  Z.,RC2,1,Portugal,51,655.3
64,Pinto  Nun,RC2,1,Portugal,52,656.0
76,Fontana  M,RC4,1,Portugal,53,663.1
63,Teixeira  ,RC2,1,Portugal,54,670.1
