No.,Crew,Group,ss,Race,cou,time_SS_sec
8,Tänak  Ott,RC1,1,Safari,1,194.3
17,Ogier  S. ,RC1,1,Safari,2,194.4
69,Rovanperä ,RC1,1,Safari,3,196.7
11,Neuville  ,RC1,1,Safari,4,197.0
33,Evans  Elf,RC1,1,Safari,5,197.6
4,Lappi  Esa,RC1,1,Safari,6,198.3
18,Katsuta  T,RC1,1,Safari,7,199.4
6,Sordo  Dan,RC1,1,Safari,8,200.2
7,Loubet  P.,RC1,1,Safari,9,202.3
20,Solberg  O,RC2,1,Safari,10,204.0
9,Serderidis,RC1,1,Safari,11,205.6
21,Kajetanowi,RC2,1,Safari,12,207.2
22,Munster  G,RC2,1,Safari,13,208.0
23,Prokop  Ma,RC2,1,Safari,14,209.4
24,Kremer  Ar,RC2,1,Safari,15,209.7
27,Chwist  Da,RC2,1,Safari,16,209.7
26,Tundo  Car,RC2,1,Safari,17,215.9
28,Díaz Aboit,RC2,1,Safari,18,217.4
34,Dominguez ,RC3,1,Safari,19,220.6
30,Virani  Aa,RC2,1,Safari,20,223.8
37,Kimathi  M,RC3,1,Safari,21,227.4
38,Bailey  Ja,RC3,1,Safari,22,228.9
29,Vassilakis,RC2,1,Safari,23,229.3
25,Patel  Kar,RC2,1,Safari,24,229.5
32,Singh Vohr,RC2,1,Safari,25,229.6
35,Anwar  Ham,RC3,1,Safari,26,230.5
44,Sachania  ,-,1,Safari,27,230.8
41,Nzioka  Ev,-,1,Safari,28,231.0
36,Wahome  Je,RC3,1,Safari,29,233.9
45,Rathod  Mi,-,1,Safari,30,240.3
40,Davite  G.,RC2,1,Safari,31,266.8
17,Ogier  S. ,RC1,2,Safari,1,830.3
69,Rovanperä ,RC1,2,Safari,2,837.8
33,Evans  Elf,RC1,2,Safari,3,838.7
11,Neuville  ,RC1,2,Safari,4,839.0
18,Katsuta  T,RC1,2,Safari,5,839.9
6,Sordo  Dan,RC1,2,Safari,6,842.0
8,Tänak  Ott,RC1,2,Safari,7,845.5
4,Lappi  Esa,RC1,2,Safari,8,847.8
7,Loubet  P.,RC1,2,Safari,9,864.5
20,Solberg  O,RC2,2,Safari,10,874.4
21,Kajetanowi,RC2,2,Safari,11,908.3
22,Munster  G,RC2,2,Safari,12,917.6
9,Serderidis,RC1,2,Safari,13,917.9
23,Prokop  Ma,RC2,2,Safari,14,928.2
24,Kremer  Ar,RC2,2,Safari,15,930.9
26,Tundo  Car,RC2,2,Safari,16,963.0
27,Chwist  Da,RC2,2,Safari,17,966.3
35,Anwar  Ham,RC3,2,Safari,18,1000.3
34,Dominguez ,RC3,2,Safari,19,1007.5
30,Virani  Aa,RC2,2,Safari,20,1012.0
41,Nzioka  Ev,-,2,Safari,21,1033.3
38,Bailey  Ja,RC3,2,Safari,22,1042.1
28,Díaz Aboit,RC2,2,Safari,23,1062.2
