No.,Crew,Group,ss,Race,cou,time_SS_sec
4,Lappi  Esa,RC1,1,Sardegna,1,144.9
8,Tänak  Ott,RC1,1,Sardegna,2,145.1
11,Neuville  ,RC1,1,Sardegna,3,145.4
18,Katsuta  T,RC1,1,Sardegna,4,145.8
69,Rovanperä ,RC1,1,Sardegna,5,146.1
17,Ogier  S. ,RC1,1,Sardegna,6,146.2
6,Sordo  Dan,RC1,1,Sardegna,7,146.7
33,Evans  Elf,RC1,1,Sardegna,8,146.9
7,Loubet  P.,RC1,1,Sardegna,9,147.0
22,Solberg  O,RC2,1,Sardegna,10,149.5
37,Marczyk  M,RC2,1,Sardegna,11,149.7
23,Mikkelsen ,RC2,1,Sardegna,12,150.0
29,Kajetanowi,RC2,1,Sardegna,13,150.4
26,Lindholm  ,RC2,1,Sardegna,14,150.8
36,Linnamäe  ,RC2,1,Sardegna,15,151.0
35,Cachon  A.,RC2,1,Sardegna,16,151.2
41,Cais  Erik,RC2,1,Sardegna,17,151.3
31,Zaldivar  ,RC2,1,Sardegna,18,151.4
27,Fourmaux  ,RC2,1,Sardegna,19,151.7
38,McErlean  ,RC2,1,Sardegna,20,151.9
32,Pajari  Sa,RC2,1,Sardegna,21,152.0
20,Rossel  Yo,RC2,1,Sardegna,22,152.1
24,Gryazin  N,RC2,1,Sardegna,23,152.2
34,Bulacia  B,RC2,1,Sardegna,24,152.3
21,Greensmith,RC2,1,Sardegna,25,152.6
46,Prokop  Ma,RC2,1,Sardegna,26,153.0
40,Virves  Ro,RC2,1,Sardegna,27,153.3
39,Joona  Lau,RC2,1,Sardegna,28,153.6
25,Suninen  T,RC2,1,Sardegna,29,153.7
30,Munster  G,RC2,1,Sardegna,30,154.3
28,Ciamin  Ni,RC2,1,Sardegna,31,154.7
45,Kremer  Ar,RC2,1,Sardegna,32,154.9
49,O'Brien  P,RC2,1,Sardegna,33,155.1
57,Gamba  Mat,RC2,1,Sardegna,34,155.8
47,Miele  Mau,RC2,1,Sardegna,35,156.0
50,Keferböck ,RC2,1,Sardegna,36,156.3
48,Castro  Ed,RC2,1,Sardegna,37,156.8
52,Villanueva,RC2,1,Sardegna,38,157.2
59,Biolghini ,RC2,1,Sardegna,39,158.6
53,Chwist  Da,RC2,1,Sardegna,40,158.9
58,Tali  Nico,RC2,1,Sardegna,41,158.9
65,Korhonen  ,RC3,1,Sardegna,42,159.9
66,Creighton ,RC3,1,Sardegna,43,160.7
68,Dominguez ,RC3,1,Sardegna,44,160.8
73,Hernández ,RC3,1,Sardegna,45,161.2
56,Dettori  G,RC2,1,Sardegna,46,161.8
63,Türkkan  A,RC3,1,Sardegna,47,162.7
60,Morato  Ma,RC2,1,Sardegna,48,162.8
70,Rensonnet ,RC3,1,Sardegna,49,162.9
64,Kohn  Fili,RC3,1,Sardegna,50,163.1
75,László  Z.,RC2,1,Sardegna,51,165.0
79,Schwarz  F,RC3,1,Sardegna,52,165.0
80,Fontana  M,RC4,1,Sardegna,53,165.0
72,Kelly  Eam,RC3,1,Sardegna,54,167.3
71,Blach  Rob,RC3,1,Sardegna,55,168.1
61,Covi  Carl,RC2,1,Sardegna,56,172.0
76,Marrone  F,RC2,1,Sardegna,57,172.0
78,Bendotti  ,RC2,1,Sardegna,58,172.0
81,Marrone  S,RC4,1,Sardegna,59,172.0
82,Biancu  Da,RC4,1,Sardegna,60,172.0
83,Bergamin  ,RC4,1,Sardegna,61,172.0
55,Al-Attiyah,RC2,1,Sardegna,62,172.5
74,Anwar  Ham,RC3,1,Sardegna,63,174.0
67,Pellier  L,RC3,1,Sardegna,64,177.5
77,Pozzo  Giu,RC2,1,Sardegna,65,177.5
