No.,Crew,Group,ss,Race,cou,time_SS_sec
69,Rovanperä ,RC1,1,Sweden,1,203.3
8,Tänak  Ott,RC1,1,Sweden,2,204.9
33,Evans  Elf,RC1,1,Sweden,3,206.4
4,Lappi  Esa,RC1,1,Sweden,4,207.2
11,Neuville  ,RC1,1,Sweden,5,208.3
18,Katsuta  T,RC1,1,Sweden,6,208.9
42,Breen  Cra,RC1,1,Sweden,7,210.0
7,Loubet  P.,RC1,1,Sweden,8,214.1
24,Huttunen  ,RC2,1,Sweden,9,214.7
21,Veiby  O. ,RC2,1,Sweden,10,215.6
20,Solberg  O,RC2,1,Sweden,11,215.7
22,Lindholm  ,RC2,1,Sweden,12,215.9
28,Pajari  Sa,RC2,1,Sweden,13,215.9
23,Suninen  T,RC2,1,Sweden,14,216.6
27,Gryazin  N,RC2,1,Sweden,15,216.9
31,Bulacia  M,RC2,1,Sweden,16,217.3
32,Bulacia  B,RC2,1,Sweden,17,217.3
37,Bertelli  ,RC1,1,Sweden,18,217.5
30,Joona  Lau,RC2,1,Sweden,19,219.4
26,Kaur  Egon,RC2,1,Sweden,20,219.6
34,Zaldivar  ,RC2,1,Sweden,21,219.9
25,Linnamäe  ,RC2,1,Sweden,22,220.0
29,Virves  Ro,RC2,1,Sweden,23,221.1
41,Jonasson  ,RC2,1,Sweden,24,223.6
50,Creighton ,RC3,1,Sweden,25,225.5
49,Korhonen  ,RC3,1,Sweden,26,227.3
36,Sołowow  M,RC2,1,Sweden,27,227.4
54,Dominguez ,RC3,1,Sweden,28,228.9
55,Kallio  Je,RC3,1,Sweden,29,229.0
35,Al-Rashed ,RC2,1,Sweden,30,229.1
53,Herranen  ,RC3,1,Sweden,31,229.6
38,Miele  Mau,RC2,1,Sweden,32,230.5
51,Munster  G,RC3,1,Sweden,33,230.8
56,Kelly  Eam,RC3,1,Sweden,34,232.6
57,Kohn  Fili,RC3,1,Sweden,35,234.1
52,Pellier  L,RC3,1,Sweden,36,234.3
46,Zaldivar  ,RC2,1,Sweden,37,235.6
40,Alonso  Da,RC2,1,Sweden,38,235.8
59,Rensonnet ,RC3,1,Sweden,39,240.6
45,Roman  Joa,RC2,1,Sweden,40,243.0
61,Anwar  Ham,RC3,1,Sweden,41,246.0
48,Villanueva,RC2,1,Sweden,42,247.9
62,García  J.,RC2,1,Sweden,43,248.6
60,Blach  Rob,RC3,1,Sweden,44,251.6
44,Cobbe  Luc,RC2,1,Sweden,45,252.8
47,Díaz Aboit,RC2,1,Sweden,46,252.8
65,Kogure  Hi,RC4,1,Sweden,47,253.9
63,Yamamoto  ,RC4,1,Sweden,48,257.1
64,Otake  Nao,RC4,1,Sweden,49,259.3
66,Fontana  M,RC4,1,Sweden,50,259.7
58,Hernández ,RC3,1,Sweden,51,262.6
42,Breen  Cra,RC1,2,Sweden,1,384.8
8,Tänak  Ott,RC1,2,Sweden,2,388.6
4,Lappi  Esa,RC1,2,Sweden,3,390.2
18,Katsuta  T,RC1,2,Sweden,4,392.7
11,Neuville  ,RC1,2,Sweden,5,393.2
33,Evans  Elf,RC1,2,Sweden,6,394.5
7,Loubet  P.,RC1,2,Sweden,7,395.5
69,Rovanperä ,RC1,2,Sweden,8,397.3
22,Lindholm  ,RC2,2,Sweden,9,406.1
23,Suninen  T,RC2,2,Sweden,10,406.3
28,Pajari  Sa,RC2,2,Sweden,11,407.2
24,Huttunen  ,RC2,2,Sweden,12,408.7
20,Solberg  O,RC2,2,Sweden,13,409.2
21,Veiby  O. ,RC2,2,Sweden,14,409.5
37,Bertelli  ,RC1,2,Sweden,15,412.2
31,Bulacia  M,RC2,2,Sweden,16,412.3
26,Kaur  Egon,RC2,2,Sweden,17,412.7
27,Gryazin  N,RC2,2,Sweden,18,415.3
34,Zaldivar  ,RC2,2,Sweden,19,416.5
29,Virves  Ro,RC2,2,Sweden,20,416.9
25,Linnamäe  ,RC2,2,Sweden,21,417.7
30,Joona  Lau,RC2,2,Sweden,22,420.3
32,Bulacia  B,RC2,2,Sweden,23,421.3
41,Jonasson  ,RC2,2,Sweden,24,431.2
36,Sołowow  M,RC2,2,Sweden,25,432.8
50,Creighton ,RC3,2,Sweden,26,436.5
49,Korhonen  ,RC3,2,Sweden,27,438.4
52,Pellier  L,RC3,2,Sweden,28,440.4
35,Al-Rashed ,RC2,2,Sweden,29,444.5
54,Dominguez ,RC3,2,Sweden,30,444.9
51,Munster  G,RC3,2,Sweden,31,445.3
46,Zaldivar  ,RC2,2,Sweden,32,448.9
53,Herranen  ,RC3,2,Sweden,33,449.3
56,Kelly  Eam,RC3,2,Sweden,34,450.0
48,Villanueva,RC2,2,Sweden,35,454.0
38,Miele  Mau,RC2,2,Sweden,36,456.5
40,Alonso  Da,RC2,2,Sweden,37,461.4
55,Kallio  Je,RC3,2,Sweden,38,462.6
62,García  J.,RC2,2,Sweden,39,469.7
60,Blach  Rob,RC3,2,Sweden,40,471.9
66,Fontana  M,RC4,2,Sweden,41,473.7
58,Hernández ,RC3,2,Sweden,42,477.5
57,Kohn  Fili,RC3,2,Sweden,43,479.1
63,Yamamoto  ,RC4,2,Sweden,44,479.5
64,Otake  Nao,RC4,2,Sweden,45,481.0
59,Rensonnet ,RC3,2,Sweden,46,482.0
45,Roman  Joa,RC2,2,Sweden,47,483.5
65,Kogure  Hi,RC4,2,Sweden,48,486.2
47,Díaz Aboit,RC2,2,Sweden,49,495.8
61,Anwar  Ham,RC3,2,Sweden,50,501.9
44,Cobbe  Luc,RC2,2,Sweden,51,512.0
69,Rovanperä ,RC1,3,Sweden,1,388.3
4,Lappi  Esa,RC1,3,Sweden,2,389.3
18,Katsuta  T,RC1,3,Sweden,3,390.0
8,Tänak  Ott,RC1,3,Sweden,4,390.5
42,Breen  Cra,RC1,3,Sweden,5,391.1
11,Neuville  ,RC1,3,Sweden,6,392.7
33,Evans  Elf,RC1,3,Sweden,7,393.7
7,Loubet  P.,RC1,3,Sweden,8,398.3
20,Solberg  O,RC2,3,Sweden,9,411.1
37,Bertelli  ,RC1,3,Sweden,10,412.6
21,Veiby  O. ,RC2,3,Sweden,11,414.1
27,Gryazin  N,RC2,3,Sweden,12,417.8
23,Suninen  T,RC2,3,Sweden,13,418.9
31,Bulacia  M,RC2,3,Sweden,14,419.0
24,Huttunen  ,RC2,3,Sweden,15,419.7
28,Pajari  Sa,RC2,3,Sweden,16,420.1
26,Kaur  Egon,RC2,3,Sweden,17,420.8
30,Joona  Lau,RC2,3,Sweden,18,420.9
34,Zaldivar  ,RC2,3,Sweden,19,423.2
25,Linnamäe  ,RC2,3,Sweden,20,423.4
29,Virves  Ro,RC2,3,Sweden,21,429.1
32,Bulacia  B,RC2,3,Sweden,22,432.4
41,Jonasson  ,RC2,3,Sweden,23,434.2
36,Sołowow  M,RC2,3,Sweden,24,435.8
49,Korhonen  ,RC3,3,Sweden,25,440.9
50,Creighton ,RC3,3,Sweden,26,444.0
51,Munster  G,RC3,3,Sweden,27,444.1
55,Kallio  Je,RC3,3,Sweden,28,445.3
48,Villanueva,RC2,3,Sweden,29,448.3
53,Herranen  ,RC3,3,Sweden,30,448.7
52,Pellier  L,RC3,3,Sweden,31,452.2
46,Zaldivar  ,RC2,3,Sweden,32,454.6
35,Al-Rashed ,RC2,3,Sweden,33,456.6
54,Dominguez ,RC3,3,Sweden,34,460.9
38,Miele  Mau,RC2,3,Sweden,35,462.7
40,Alonso  Da,RC2,3,Sweden,36,465.0
